Token;Tag
Decisão;O
:;O
Trata;O
-;O
se;O
de;O
mandado;O
de;O
injunção;O
,;O
com;O
pedido;O
de;O
medida;O
liminar;O
,;O
impetrado;O
por;O
Jairo;B_Pessoa
Carlos;I_Pessoa
Dal;I_Pessoa
Castel;I_Pessoa
,;I_Pessoa
em;O
face;O
do;O
Congresso;O
Nacional;O
e;O
do;O
próprio;O
Supremo;O
Tribunal;O
Federal;O
,;O
objetivando;O
a;O
concretização;O
do;O
princípio;O
da;O
isonomia;O
,;O
através;O
da;O
aplicação;O
ao;O
impetrante;O
,;O
condenado;O
pelo;O
crime;O
de;O
estupro;O
,;O
“dos;O
mesmos;O
critérios;O
subjetivos;O
declinados;O
ao;O
traficante;O
do;O
§;B_Ref. Legislativa
4º;I_Ref. Legislativa
da;I_Ref. Legislativa
lei;I_Ref. Legislativa
11.343/06”;I_Ref. Legislativa
.;O
"
";O
"
";O
O;O
impetrante;O
foi;O
condenado;O
a;O
oito;O
anos;O
de;O
reclusão;O
,;O
pela;O
prática;O
do;O
crime;O
de;O
estupro;O
(;O
na;O
forma;O
de;O
ato;O
libidinoso;O
diverso;O
da;O
conjunção;O
carnal;O
–;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
213;I_Ref. Legislativa
do;I_Ref. Legislativa
CP;I_Ref. Legislativa
);I_Ref. Legislativa
e;O
de;O
satisfação;O
de;O
lascívia;O
mediante;O
presença;O
de;O
criança;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
218;I_Ref. Legislativa
-;I_Ref. Legislativa
A;I_Ref. Legislativa
do;I_Ref. Legislativa
CP;I_Ref. Legislativa
);I_Ref. Legislativa
contra;O
vítimas;O
,;O
respectivamente;O
,;O
de;O
14;O
anos;O
e;O
11;O
anos;O
.;O
"
";O
"
";O
Afirma;O
que;O
é;O
primário;O
,;O
tem;O
bons;O
antecedentes;O
e;O
não;O
se;O
dedica;O
às;O
atividades;O
criminosas;O
nem;O
integra;O
organização;O
criminosa;O
.;O
Por;O
essa;O
razão;O
,;O
entende;O
que;O
,;O
assim;O
como;O
a;O
lei;B_Ref. Legislativa
11.343/06;I_Ref. Legislativa
permite;O
a;O
redução;O
da;O
pena;O
nos;O
casos;O
de;O
crime;O
de;O
tráfico;O
de;O
drogas;O
em;O
que;O
o;O
condenado;O
não;O
integre;O
organização;O
criminosa;O
,;O
pretende;O
,;O
através;O
do;O
mandado;O
de;O
injunção;O
,;O
“ampliar;O
o;O
