Token;Tag
Ementa;O
e;O
Acórdão;O
"
";O
"
";O
10/06/2014;O
PRIMEIRA;O
TURMA;O
"
";O
"
";O
RECURSO;B_Precedente
EXTRAORDINÁRIO;I_Precedente
230.536;I_Precedente
SÃO;I_Precedente
PAULO;I_Precedente
"
";I_Precedente
"
";I_Precedente
RELATOR;I_Precedente
:;I_Precedente
MIN;I_Precedente
.;I_Precedente
MARCO;I_Precedente
AURÉLIORECTE;O
.;O
(;O
S;O
);O
:;O
UNIÃO;O
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
:;O
PROCURADOR;O
-;O
GERAL;O
DA;O
FAZENDA;O
NACIONAL;O
RECDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ASSOCIAÇÃO;O
DOS;O
LOJISTAS;O
DA;O
GALERIA;O
ATENAS;O
"
";O
"
";O
DE;O
MARÍLIA;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
LÁZARO;B_Pessoa
FRANCO;I_Pessoa
DE;I_Pessoa
FREITAS;I_Pessoa
"
";O
"
";O
NORMA;O
LEGAL;O
–;O
VIGÊNCIA;O
.;O
A;O
norma;O
legal;O
é;O
editada;O
para;O
viger;O
de;O
forma;O
prospectiva;O
,;O
não;O
alcançando;O
situações;O
jurídicas;O
constituídas;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
da;O
Primeira;O
Turma;O
do;O
Supremo;O
Tribunal;O
Federal;O
em;O
desprover;O
o;O
recurso;O
extraordinário;O
,;O
nos;O
termos;O
do;O
voto;O
do;O
relator;O
e;O
por;O
unanimidade;O
,;O
em;O
sessão;O
presidida;O
pelo;O
Ministro;B_Pessoa
Marco;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
na;O
conformidade;O
da;O
ata;O
do;O
julgamento;O
e;O
das;O
respectivas;O
notas;O
taquigráficas;O
.;O
"
";O
"
";O
Brasília;O
,;O
10;O
de;O
junho;O
de;O
2014;O
.;O
"
";O
"
";O
MINISTRO;B_Pessoa
MARCO;I_Pessoa
AURÉLIO;I_Pessoa
–;O
PRESIDENTE;O
E;O
RELATOR;O
"
";O
"
";O
10/06/2014;O
PRIMEIRA;O
TURMA;O
"
";O
"
";O
RECURSO;B_Precedente
