Token;Tag
GERAIS;O
 ;O
"
";O
"
";O
EMENTA;O
:;O
 ;O
DIREITO;O
 ;O
ADMINISTRATIVO;O
.;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
EM;O
 ;O
AGRAVO;O
 ;O
DE;O
 ;O
INSTRUMENTO;O
.;O
 ;O
SERVIDORES;O
 ;O
PÚBLICOS;O
 ;O
DO;O
 ;O
ESTADO;O
 ;O
DE;O
 ;O
MINAS;O
 ;O
GERAIS;O
.;O
 ;O
CONVERSÃO;O
 ;O
ERRÔNEA;O
 ;O
DE;O
 ;O
VENCIMENTOS;O
 ;O
EM;O
 ;O
URV;O
.;O
 ;O
AUSÊNCIA;O
 ;O
DE;O
 ;O
PREQUESTIONAMENTO;O
.;O
 ;O
SÚMULAS;B_Precedente
 ;I_Precedente
282;I_Precedente
 ;I_Precedente
E;I_Precedente
 ;I_Precedente
356;I_Precedente
/;I_Precedente
STF;I_Precedente
.;I_Precedente
 ;O
"
";O
"
";O
1;O
.;O
 ;O
A;O
 ;O
questão;O
 ;O
constitucional;O
 ;O
alegada;O
 ;O
no;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
não;O
 ;O
foi;O
 ;O
objeto;O
 ;O
de;O
 ;O
análise;O
 ;O
pelo;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
origem;O
.;O
 ;O
Incidência;O
 ;O
das;O
 ;O
Súmulas;B_Precedente
 ;I_Precedente
282;I_Precedente
 ;I_Precedente
e;I_Precedente
 ;I_Precedente
356;I_Precedente
/;I_Precedente
STF;I_Precedente
.;I_Precedente
 ;I_Precedente
"
";I_Precedente
"
";I_Precedente
2;O
.;O
Agravo;O
 ;O
regimental;O
 ;O
a;O
 ;O
que;O
 ;O
se;O
 ;O
nega;O
 ;O
provimento;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
C;O
 ;O
Ó;O
 ;O
R;O
 ;O
D;O
 ;O
Ã;O
 ;O
O;O
 ;O
"
";O
"
";O
Vistos;O
,;O
 ;O
relatados;O
 ;O
e;O
 ;O
discutidos;O
 ;O
estes;O
 ;O
autos;O
,;O
 ;O
acordam;O
 ;O
os;O
 ;O
Ministros;O
 ;O
da;O
 ;O
Primeira;O
 ;O
Turma;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
,;O
 ;O
sob;O
 ;O
a;O
 ;O
Presidência;O
 ;O
da;O
 ;O
Ministra;B_Pessoa
 ;I_Pessoa
Rosa;I_Pessoa
 ;I_Pessoa
Weber;I_Pessoa
,;I_Pessoa
 ;O
na;O
 ;O
conformidade;O
 ;O
da;O
 ;O
ata;O
 ;O
de;O
 ;O
julgamento;O
 ;O
e;O
 ;O
das;O
 ;O
notas;O
 ;O
taquigráficas;O
,;O
 ;O
por;O
 ;O
unanimidade;O
 ;O
de;O
 ;O
votos;O
,;O
 ;O
em;O
 ;O
negar;O
 ;O
provimento;O
 ;O
ao;O
 ;O
agravo;O
 ;O
regimental;O
,;O
 ;O
nos;O
 ;O
termos;O
 ;O
do;O
 ;O
voto;O
 ;O
do;O
 ;O
Relator;O
.;O
 ;O
Ausente;O
,;O
 ;O
justificadamente;O
,;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Luiz;I_Pessoa
 ;I_Pessoa
Fux;I_Pessoa
.;I_Pessoa
 ;O
"
";O
"
";O
Brasília;O
,;O
 ;O
22;O
 ;O
de;O
 ;O
setembro;O
 ;O
de;O
 ;O
2015;O
.;O
 ;O
"
";O
"
";O
MINISTRO;O
 ;O
LUÍS;O
 ;O
ROBERTO;O
 ;O
BARROSO;O
 ;O
-;O
 ;O
RELATOR;O
 ;O
"
";O
"
";O
22/09/2015;O
 ;O
PRIMEIRA;O
 ;O
TURMA;O
 ;O
"
";O
"
";O
AG;O
.;O
REG;O
.;O
 ;O
NO;O
 ;O
AGRAVO;O
 ;O
DE;O
 ;O
INSTRUMENTO;O
 ;O
705.180;O
 ;O
MINAS;O
 ;O
GERAIS;O
 ;O
"
";O
"
";O
RELATOR;O
 ;O
:;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
ROBERTO;I_Pessoa
 ;I_Pessoa
BARROSOAGTE;O
.;O
(;O
S;O
);O
 ;O
:;O
ENGRÁCIA;B_Pessoa
 ;I_Pessoa
AMARAL;I_Pessoa
 ;I_Pessoa
DE;I_Pessoa
 ;I_Pessoa
OLIVEIRA;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
FREDMAN;B_Pessoa
 ;I_Pessoa
ALEXANDER;I_Pessoa
 ;I_Pessoa
DE;I_Pessoa
 ;I_Pessoa
MELO;I_Pessoa
 ;I_Pessoa
TOLENTINO;I_Pessoa
 ;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
ESTADO;O
 ;O
DE;O
 ;O
MINAS;O
 ;O
GERAIS;O
 ;O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
ADVOGADO;O
-;O
GERAL;O
 ;O
DO;O
 ;O
ESTADO;O
 ;O
DE;O
 ;O
MINAS;O
 ;O
"
";O
"
";O
GERAIS;O
 ;O
"
";O
"
";O
R;O
 ;O
E;O
 ;O
L;O
 ;O
A;O
 ;O
T;O
 ;O
Ó;O
 ;O
R;O
 ;O
I;O
 ;O
O;O
 ;O
"
";O
"
";O
O;O
 ;O
SENHOR;B_Pessoa
 ;I_Pessoa
MINISTRO;I_Pessoa
 ;I_Pessoa
LUÍS;I_Pessoa
 ;I_Pessoa
ROBERTO;I_Pessoa
 ;I_Pessoa
BARROSO;I_Pessoa
 ;I_Pessoa
(;O
RELATOR;O
);O
:;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
agravo;O
 ;O
regimental;O
 ;O
cujo;O
 ;O
objeto;O
 ;O
é;O
 ;O
decisão;O
 ;O
monocrática;O
 ;O
do;O
 ;O
Ministro;O
 ;O
Joaquim;O
 ;O
Barbosa;O
,;O
 ;O
relator;O
 ;O
originário;O
 ;O
do;O
 ;O
feito;O
,;O
 ;O
que;O
 ;O
negou;O
 ;O
seguimento;O
 ;O
ao;O
 ;O
agravo;O
 ;O
de;O
 ;O
instrumento;O
,;O
 ;O
pelos;O
 ;O
seguintes;O
 ;O
fundamentos;O
 ;O
(;O
fls;O
.;O
 ;O
155;O
);O
:;O
 ;O
"
";O
"
";O
“Trata;O
-;O
se;O
 ;O
de;O
 ;O
agravo;O
 ;O
de;O
 ;O
instrumento;O
 ;O
de;O
 ;O
decisão;O
 ;O
que;O
 ;O
negou;O
 ;O
seguimento;O
 ;O
a;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
contra;O
 ;O
decisão;O
 ;O
do;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
Estadual;O
 ;O
sobre;O
 ;O
a;O
 ;O
conversão;O
 ;O
de;O
 ;O
vencimentos;O
 ;O
dos;O
 ;O
servidores;O
 ;O
em;O
 ;O
URV;O
.;O
 ;O
"
";O
"
";O
O;O
 ;O
recurso;O
 ;O
extraordinário;O
,;O
 ;O
ao;O
 ;O
alegar;O
 ;O
que;O
 ;O
o;O
 ;O
acórdão;O
 ;O
recorrido;O
 ;O
ofende;O
 ;O
os;O
 ;O
preceitos;O
 ;O
dos;O
 ;O
arts;O
.;O
 ;O
22;O
,;O
 ;O
IV;O
 ;O
e;O
 ;O
37;O
,;O
 ;O
XV;O
,;O
 ;O
versa;O
 ;O
questões;O
 ;O
constitucionais;O
 ;O
não;O
 ;O
ventiladas;O
 ;O
na;O
 ;O
decisão;O
 ;O
recorrida;O
 ;O
e;O
 ;O
que;O
 ;O
não;O
 ;O
foi;O
 ;O
objeto;O
 ;O
de;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
,;O
 ;O
