Token;Tag
DECISÃO;O
:;O
"
";O
"
";O
1;O
.;O
Trata;O
-;O
se;O
de;O
reclamação;O
em;O
que;O
se;O
articula;O
reiterado;O
e;O
injustificado;O
descumprimento;O
,;O
imputado;O
ao;O
Tribunal;O
de;O
Justiça;O
do;O
Estado;O
do;O
Rio;O
de;O
Janeiro;O
,;O
do;O
decidido;O
pelo;O
Tribunal;O
Pleno;O
na;O
ADPF;B_Precedente
347;I_Precedente
MC;I_Precedente
/;I_Precedente
DF;I_Precedente
.;I_Precedente
"
";O
"
";O
Em;O
síntese;O
,;O
elenca;O
o;O
reclamante;O
diversos;O
feitos;O
em;O
que;O
a;O
apresentação;O
do;O
agente;O
preso;O
em;O
flagrante;O
delito;O
não;O
teria;O
ocorrido;O
no;O
prazo;O
máximo;O
de;O
24;O
(;O
vinte;O
e;O
quatro;O
);O
horas;O
,;O
expressamente;O
estabelecido;O
na;O
decisão;O
paradigma;O
.;O
Também;O
pondera;O
o;O
reclamante;O
:;O
"
";O
"
";O
“;O
(;O
…;O
);O
ao;O
menos;O
para;O
81;O
(;O
oitenta;O
e;O
uma;O
);O
comarcas;O
do;O
estado;O
do;O
Rio;O
de;O
Janeiro;O
,;O
isto;O
é;O
,;O
todas;O
menos;O
a;O
da;O
Capital;O
,;O
com;O
o;O
devido;O
perdão;O
do;O
caráter;O
direto;O
da;O
assertiva;O
,;O
o;O
decidido;O
na;O
MC;O
na;O
ADPF;B_Precedente
nº;I_Precedente
347;I_Precedente
e;O
nada;O
é;O
a;O
mesma;O
coisa;O
,;O
pois;O
o;O
estado;O
das;O
artes;O
se;O
mantem;O
o;O
mesmo;O
de;O
outrora;O
,;O
ou;O
seja;O
,;O
sem;O
a;O
realização;O
das;O
audiências;O
de;O
custódia;O
/;O
apresentação;O
,;O
o;O
que;O
repercute;O
,;O
por;O
via;O
de;O
consequência;O
,;O
na;O
falta;O
de;O
observância;O
do;O
prazo;O
de;O
24h;O
.;O
”;O
"
";O
"
";O
Além;O
disso;O
,;O
ressalta;O
decisão;O
proferida;O
,;O
em;O
27.6.2017;O
,;O
pelo;O
Tribunal;O
local;O
,;O
no;O
seguinte;O
sentido;O
:;O
"
";O
"
";O
“;O
(;O
.;O
.;O
.;O
);O
foi;O
comunicada;O
ao;O
juízo;O
a;O
prisão;O
do;O
paciente;O
no;O
prazo;O
de;O
24;O
horas;O
a;O
contar;O
da;O
data;O
da;O
referida;O
segregação;O
,;O
(;O
…;O
);O
