Token;Tag
EMENTA;O
:;O
EXECUÇÃO;O
PENAL;O
.;O
HABEAS;O
CORPUS;O
.;O
LESÕES;O
CORPORAIS;O
CULPOSAS;O
-;O
ART;O
.;O
210;O
,;O
DO;O
CÓDIGO;O
PENAL;O
MILITAR;O
.;O
INDULTO;O
NATALINO;O
.;O
REQUISITO;O
TEMPORAL;O
.;O
CÔMPUTO;O
DO;O
PERÍODO;O
DE;O
PROVA;O
DO;O
SURSIS;O
COMO;O
DE;O
CUMPRIMENTO;O
DA;O
PENA;O
PRIVATIVA;O
DE;O
LIBERDADE;O
.;O
IMPOSSIBILIDADE;O
.;O
INSTITUTOS;O
PENAIS;O
DIVERSOS;O
.;O
PRECEDENTES;O
.;O
"
";O
"
";O
1;O
.;O
O;O
sursis;O
não;O
ostenta;O
a;O
categorização;O
jurídica;O
de;O
pena;O
,;O
mas;O
,;O
antes;O
,;O
de;O
medida;O
alternativa;O
a;O
"ela;";O
por;O
isso;O
que;O
não;O
cabe;O
confundir;O
o;O
tempo;O
alusivo;O
ao;O
período;O
de;O
prova;O
exigido;O
para;O
a;O
obtenção;O
de;O
referido;O
benefício;O
com;O
o;O
requisito;O
temporal;O
relativo;O
ao;O
cumprimento;O
de;O
¼;O
da;O
pena;O
privativa;O
de;O
liberdade;O
para;O
alcançar;O
-;O
se;O
o;O
indulto;O
natalino;O
e;O
,;O
consectariamente;O
,;O
a;O
extinção;O
da;O
punibilidade;O
(;O
HHCC;B_Precedente
123.382;I_Precedente
e;I_Precedente
123.425;I_Precedente
,;I_Precedente
Relatores;I_Precedente
a;I_Precedente
Ministra;I_Precedente
Rosa;I_Precedente
Weber;I_Precedente
e;I_Precedente
o;I_Precedente
Ministro;I_Precedente
Dias;I_Precedente
Toffoli;I_Precedente
,;I_Precedente
1ª;I_Precedente
Turma;I_Precedente
,;I_Precedente
j;I_Precedente
.;I_Precedente
,;I_Precedente
respectivamente;I_Precedente
,;I_Precedente
em;I_Precedente
14/10/2014;I_Precedente
e;I_Precedente
30/09/2014;I_Precedente
);I_Precedente
.;O
"
";O
"
";O
2;O
.;O
Os;O
incisos;B_Ref. Legislativa
XIII;I_Ref. Legislativa
e;I_Ref. Legislativa
XIV;I_Ref. Legislativa
do;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
1º;I_Ref. Legislativa
do;I_Ref. Legislativa
Decreto;I_Ref. Legislativa
nº;I_Ref. Legislativa
8.172/2013;I_Ref. Legislativa
divisaram;O
como;O
merecedores;O
do;O
indulto;O
natalino;O
os;O
réus;O
condenados;O
a;O
pena;O
privativa;O
de;O
liberdade;O
,;O
desde;O
que;O
substituída;O
por;O
pena;O
restritiva;O
de;O
direitos;O
,;O
na;O
forma;O
do;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
44;I_Ref. Legislativa
do;I_Ref. Legislativa
Decreto;I_Ref. Legislativa
-;I_Ref. Legislativa
Lei;I_Ref. Legislativa
nº;I_Ref. Legislativa
2.848;I_Ref. Legislativa
,;I_Ref. Legislativa
de;O
7;O
de;O
dezembro;O
de;O
1940;O
–;O
Código;O
Penal;O
,;O
ou;O
ainda;O
beneficiados;O
com;O
a;O
suspensão;O
condicional;O
da;O
pena;O
,;O
que;O
,;O
de;O
qualquer;O
forma;O
,;O
tenham;O
cumprido;O
,;O
até;O
25;O
de;O
dezembro;O
de;O
2013;O
,;O
um;O
quarto;O
da;O
pena;O
,;O
requisito;O
temporal;O
vinculado;O
à;O
pena;O
privativa;O
de;O
liberdade;O
,;O
sem;O
qualquer;O
relação;O
com;O
o;O
período;O
de;O
prova;O
do;O
sursis;O
.;O
"
";O
"
";O
3;O
.;O
In;O
casu;O
,;O
o;O
paciente;O
foi;O
condenado;O
a;O
2;O
(;O
dois;O
);O
meses;O
de;O
prisão;O
no;O
regime;O
aberto;O
pela;O
prática;O
do;O
crime;O
de;O
lesões;O
corporais;O
culposas;O
tipificado;O
no;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
251;I_Ref. Legislativa
do;I_Ref. Legislativa
CPM;I_Ref. Legislativa
e;O
,;O
beneficiado;O
com;O
o;O
sursis;O
,;O
com;O
período;O
de;O
prova;O
de;O
2;O
(;O
dois;O
);O
anos;O
,;O
teve;O
,;O
a;O
posteriori;O
,;O
negado;O
o;O
indulto;O
natalino;O
sob;O
o;O
fundamento;O
de;O
que;O
não;O
satisfizera;O
o;O
requisito;O
temporal;O
alusivo;O
ao;O
cumprimento;O
de;O
¼;O
da;O
pena;O
privativa;O
de;O
liberdade;O
,;O
advindo;O
irresignação;O
no;O
sentido;O
de;O
que;O
tal;O
requisito;O
fora;O
