Token;Tag
~~;O
"cf};;fiana";O
/;O
c1%~;O
"
";O
"
";O
Coordenadoria;O
de;O
Análise;O
de;O
Jurisprudência;O
DJe;O
nº;O
149;O
Divulgação;O
1210812010;O
Publicação;O
1310812010;O
Ementário;O
nº;O
2410;O
-;O
2;O
"
";O
"
";O
RMS;O
27241Ementa;O
e;O
Acórdão;O
(;O
1;O
);O
"
";O
"
";O
PRIMEIRA;O
TURMA;O
"
";O
"
";O
22/06/2010;O
"
";O
"
";O
RECURSO;B_Precedente
ORD;I_Precedente
.;I_Precedente
EM;I_Precedente
MANDADO;I_Precedente
DE;I_Precedente
SEGURANÇA;I_Precedente
27;I_Precedente
.241;I_Precedente
DISTRITO;I_Precedente
FEDERAL;I_Precedente
"
";O
"
";O
MIN;B_Pessoa
.;I_Pessoa
CÁRMEN;I_Pessoa
LÚCIA;I_Pessoa
JOÃO;B_Pessoa
CÂNDIDO;I_Pessoa
FERREIRA;I_Pessoa
DA;I_Pessoa
CUNHA;I_Pessoa
PEREIRA;I_Pessoa
FILHO;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
SJ;O
FABÍOLA;B_Pessoa
CORDEIRO;I_Pessoa
FLEISCHFRESSER;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
UNIÃO;O
ADVOGADO;O
-;O
GERAL;O
DA;O
UNIÃO;O
"
";O
"
";O
RELATORA;O
RECTE;O
.;O
(;O
S;O
);O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
SJ;O
RECOO;O
.;O
(;O
A;O
/;O
S;O
);O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
EMENTA;O
:;O
PROCESSUAL;O
CIVIL;O
.;O
RECURSO;O
ORDINÁRIO;O
EM;O
MANDADO;O
DE;O
SEGURANÇA;O
.;O
"
";O
"
";O
ATO;O
COATOR;O
CONSISTENTE;O
EM;O
DECISÃO;O
JUDICIAL;O
.;O
USO;O
DO;O
MANDADO;O
DE;O
SEGURANÇA;O
"
";O
"
";O
COMO;O
SUCEDÂNEO;O
DE;O
RECURSO;O
OU;O
DE;O
AÇÃO;O
RESCISÓRIA;O
.;O
INADMISSIBILIDADE;O
.;O
"
";O
"
";O
1;O
.;O
É;O
inadmissível;O
a;O
impetração;O
de;O
mandado;O
de;O
segurança;O
para;O
desconstituir;O
ato;O
revestido;O
de;O
conteúdo;O
jurisdicional;O
.;O
O;O
mandado;O
de;O
segurança;O
não;O
se;O
presta;O
a;O
substituir;O
recurso;O
previsto;O
no;O
ordenamento;O
jurídico;O
,;O
tampouco;O
pode;O
ser;O
utilizado;O
como;O
sucedâneo;O
de;O
ação;O
rescisória;O
(;O
Súmulas;B_Precedente
267;I_Precedente
e;I_Precedente
268;I_Precedente
do;I_Precedente
Supremo;I_Precedente
Tribunal;I_Precedente
Federal;I_Precedente
);I_Precedente
.;O
Precedentes;O
.;O
"
";O
"
";O
2;O
.;O
Recurso;O
ordinário;O
em;O
mandado;O
de;O
segurança;O
ao;O
qual;O
se;O
nega;O
provimento;O
.;O
"
";O
"
";O
ACÓRDÃO;O
-;O
-;O
-;O
-;O
-;O
-;O
vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
em;O
Primeira;O
Turma;O
,;O
sob;O
a;O
Presidência;O
do;O
Ministro;B_Pessoa
Ricardo;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
na;O
conformidade;O
da;O
ata;O
de;O
julgamento;O
e;O
das;O
notas;O
taquigráficas;O
,;O
à;O
unanimidade;O
,;O
em;O
negar;O
provimento;O
ao;O
recurso;O
ordinário;O
em;O
mandado;O
de;O
segurança;O
,;O
nos;O
termos;O
do;O
voto;O
da;O
Relatora;O
.;O
"
";O
"
";O
Brasília;O
,;O
22;O
de;O
junho;O
de;O
2010;O
.;O
~;O
.;O
,;O
-;O
.;O
a;O
.;O
-;O
,;O
.;O
-;O
.;O
.;O
~;O
-;O
~~;O
Ministra;B_Pessoa
CARMEN;I_Pessoa
LÚCIA;I_Pessoa
Relatora;O
/;O
/;O
11;O
I;O
"
";O
"
";O
S;O
T;O
F;O
102.002;O
"
";O
"
";O
PRIMEIRA;O
TURMA;O
"
";O
"
";O
22/06/2010;O
"
";O
"
";O
RECURSO;B_Precedente
ORD;I_Precedente
.;I_Precedente
EM;I_Precedente
MANDADO;I_Precedente
DE;I_Precedente
SEGURANÇA;I_Precedente
2'7;I_Precedente
.2,1;I_Precedente
DISTRITO;I_Precedente
FEDERAL;I_Precedente
"
";O
"
";O
MIN;B_Pessoa
.;I_Pessoa
CÁRMEN;I_Pessoa
LÚCIA;I_Pessoa
JOÃO;B_Pessoa
CÂNDIDO;I_Pessoa
FERREIRA;I_Pessoa
DA;I_Pessoa
CUNHA;I_Pessoa
PEREIRA;I_Pessoa
FILHO;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
FABÍOLA;B_Pessoa
CORDEIRO;I_Pessoa
FLEISCHFRESSER;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
UNIÃO;O
ADVOGADO;O
-;O
GERAL;O
DA;O
UNIÃO;O
"
";O
"
";O
R;O
E;O
L;O
A;O
T;O
Ó;O
R;O
I;O
O;O
-;O
-;O
~;O
-;O
-;O
-;O
-;O
-;O
"
";O
"
";O
RELATORA;O
RECTE;O
.;O
(;O
S;O
);O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
RECDO;O
.;O
(;O
A;O
/;O
S;O
);O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
A;O
SENHORA;O
MINISTRA;B_Pessoa
CÁRMEN;I_Pessoa
LÚCIA;I_Pessoa
-;O
(;O
Relatora;O
);O
:;O
"
";O
"
";O
1;O
.;O
Recurso;O
ordinário;O
em;O
mandado;O
de;O
segurança;O
interposto;O
por;O
João;I_Pessoa
"
";I_Pessoa
"
";I_Pessoa
Cândido;I_Pessoa
Ferreira;I_Pessoa
da;I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
Filho;I_Pessoa
e;O
Eduardo;B_Pessoa
Luiz;I_Pessoa
Pinto;I_Pessoa
da;I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
,;I_Pessoa
em;O
27.11.2007;O
,;O
com;O
fundamento;O
no;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
inc;I_Ref. Legislativa
.;I_Ref. Legislativa
II;I_Ref. Legislativa
,;I_Ref. Legislativa
alínea;I_Ref. Legislativa
a;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
da;I_Ref. Legislativa
República;I_Ref. Legislativa
,;I_Ref. Legislativa
contra;O
decisão;O
do;O
Superior;O
Tribunal;O
de;O
Justiça;O
.;O
"
";O
"
";O
O;O
caso;O
"
";O
"
";O
2;O
.;O
Em;O
9.6.2006;O
,;O
ao;O
examinar;O
o;O
Agravo;B_Precedente
de;I_Precedente
Instrumento;I_Precedente
768.249;I_Precedente
/;I_Precedente
PR;I_Precedente
,;I_Precedente
interposto;O
por;O
João;B_Pessoa
Cândido;I_Pessoa
Ferreira;I_Pessoa
da;I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
Filho;I_Pessoa
e;O
Eduardo;B_Pessoa
Luiz;I_Pessoa
"
";I_Pessoa
"
";I_Pessoa
Pinto;I_Pessoa
da;I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
,;I_Pessoa
o;O
Ministro;B_Pessoa
Humberto;I_Pessoa
Gomes;I_Pessoa
de;I_Pessoa
Barros;I_Pessoa
dele;O
não;O
conheceu;O
,;O
por;O
considerá;O
-;O
lo;O
intempestivo;O
(;O
fl;O
.;O
302;O
);O
.;O
"
";O
"
";O
João;B_Pessoa
Cândido;I_Pessoa
Ferreira;I_Pessoa
da;I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
Filho;I_Pessoa
e;O
Eduardo;B_Pessoa
Luiz;I_Pessoa
Pinto;I_Pessoa
da;I_Pessoa
"
";I_Pessoa
"
";I_Pessoa
Cunha;I_Pessoa
Pereira;I_Pessoa
interpuseram;O
agravo;O
regimental;O
{fls;O
.;O
303-308;O
