Token;Tag
DECISÃO;O
:;O
1;O
.;O
Trata;O
-;O
se;O
de;O
ação;O
originária;O
proposta;O
contra;O
ato;O
do;O
"
";O
"
";O
Conselho;O
Nacional;O
de;O
Justiça;O
.;O
"
";O
"
";O
2;O
.;O
Há;O
uma;O
questão;O
de;O
ordem;O
pública;O
a;O
ser;O
examinada;O
.;O
O;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
‘r’;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
estabelece;O
a;O
competência;O
do;O
Supremo;O
Tribunal;O
Federal;O
para;O
“processar;O
e;O
julgar;O
,;O
originariamente;O
(;O
…;O
);O
as;O
ações;O
contra;O
o;O
Conselho;O
Nacional;O
de;O
Justiça;O
e;O
contra;O
o;O
Conselho;O
Nacional;O
do;O
Ministério;O
Público”;O
.;O
Em;O
acórdão;O
unânime;O
do;O
Plenário;O
,;O
de;O
18.12.2013;O
,;O
a;O
Corte;O
definiu;O
o;O
sentido;O
e;O
o;O
alcance;O
dessa;O
norma;O
constitucional;O
de;O
competência;O
,;O
firmando;O
a;O
seguinte;O
orientação;O
:;O
"
";O
"
";O
“CONSELHO;O
NACIONAL;O
DE;O
JUSTIÇA;O
(;O
CNJ;O
);O
–;O
CAUSAS;O
DE;O
NATUREZA;O
CIVIL;O
CONTRA;O
ELE;O
INSTAURADAS;O
–;O
A;O
QUESTÃO;O
DAS;O
ATRIBUIÇÕES;O
JURISDICIONAIS;O
ORIGINÁRIAS;O
DO;O
SUPREMO;O
TRIBUNAL;O
FEDERAL;O
(;O
CF;B_Ref. Legislativa
,;I_Ref. Legislativa
ART;I_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
‘r’;I_Ref. Legislativa
);I_Ref. Legislativa
–;O
CARÁTER;O
ESTRITO;O
E;O
TAXATIVO;O
DO;O
ROL;O
FUNDADO;O
NO;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
DA;I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
DA;I_Ref. Legislativa
REPÚBLICA;I_Ref. Legislativa
–;O
REGRA;O
DE;O
COMPETÊNCIA;O
QUE;O
NÃO;O
COMPREENDE;O
