Token;Tag
GOIÁS;O
-;O
ASMEGO;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
EZEQUIEL;B_Pessoa
MORAES;I_Pessoa
"
";O
"
";O
EMENTA;O
:;O
AGRAVO;O
REGIMENTAL;O
NA;O
AÇÃO;O
CÍVEL;O
ORIGINÁRIA;O
.;O
AÇÃO;O
AJUIZADA;O
CONTRA;O
O;O
CONSELHO;O
NACIONAL;O
DE;O
JUSTIÇA;O
.;O
INCOMPETÊNCIA;O
DO;O
SUPREMO;O
TRIBUNAL;O
FEDERAL;O
.;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
INC;I_Ref. Legislativa
.;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
AL;I_Ref. Legislativa
.;I_Ref. Legislativa
R;I_Ref. Legislativa
,;I_Ref. Legislativa
DA;I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
DA;I_Ref. Legislativa
REPÚBLICA;I_Ref. Legislativa
.;I_Ref. Legislativa
PRECEDENTES;O
:;O
AO;B_Precedente
1.706;I_Precedente
-;I_Precedente
AGR;I_Precedente
/;I_Precedente
DF;I_Precedente
E;O
ACO;B_Precedente
2.350;I_Precedente
/;I_Precedente
DF;I_Precedente
.;I_Precedente
AGRAVO;O
REGIMENTAL;O
AO;O
QUAL;O
SE;O
NEGA;O
PROVIMENTO;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
em;O
Segunda;O
Turma;O
,;O
sob;O
a;O
Presidência;O
do;O
Ministro;B_Pessoa
Teori;I_Pessoa
Zavascki;I_Pessoa
,;I_Pessoa
na;O
conformidade;O
da;O
ata;O
de;O
