Token;Tag
MANDADO;O
DE;O
INJUNÇÃO;O
.;O
SERVIDOR;O
PÚBLICO;O
.;O
APOSENTADORIA;O
ESPECIAL;O
.;O
PESSOA;O
COM;O
DEFICIÊNCIA;O
.;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
40;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
DA;I_Ref. Legislativa
MAGNA;I_Ref. Legislativa
CARTA;I_Ref. Legislativa
.;I_Ref. Legislativa
Ordem;O
injuncional;O
concedida;O
,;O
para;O
determinar;O
seja;O
aplicada;O
supletivamente;O
,;O
no;O
que;O
couber;O
,;O
a;O
Lei;B_Ref. Legislativa
Complementar;I_Ref. Legislativa
nº;I_Ref. Legislativa
142/2013;I_Ref. Legislativa
,;I_Ref. Legislativa
pela;O
autoridade;O
administrativa;O
a;O
quem;O
compete;O
apreciar;O
concretamente;O
o;O
preenchimento;O
dos;O
requisitos;O
legais;O
para;O
a;O
jubilação;O
especial;O
da;O
impetrante;O
.;O
Ordem;O
injuncional;O
concedida;O
.;O
"
";O
"
";O
Vistos;O
etc.1;O
.;O
Trata;O
-;O
se;O
de;O
mandado;O
de;O
injunção;O
impetrado;O
contra;O
alegada;O
ausência;O
de;O
norma;O
regulamentadora;O
do;O
direito;O
à;O
aposentadoria;O
especial;O
,;O
assegurado;O
pelo;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
40;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
Maior;I_Ref. Legislativa
.;I_Ref. Legislativa
"
";O
"
";O
2;O
.;O
A;O
impetrante;O
noticia;O
que;O
é;O
pessoa;O
com;O
deficiência;O
e;O
servidora;O
pública;O
do;O
Município;O
de;O
Limeira;O
/;O
SP;O
.;O
Sustenta;O
que;O
a;O
falta;O
de;O
regulamentação;O
do;O
art;I_Ref. Legislativa
.;I_Ref. Legislativa
40;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Carta;I_Ref. Legislativa
Magna;I_Ref. Legislativa
,;I_Ref. Legislativa
dependente;O
de;O
lei;O
complementar;O
de;O
iniciativa;O
da;O
Presidência;O
da;O
República;O
,;O
impede;O
o;O
exercício;O
de;O
seu;O
direito;O
à;O
aposentadoria;O
especial;O
.;O
"
";O
"
";O
3;O
.;O
Pugna;O
pela;O
concessão;O
da;O
ordem;O
injuncional;O
,;O
para;O
que;O
,;O
reconhecida;O
a;O
mora;O
legislativa;O
,;O
seja;O
colmatada;O
a;O
lacuna;O
regulamentadora;O
,;O
por;O
meio;O
da;O
aplicação;O
da;O
Lei;B_Ref. Legislativa
Complementar;I_Ref. Legislativa
nº;I_Ref. Legislativa
142/2013;I_Ref. Legislativa
.;I_Ref. Legislativa
"
";O
"
";O
4;O
.;O
O;O
Presidente;O
da;O
República;O
prestou;O
informações;O
(;O
evento;O
14;O
);O
.;O
"
";O
"
";O
5;O
.;O
O;O
Procurador;O
-;O
Geral;O
da;O
República;O
opina;O
pela;O
parcial;O
procedência;O
do;O
pedido;O
(;O
evento;O
16;O
);O
.;O
"
";O
"
";O
É;O
o;O
relatório;O
.;O
Decido.6;O
.;O
Na;O
dicção;O
do;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
5º;I_Ref. Legislativa
,;I_Ref. Legislativa
LXXI;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Magna;I_Ref. Legislativa
Carta;I_Ref. Legislativa
,;I_Ref. Legislativa
"""conceder";O
-;O
se;O
-;O
á;O
mandado;O
de;O
injunção;O
sempre;O
que;O
a;O
falta;O
de;O
norma;O
regulamentadora;O
torne;O
inviável;O
o;O
exercício;O
dos;O
direitos;O
e;O
liberdades;O
constitucionais;O
e;O
das;O
prerrogativas;O
inerentes;O
à;O
nacionalidade;O
,;O
à;O
soberania;O
e;O
à;O
"cidadania""";O
(;O
destaquei;O
);O
.;O
"
";O
"
";O
Emerge;O
,;O
desse;O
preceito;O
,;O
amoldar;O
-;O
se;O
perfeitamente;O
ao;O
objeto;O
do;O
mandado;O
de;O
injunção;O
a;O
pretensão;O
de;O
assegurar;O
a;O
fruição;O
de;O
direito;O
outorgado;O
pela;O
Constituição;O
,;O
cujo;O
exercício;O
se;O
vê;O
inviabilizado;O
por;O
não;O
ter;O
sido;O
regulamentado;O
.;O
Conforme;O
pontua;O
,;O
com;O
clareza;O
,;O
José;B_Pessoa
Afonso;I_Pessoa
da;I_Pessoa
Silva;I_Pessoa
,;I_Pessoa
a;O
função;O
do;O
mandado;O
de;O
injunção;O
é;O
"""fazer";O
com;O
que;O
a;O
norma;O
constitucional;O
seja;O
aplicada;O
em;O
favor;O
do;O
impetrante;O
,;O
independentemente;O
de;O
regulamentação;O
,;O
e;O
exatamente;O
porque;O
não;O
foi;O
"regulamentada""";O
(;O
Curso;B_Doutrinador
de;I_Doutrinador
Direito;I_Doutrinador
Constitucional;I_Doutrinador
Positivo;I_Doutrinador
.;I_Doutrinador
33;I_Doutrinador
.;I_Doutrinador
ed;I_Doutrinador
