Token;Tag
LTDA;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ANDRÉ;O
FURTADO;O
"
";O
"
";O
EMENTA;O
:;O
RECURSO;O
EXTRAORDINÁRIO;O
.;O
IMUNIDADE;O
TRIBUTÁRIA;O
RECÍPROCA;O
(;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
150;I_Ref. Legislativa
,;I_Ref. Legislativa
INC;I_Ref. Legislativa
.;I_Ref. Legislativa
VI;I_Ref. Legislativa
,;I_Ref. Legislativa
AL;I_Ref. Legislativa
.;I_Ref. Legislativa
A;I_Ref. Legislativa
,;I_Ref. Legislativa
DA;I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
BEM;O
IMÓVEL;O
DA;O
UNIÃO;O
.;O
CESSÃO;O
A;O
EMPREENDIMENTO;O
PRIVADO;O
EXPLORADOR;O
DE;O
ATIVIDADE;O
ECONÔMICA;O
.;O
INAPLICABILIDADE;O
DA;O
SALVAGUARDA;O
CONSTITUCIONAL;O
.;O
RECURSO;O
EXTRAORDINÁRIO;O
PROVIDO;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
em;O
Sessão;O
Plenária;O
,;O
sob;O
a;O
Presidência;O
da;O
Ministra;B_Pessoa
Cármen;I_Pessoa
Lúcia;I_Pessoa
,;I_Pessoa
em;O
conformidade;O
com;O
a;O
ata;O
de;O
julgamento;O
e;O
notas;O
taquigráficas;O
,;O
por;O
maioria;O
,;O
e;O
nos;O
termos;O
do;O
voto;O
do;O
Ministro;B_Pessoa
Joaquim;I_Pessoa
Barbosa;I_Pessoa
,;I_Pessoa
em;O
dar;O
provimento;O
ao;O
recurso;O
extraordinário;O
,;O
vencido;O
o;O
Ministro;B_Pessoa
Dias;I_Pessoa
Toffoli;I_Pessoa
.;I_Pessoa
Não;O
votou;O
o;O
Ministro;B_Pessoa
Edson;I_Pessoa
Fachin;I_Pessoa
,;I_Pessoa
sucessor;O
do;O
Ministro;I_Pessoa
Joaquim;I_Pessoa
Barbosa;I_Pessoa
(;I_Pessoa
Relator;I_Pessoa
);I_Pessoa
.;I_Pessoa
Ausentes;O
,;O
justificadamente;O
,;O
os;O
Ministros;B_Pessoa
Celso;I_Pessoa
de;I_Pessoa
Mello;I_Pessoa
e;O
Gilmar;B_Pessoa
Mendes;I_Pessoa
,;I_Pessoa
e;O
,;O
neste;O
julgamento;O
,;O
o;O
Ministro;B_Pessoa
Ricardo;I_Pessoa
Lewandowski;I_Pessoa
.;I_Pessoa
"
";O
"
";O
Brasília;O
,;O
19;O
de;O
abril;O
de;O
2017;O
.;O
"
";O
"
";O
Ministra;B_Pessoa
CÁRMEN;I_Pessoa
LÚCIA;I_Pessoa
Redatora;O
para;O
o;O
acórdão;O
"
";O
"
";O
26/08/2010;O
PLENÁRIO;O
"
";O
"
";O
RECURSO;B_Precedente
EXTRAORDINÁRIO;I_Precedente
434.251;I_Precedente
RIO;I_Precedente
DE;I_Precedente
JANEIRO;I_Precedente
"
";O
"
";O
RELATOR;O
:;O
MIN;B_Pessoa
.;I_Pessoa
JOAQUIM;I_Pessoa
BARBOSARECTE;O
.;O
(;O
S;O
);O
:;O
MUNICÍPIO;O
DO;O
RIO;O
DE;O
JANEIRO;O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
JOSE;B_Pessoa
EDUARDO;I_Pessoa
CAVALCANTI;I_Pessoa
DE;I_Pessoa
ALBUQUERQUE;I_Pessoa
"
";O
"
";O
RECDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
DISBARRA;O
-;O
DISTRIBUIDORA;O
BARRA;O
DE;O
VEÍCULOS;O
"
";O
"
";O
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
LTDA;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ANDRÉ;B_Pessoa
FURTADO;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
R;O
E;O
L;O
A;O
T;O
Ó;O
R;O
I;O
O;O
"
";O
"
";O
O;O
SENHOR;O
MINISTRO;B_Pessoa
JOAQUIM;I_Pessoa
BARBOSA;I_Pessoa
-;O
(;O
Relator;O
);O
:;O
Trata;O
-;O
se;O
de;O
recurso;O
extraordinário;O
interposto;O
de;O
acórdão;O
em;O
que;O
o;O
Tribunal;O
de;O
Justiça;O
do;O
Estado;O
do;O
Rio;O
de;O
Janeiro;O
reconheceu;O
o;O
direito;O
líquido;O
e;O
certo;O
da;O
recorrida;O
de;O
não;O
se;O
sujeitar;O
à;O
tributação;O
pelo;O
Imposto;O
sobre;O
Propriedade;O
Territorial;O
Urbana;O
(;O
IPTU;O
);O
,;O
incidente;O
sobre;O
imóvel;O
pertencente;O
à;O
União;O
,;O
afetado;O
à;O
EMPRESA;O
BRASILEIRA;O
DE;O
INFRA;O
-;O
ESTRUTURA;O
AEROPORTUÁRIA;O
(;O
Infraero;O
);O
e;O
ocupado;O
pela;O
recorrida;O
em;O
virtude;O
de;O
contrato;O
de;O
cessão;O
de;O
uso;O
(;O
exercício;O
2002;O
);O
.;O
"
";O
"
";O
O;O
acórdão;O
em;O
questão;O
tem;O
a;O
seguinte;O
ementa;O
:;O
"
";O
"
";O
“MANDADO;O
DE;O
SEGURANÇA;O
.;O
RECURSO;O
DE;O
"
";O
"
";O
APELAÇÃO;O
.;O
"
";O
"
";O
Sentença;O
que;O
firmou;O
que;O
por;O
não;O
ser;O
o;O
impetrante;O
o;O
proprietário;O
do;O
bem;O
,;O
não;O
poderia;O
figurar;O
no;O
pólo;O
passivo;O
da;O
obrigação;O
tributária;O
referente;O
ao;O
IPTU;O
,;O
concedendo;O
,;O
por;O
isso;O
,;O
a;O
segurança;O
para;O
declarar;O
inexistente;O
a;O
relação;O
jurídica;O
tributária;O
.;O
Recurso;O
interposto;O
pelo;O
Município;O
aduzindo;O
a;O
constitucionalidade;O
da;O
lei;O
municipal;O
e;O
a;O
existência;O
de;O
domínio;O
útil;O
por;O
parte;O
do;O
apelado;O
.;O
Pugnou;O
,;O
outrossim;O
,;O
pelo;O
reconhecimento;O
da;O
violação;O
à;O
livre;O
concorrência;O
.;O
"
";O
"
";O
É;O
pacífico;O
o;O
entendimento;O
de;O
que;O
o;O
locatário;O
ou;O
o;O
concessionário;O
não;O
é;O
parte;O
legítima;O
para;O
figurar;O
no;O
pólo;O
passivo;O
da;O
obrigação;O
tributária;O
referente;O
ao;O
IPTU;O
.;O
Ainda;O
que;O
exista;O
contrato;O
repassando;O
a;O
ela;O
a;O
obrigação;O
,;O
deve;O
ser;O
desconsiderado;O
pelo;O
ente;O
arrecadante;O
,;O
servindo;O
apenas;O
para;O
efeito;O
de;O
ressarcimento;O
posterior;O
entre;O
os;O
contratantes;O
.;O
"
";O
"
";O
Em;O
se;O
tratando;O
de;O
bem;O
público;O
,;O
pertencente;O
à;O
União;O
,;O
como;O
no;O
caso;O
em;O
exame;O
,;O
vigora;O
a;O
imunidade;O
recíproca;O
,;O
não;O
podendo;O
o;O
município;O
tributar;O
imóvel;O
da;O
União;O
.;O
"
";O
"
";O
Recurso;O
ao;O
qual;O
se;O
nega;O
provimento;O
.;O
”;O
(;O
Fls;B_Precedente
.;I_Precedente
218;I_Precedente
.;I_Precedente
);O
"
";O
"
";O
Embora;O
rejeitados;O
os;O
embargos;O
de;O
declaração;O
opostos;O
(;O
fls;B_Precedente
.;I_Precedente
233-235;I_Precedente
);I_Precedente
,;O
o;O
Tribunal;O
de;O
origem;O
reconheceu;O
expressamente;O
ter;O
ficado;O
afastada;O
a;O
aplicação;O
dos;O
“artigos;I_Ref. Legislativa
150;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
3º;I_Ref. Legislativa
,;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
IV;I_Ref. Legislativa
e;I_Ref. Legislativa
170;I_Ref. Legislativa
IV;I_Ref. Legislativa
da;I_Ref. Legislativa
CF”;I_Ref. Legislativa
(;O
fls;B_Precedente
.;I_Precedente
235;I_Precedente
);I_Precedente
.;O
"
";O
"
";O
Sustenta;O
o;O
recorrente;O
que;O
o;O
acórdão;O
impugnado;O
contraria;O
o;O
disposto;O
nos;O
arts;B_Ref. Legislativa
.;I_Ref. Legislativa
150;I_Ref. Legislativa
,;I_Ref. Legislativa
VI;I_Ref. Legislativa
,;I_Ref. Legislativa
a;I_Ref. Legislativa
e;I_Ref. Legislativa
§;I_Ref. Legislativa
3º;I_Ref. Legislativa
,;I_Ref. Legislativa
e;I_Ref. Legislativa
173;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
3º;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
.;I_Ref. Legislativa
Segundo;O
entende;O
,;O
a;O
imunidade;O
concedida;O
aos;O
entes;O
federados;O
não;O
pode;O
beneficiar;O
a;O
exploração;O
privada;O
de;O
atividades;O
econômicas;O
,;O
pois;O
tal;O
hipótese;O
é;O
expressamente;O
excepcionada;O
do;O
campo;O
da;O
imunidade;O
recíproca;O
.;O
"
";O
"
";O
Contra;O
-;O
razões;O
apresentadas;O
a;O
fls;B_Precedente
.;I_Precedente
258-266;I_Precedente
.;I_Precedente
Opinou;O
o;O
subprocurador;O
-;O
geral;O
da;O
República;O
Dr;O
.;O
Eitel;O
Santiago;O
de;O
Brito;O
Pereira;O
pela;O
negativa;O
de;O
seguimento;O
ao;O
