Token;Tag
TRIBUNAL;O
DE;O
JUSTIÇA;O
"
";O
"
";O
DECISÃO;O
:;O
Trata;O
-;O
se;O
de;O
habeas;O
corpus;O
com;O
pedido;O
de;O
medida;O
liminar;O
,;O
impetrado;O
por;O
Vitor;B_Pessoa
Rachid;I_Pessoa
Colucci;I_Pessoa
Daher;I_Pessoa
,;I_Pessoa
em;O
favor;O
de;O
Paulo;O
Roberto;B_Pessoa
Turbiano;I_Pessoa
,;I_Pessoa
contra;O
decisão;O
proferida;O
pelo;O
Ministro;B_Pessoa
Nefi;I_Pessoa
Cordeiro;I_Pessoa
,;I_Pessoa
do;O
Superior;O
Tribunal;O
de;O
Justiça;O
(;O
STJ;O
);O
,;O
que;O
denegou;O
a;O
ordem;O
do;O
HC;B_Precedente
459.670;I_Precedente
/;I_Precedente
MG;I_Precedente
.;I_Precedente
"
";O
"
";O
Extrai;O
-;O
se;O
dos;O
autos;O
que;O
o;O
paciente;O
foi;O
denunciado;O
e;O
preso;O
preventivamente;O
pela;O
suposta;O
prática;O
dos;O
delitos;O
descritos;O
nos;O
arts;B_Ref. Legislativa
.;I_Ref. Legislativa
33;I_Ref. Legislativa
,;I_Ref. Legislativa
caput;I_Ref. Legislativa
,;I_Ref. Legislativa
e;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
35;I_Ref. Legislativa
,;I_Ref. Legislativa
c;I_Ref. Legislativa
/;I_Ref. Legislativa
c;I_Ref. Legislativa
o;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
40;I_Ref. Legislativa
,;I_Ref. Legislativa
incisos;I_Ref. Legislativa
V;I_Ref. Legislativa
,;I_Ref. Legislativa
todos;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
11.343/06;I_Ref. Legislativa
,;I_Ref. Legislativa
sob;O
a;O
alegação;O
de;O
ser;O
um;O
dos;O
líderes;O
do;O
Primeiro;O
Comando;O
da;O
Capital;O
–;O
PCC;O
em;O
Uberaba;O
/;O
MG;O
.;O
"
";O
"
";O
Consta;O
ainda;O
da;O
exordial;O
acusatória;O
que;O
o;O
acusado;O
recebia;O
entorpecentes;O
vindos;O
do;O
Paraguai;O
e;O
distribuía;O
a;O
pequenos;O
traficantes;O
no;O
estado;O
de;O
Minas;O
Gerais;O
,;O
além;O
de;O
possuir;O
vários;O
apelidos;O
e;O
nomes;O
falsos;O
para;O
dificultar;O
sua;O
identificação;O
.;O
"
";O
"
";O
Irresignada;O
,;O
a;O
defesa;O
manejou;O
habeas;O
corpus;O
no;O
TJ;O
/;O
MG;O
postulando;O
,;O
em;O
suma;O
,;O
a;O
revogação;O
da;O
constrição;O
cautelar;O
em;O
razão;O
do;O
excesso;O
de;O
prazo;O
para;O
a;O
formação;O
da;O
culpa;O
.;O
"
";O
"
";O
A;O
ordem;O
restou;O
denegada;O
nos;O
