Token;Tag
EMENTA;O
:;O
 ;O
EMENTA;O
:;O
 ;O
AÇÃO;O
 ;O
PENAL;O
.;O
 ;O
EMBARGOS;O
 ;O
DE;O
 ;O
DECLARAÇÃO;O
.;O
 ;O
PRINCÍPIO;O
 ;O
DA;O
 ;O
CORRELAÇÃO;O
.;O
 ;O
OBSERVÂNCIA;O
.;O
 ;O
OBSCURIDADE;O
,;O
 ;O
CONTRADIÇÃO;O
 ;O
E;O
 ;O
OMISSÃO;O
.;O
 ;O
INEXISTÊNCIA;O
.;O
 ;O
REEXAME;O
 ;O
DO;O
 ;O
MÉRITO;O
.;O
 ;O
IMPOSSIBILIDADE;O
.;O
 ;O
CANCELAMENTO;O
 ;O
DE;O
 ;O
NOTAS;O
 ;O
TAQUIGRÁFICAS;O
.;O
 ;O
PREVISÃO;O
 ;O
REGIMENTAL;O
.;O
 ;O
METODOLOGIA;O
 ;O
DO;O
 ;O
JULGAMENTO;O
.;O
 ;O
MATÉRIA;O
 ;O
DE;O
 ;O
MÉRITO;O
.;O
 ;O
BIS;O
 ;O
IN;O
 ;O
IDEM;O
.;O
 ;O
INOCORRÊNCIA;O
.;O
REJEIÇÃO;O
 ;O
DOS;O
 ;O
EMBARGOS;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
omissão;O
 ;O
dolosa;O
 ;O
a;O
 ;O
que;O
 ;O
se;O
 ;O
refere;O
 ;O
o;O
 ;O
Acórdão;O
 ;O
atacado;O
 ;O
consta;O
 ;O
de;O
 ;O
diversas;O
 ;O
passagens;O
 ;O
da;O
 ;O
denúncia;O
,;O
 ;O
conforme;O
 ;O
se;O
 ;O
verifica;O
,;O
 ;O
por;O
 ;O
exemplo;O
,;O
 ;O
às;O
 ;O
fls;O
.;O
 ;O
5.648;O
,;O
 ;O
5.693;O
 ;O
e;O
 ;O
5.702-5.703;O
.;O
 ;O
Contradição;O
 ;O
e;O
 ;O
omissão;O
 ;O
inexistentes;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
tese;O
 ;O
de;O
 ;O
que;O
 ;O
o;O
 ;O
crime;O
 ;O
de;O
 ;O
gestão;O
 ;O
fraudulenta;O
 ;O
de;O
 ;O
instituição;O
 ;O
financeira;O
 ;O
não;O
 ;O
poderia;O
 ;O
ser;O
 ;O
praticado;O
 ;O
mediante;O
 ;O
a;O
 ;O
omissão;O
 ;O
dolosa;O
 ;O
apontada;O
 ;O
no;O
 ;O
acórdão;O
 ;O
embargado;O
 ;O
não;O
 ;O
passa;O
 ;O
de;O
 ;O
uma;O
 ;O
mera;O
 ;O
opinião;O
 ;O
do;O
 ;O
condenado;O
,;O
 ;O
que;O
,;O
 ;O
naturalmente;O
,;O
 ;O
não;O
 ;O
concorda;O
 ;O
com;O
 ;O
a;O
 ;O
sua;O
 ;O
condenação;O
 ;O
e;O
 ;O
tenta;O
,;O
 ;O
pela;O
 ;O
inadequada;O
 ;O
via;O
 ;O
dos;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
,;O
 ;O
repetir;O
 ;O
o;O
 ;O
seu;O
 ;O
julgamento;O
.;O
 ;O
Aplicação;O
 ;O
do;O
 ;O
artigo;B_Ref. Legislativa
 ;I_Ref. Legislativa
25;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Lei;I_Ref. Legislativa
 ;I_Ref. Legislativa
7.492/1986;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;O
"
";O
"
";O
O;O
 ;O
embargante;O
 ;O
foi;O
 ;O
condenado;O
 ;O
nos;O
 ;O
termos;O
 ;O
da;O
 ;O
denúncia;O
 ;O
e;O
 ;O
com;O
 ;O
base;O
 ;O
na;O
 ;O
prova;O
 ;O
coletada;O
 ;O
durante;O
 ;O
a;O
 ;O
instrução;O
 ;O
processual;O
.;O
 ;O
"
";O
"
";O
As;O
 ;O
alegações;O
 ;O
acerca;O
 ;O
do;O
 ;O
reconhecimento;O
 ;O
de;O
 ;O
crime;O
 ;O
único;O
,;O
 ;O
como;O
 ;O
descrito;O
 ;O
no;O
 ;O
artigo;B_Ref. Legislativa
 ;I_Ref. Legislativa
6º;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Lei;I_Ref. Legislativa
 ;I_Ref. Legislativa
7.492/1986;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
e;O
 ;O
da;O
 ;O
incompatibilidade;O
 ;O
entre;O
 ;O
os;O
 ;O
delitos;O
 ;O
foram;O
 ;O
expressa;O
 ;O
e;O
 ;O
claramente;O
 ;O
rejeitadas;O
 ;O
