Token;Tag
EMENTA;O
:;O
EXECUÇÃO;O
PENAL;O
.;O
AGRAVO;O
REGIMENTAL;O
.;O
INADIMPLEMENTO;O
DELIBERADO;O
DA;O
PENA;O
DE;O
MULTA;O
.;O
PROGRESSÃO;O
DE;O
REGIME;O
.;O
IMPOSSIBILIDADE;O
.;O
1;O
.;O
O;O
inadimplemento;O
deliberado;O
da;O
pena;O
de;O
multa;O
cumulativamente;O
aplicada;O
ao;O
sentenciado;O
impede;O
a;O
progressão;O
no;O
regime;O
prisional;O
.;O
"
";O
"
";O
2;O
.;O
Tal;O
regra;O
somente;O
é;O
excepcionada;O
pela;O
comprovação;O
da;O
absoluta;O
impossibilidade;O
econômica;O
do;O
apenado;O
em;O
pagar;O
a;O
multa;O
,;O
ainda;O
que;O
parceladamente;O
.;O
"
";O
"
";O
3;O
.;O
Agravo;O
regimental;O
desprovido;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
sob;O
a;O
Presidência;O
do;O
Ministro;B_Pessoa
Ricardo;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
na;O
conformidade;O
da;O
ata;O
de;O
julgamento;O
e;O
das;O
notas;O
taquigráficas;O
,;O
por;O
maioria;O
de;O
votos;O
em;O
,;O
preliminarmente;O
,;O
não;O
acolher;O
o;O
pedido;O
de;O
sustentação;O
oral;O
formulado;O
pela;O
defesa;O
,;O
vencido;O
o;O
Ministro;B_Pessoa
Marco;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
que;O
o;O
acolhia;O
.;O
E;O
,;O
por;O
maioria;O
de;O
votos;O
,;O
acordam;O
em;O
negar;O
provimento;O
ao;O
agravo;O
regimental;O
,;O
vencido;O
o;O
Ministro;B_Pessoa
Marco;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
que;O
o;O
provia;O
.;O
Ausentes;O
,;O
justificadamente;O
,;O
os;O
Ministros;B_Pessoa
Celso;I_Pessoa
de;I_Pessoa
Mello;I_Pessoa
e;O
Gilmar;B_Pessoa
Mendes;I_Pessoa
.;I_Pessoa
"
";O
"
";O
Brasília;O
,;O
08;O
de;O
abril;O
de;O
2015;O
.;O
"
";O
"
";O
MINISTRO;B_Pessoa
LUÍS;I_Pessoa
ROBERTO;I_Pessoa
BARROSO;I_Pessoa
-;O
RELATOR;O
08/04/2015;O
PLENÁRIO;O
"
";O
"
";O
AG;O
.;O
REG;O
.;O
NA;O
PROGRESSÃO;O
DE;O
REGIME;O
NA;O
EXECUÇÃO;O
PENAL;O
12;O
DISTRITO;O
FEDERAL;O
"
";O
"
";O
RELATOR;O
:;O
MIN;B_Pessoa
.;I_Pessoa
ROBERTO;I_Pessoa
BARROSOAGTE;O
.;O
(;O
S;O
);O
:;O
ROMEU;B_Pessoa
FERREIRA;I_Pessoa
QUEIROZ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
MARCELO;B_Pessoa
LEONARDO;I_Pessoa
"
";O
"
";O
R;O
E;O
L;O
A;O
T;O
Ó;O
R;O
I;O
O;O
"
";O
"
";O
O;O
SENHOR;B_Pessoa
MINISTRO;I_Pessoa
LUÍS;I_Pessoa
ROBERTO;I_Pessoa
BARROSO;I_Pessoa
(;O
RELATOR;O
);O
:;O
"
";O
"
";O
1;O
.;O
Trata;O
-;O
se;O
de;O
agravo;O
regimental;O
interposto;O
por;O
Romeu;B_Pessoa
Ferreira;I_Pessoa
Queiroz;I_Pessoa
contra;O
decisão;O
monocrática;O
de;O
minha;O
lavra;O
que;O
indeferiu;O
o;O
pedido;O
de;O
progressão;O
para;O
o;O
regime;O
prisional;O
aberto;O
.;O
"
";O
"
";O
I;O
.;O
FUNDAMENTOS;O
DA;O
DECISÃO;O
AGRAVADA;O
"
";O
"
";O
2;O
.;O
O;O
sentenciado;O
foi;O
condenado;O
pelos;O
crimes;O
de;O
corrupção;O
passiva;O
e;O
lavagem;O
de;O
dinheiro;O
à;O
pena;O
de;O
6;O
(;O
seis;O
);O
anos;O
e;O
6;O
(;O
seis;O
);O
meses;O
de;O
reclusão;O
,;O
em;O
regime;O
inicial;O
semiaberto;O
,;O
bem;O
assim;O
à;O
pena;O
de;O
multa;O
fixada;O
em;O
330;O
dias;O
-;O
multa;O
.;O
"
";O
"
";O
3;O
.;O
Em;O
19.12.2014;O
,;O
deixei;O
de;O
conceder;O
o;O
regime;O
prisional;O
aberto;O
,;O
sobretudo;O
porque;O
