Token;Tag
Ementa;O
:;O
DIREITO;O
CONSTITUCIONAL;O
.;O
MEDIDA;O
CAUTELAR;O
EM;O
"
";O
"
";O
AÇÃO;O
DE;O
DESCUMPRIMENTO;O
DE;O
PRECEITO;O
FUNDAMENTAL;O
.;O
PROCESSO;O
DE;O
IMPEACHMENT;O
.;O
DEFINIÇÃO;O
DA;O
LEGITIMIDADE;O
CONSTITUCIONAL;O
DO;O
RITO;O
PREVISTO;O
NA;O
LEI;B_Ref. Legislativa
Nº;I_Ref. Legislativa
1.079/1950;I_Ref. Legislativa
.;I_Ref. Legislativa
ADOÇÃO;O
,;O
COMO;O
LINHA;O
GERAL;O
,;O
DAS;O
MESMAS;O
REGRAS;O
SEGUIDAS;O
EM;O
1992;O
.;O
CABIMENTO;O
DA;O
AÇÃO;O
E;O
CONCESSÃO;O
PARCIAL;O
DE;O
MEDIDAS;O
CAUTELARES;O
.;O
CONVERSÃO;O
EM;O
JULGAMENTO;O
DEFINITIVO;O
.;O
"
";O
"
";O
I;O
.;O
CABIMENTO;O
DA;O
ADPF;O
E;O
DAS;O
MEDIDAS;O
CAUTELARES;O
"
";O
"
";O
INCIDENTAIS;O
"
";O
"
";O
1;O
.;O
A;O
presente;O
ação;O
tem;O
por;O
objeto;O
central;O
analisar;O
a;O
compatibilidade;O
do;O
rito;O
de;O
impeachment;O
de;O
Presidente;O
da;O
República;O
previsto;O
na;O
Lei;B_Ref. Legislativa
nº;I_Ref. Legislativa
1.079/1950;I_Ref. Legislativa
com;O
a;O
Constituição;O
de;O
1988;O
.;O
A;O
ação;O
é;O
cabível;O
,;O
mesmo;O
se;O
considerarmos;O
que;O
requer;O
,;O
indiretamente;O
,;O
a;O
declaração;O
de;O
inconstitucionalidade;O
de;O
norma;O
posterior;O
à;O
Constituição;O
e;O
que;O
pretende;O
superar;O
omissão;O
parcial;O
inconstitucional;O
.;O
Fungibilidade;O
das;O
ações;O
diretas;O
que;O
se;O
prestam;O
a;O
viabilizar;O
o;O
controle;O
de;O
constitucionalidade;O
abstrato;O
e;O
em;O
tese;O
.;O
Atendimento;O
ao;O
requisito;O
da;O
subsidiariedade;O
,;O
tendo;O
em;O
vista;O
que;O
somente;O
a;O
apreciação;O
cumulativa;O
de;O
tais;O
pedidos;O
é;O
capaz;O
de;O
assegurar;O
o;O
amplo;O
esclarecimento;O
do;O
rito;O
do;O
impeachment;O
por;O
parte;O
do;O
STF;O
.;O
"
";O
"
";O
2;O
.;O
A;O
cautelar;O
incidental;O
requerida;O
diz;O
respeito;O
à;O
forma;O
de;O
votação;O
(;O
secreta;O
ou;O
aberta;O
);O
e;O
ao;O
tipo;O
de;O
candidatura;O
(;O
indicação;O
pelo;O
líder;O
ou;O
candidatura;O
avulsa;O
);O
dos;O
membros;O
da;O
Comissão;O
Especial;O
na;O
Câmara;O
dos;O
Deputados;O
.;O
A;O
formação;O
da;O
referida;O
Comissão;O
foi;O
questionada;O
na;O
inicial;O
,;O
ainda;O
que;O
sob;O
outro;O
prisma;O
.;O
Interpretação;O
da;O
inicial;O
de;O
modo;O
a;O
conferir;O
maior;O
efetividade;O
ao;O
pronunciamento;O
judicial;O
.;O
Pedido;O
cautelar;O
incidental;O
que;O
pode;O
ser;O
recebido;O
,;O
inclusive;O
,;O
como;O
aditamento;O
à;O
inicial;O
.;O
Inocorrência;O
de;O
violação;O
ao;O
princípio;O
do;O
juiz;O
natural;O
,;O
pois;O
a;O
ADPF;O
foi;O
à;O
livre;O
distribuição;O
e;O
os;O
pedidos;O
da;O
cautelar;O
incidental;O
são;O
abrangidos;O
pelos;O
pleitos;O
da;O
inicial;O
.;O
"
";O
"
";O
II;O
.;O
MÉRITO;O
:;O
DELIBERAÇÕES;O
POR;O
MAIORIA1;O
.;O
PAPÉIS;O
DA;O
CÂMARA;O
DOS;O
DEPUTADOS;O
E;O
DO;O
SENADO;O
IMPEACHMENT;O
(;O
ITENS;O
C;O
,;O
G;O
,;O
H;O
E;O
I;O
DO;O
"
";O
"
";O
FEDERAL;O
NO;O
PROCESSO;O
DE;O
"
";O
"
";O
PEDIDO;O
CAUTELAR;O
);O
:;O
"
";O
"
";O
1.1;O
.;O
Apresentada;O
denúncia;O
contra;O
o;O
Presidente;O
da;O
República;O
por;O
crime;O
de;O
responsabilidade;O
,;O
compete;O
à;O
Câmara;O
dos;O
Deputados;O
autorizar;O
a;O
instauração;O
de;O
processo;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
51;I_Ref. Legislativa
,;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
CF/1988;I_Ref. Legislativa
