Token;Tag
Trata;O
-;O
se;O
 ;O
de;O
 ;O
habeas;O
 ;O
corpus;O
,;O
 ;O
com;O
 ;O
pedido;O
 ;O
de;O
 ;O
liminar;O
,;O
 ;O
impetrado;O
 ;O
por;O
 ;O
Ademar;O
 ;O
Rigueira;O
 ;O
Neto;O
 ;O
e;O
 ;O
outros;O
 ;O
em;O
 ;O
favor;O
 ;O
de;O
 ;O
Erisvaldo;B_Pessoa
 ;I_Pessoa
Guedes;I_Pessoa
 ;I_Pessoa
de;I_Pessoa
 ;I_Pessoa
Carvalho;I_Pessoa
 ;I_Pessoa
contra;O
 ;O
acórdão;O
 ;O
do;O
 ;O
Superior;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
que;O
 ;O
negou;O
 ;O
provimento;O
 ;O
ao;O
 ;O
agravo;O
 ;O
regimental;O
 ;O
no;O
 ;O
AREsp;B_Precedente
 ;I_Precedente
354.638;I_Precedente
/;I_Precedente
PE;I_Precedente
.;I_Precedente
 ;O
"
";O
"
";O
O;O
 ;O
paciente;O
 ;O
foi;O
 ;O
condenado;O
 ;O
pela;O
 ;O
suposta;O
 ;O
prática;O
 ;O
do;O
 ;O
crime;O
 ;O
de;O
 ;O
lesão;O
 ;O
corporal;O
,;O
 ;O
tipificado;O
 ;O
no;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
129;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
2º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
III;I_Ref. Legislativa
 ;I_Ref. Legislativa
e;I_Ref. Legislativa
 ;I_Ref. Legislativa
IV;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
do;I_Ref. Legislativa
 ;I_Ref. Legislativa
Código;I_Ref. Legislativa
 ;I_Ref. Legislativa
Penal;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
à;O
 ;O
pena;O
 ;O
de;O
 ;O
6;O
 ;O
(;O
seis;O
);O
 ;O
anos;O
 ;O
de;O
 ;O
reclusão;O
,;O
 ;O
em;O
 ;O
regime;O
 ;O
inicial;O
 ;O
fechado;O
.;O
 ;O
"
";O
"
";O
Em;O
 ;O
sede;O
 ;O
de;O
 ;O
apelação;O
,;O
 ;O
o;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
do;O
 ;O
Estado;O
 ;O
de;O
 ;O
Pernambuco;O
 ;O
deu;O
 ;O
provimento;O
 ;O
parcial;O
 ;O
ao;O
 ;O
recurso;O
 ;O
defensivo;O
 ;O
para;O
 ;O
determinar;O
 ;O
ao;O
 ;O
magistrado;O
 ;O
de;O
 ;O
primeiro;O
 ;O
grau;O
 ;O
a;O
 ;O
fundamentação;O
 ;O
da;O
 ;O
fixação;O
 ;O
da;O
 ;O
pena;O
 ;O
acima;O
 ;O
do;O
 ;O
mínimo;O
 ;O
legal;O
,;O
 ;O
além;O
 ;O
de;O
 ;O
fixar;O
 ;O
o;O
 ;O
regime;O
 ;O
inicial;O
 ;O
semiaberto;O
 ;O
para;O
 ;O
o;O
 ;O
seu;O
 ;O
cumprimento;O
.;O
 ;O
"
";O
"
";O
Ao;O
 ;O
argumento;O
 ;O
da;O
 ;O
ausência;O
 ;O
de;O
 ;O
intimação;O
 ;O
para;O
 ;O
o;O
 ;O
julgamento;O
 ;O
do;O
 ;O
apelo;O
,;O
 ;O
a;O
 ;O
Defesa;O
 ;O
formulou;O
 ;O
pedido;O
 ;O
revisional;O
 ;O
perante;O
 ;O
a;O
 ;O
Corte;O
 ;O
Estadual;O
,;O
 ;O
que;O
,;O
 ;O
ao;O
 ;O
conhecer;O
 ;O
do;O
 ;O
pleito;O
 ;O
como;O
 ;O
habeas;O
 ;O
corpus;O
,;O
 ;O
concedeu;O
 ;O
a;O
 ;O
ordem;O
 ;O
para;O
 ;O
anular;O
 ;O
o;O
 ;O
julgamento;O
 ;O
da;O
 ;O
apelação;O
 ;O
e;O
 ;O
determinar;O
 ;O
a;O
 ;O
repetição;O
