Token;Tag
DECISÃO;O
:;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
interposto;O
 ;O
contra;O
 ;O
acórdão;O
 ;O
que;O
,;O
 ;O
confirmado;O
,;O
 ;O
em;O
 ;O
sede;O
 ;O
de;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
,;O
 ;O
pelo;O
 ;O
E;O
.;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
do;O
 ;O
Distrito;O
 ;O
Federal;O
 ;O
e;O
 ;O
dos;O
 ;O
Territórios;O
,;O
 ;O
está;O
 ;O
assim;O
 ;O
ementado;O
 ;O
(;O
fls;O
.;O
 ;O
309/310;O
);O
:;O
 ;O
"
";O
"
";O
“EMBARGOS;O
 ;O
À;O
 ;O
EXECUÇÃO;O
.;O
 ;O
BENEFÍCIO;O
 ;O
ALIMENTAÇÃO;O
.;O
 ;O
FALTA;O
 ;O
DE;O
 ;O
PROCURAÇÃO;O
.;O
 ;O
NULIDADE;O
 ;O
SANÁVEL;O
.;O
 ;O
PRINCÍPIO;O
 ;O
DA;O
 ;O
CELERIDADE;O
 ;O
E;O
 ;O
DA;O
 ;O
INSTRUMENTALIDADE;O
 ;O
DAS;O
 ;O
FORMAS;O
.;O
 ;O
MEMÓRIA;O
 ;O
DE;O
 ;O
CÁLCULOS;O
.;O
 ;O
LITISPENDÊNCIA;O
.;O
 ;O
FALTA;O
 ;O
DE;O
 ;O
INTERESSE;O
 ;O
PROCESSUAL;O
.;O
 ;O
ILEGITIMIDADE;O
 ;O
ATIVA;O
 ;O
AD;O
 ;O
CAUSAM;O
.;O
 ;O
NÃO;O
 ;O
OCORRÊNCIA;O
.;O
 ;O
FRACIONAMENTO;O
.;O
 ;O
RPV;O
.;O
 ;O
PROVOCAÇÃO;O
 ;O
DE;O
 ;O
INCIDENTE;O
 ;O
DE;O
 ;O
INCONSTITUCIONALIDADE;O
 ;O
DA;O
 ;O
LEI;B_Ref. Legislativa
 ;I_Ref. Legislativa
DISTRITAL;I_Ref. Legislativa
 ;I_Ref. Legislativa
N;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
3.624/2005;I_Ref. Legislativa
 ;I_Ref. Legislativa
REJEITADA;O
.;O
 ;O
EXCESSO;O
 ;O
DE;O
 ;O
EXECUÇÃO;O
.;O
 ;O
JUROS;O
 ;O
DE;O
 ;O
