Token;Tag
DECISÃO;O
:;O
Registro;O
,;O
preliminarmente;O
,;O
por;O
necessário;O
,;O
que;O
o;O
Supremo;O
Tribunal;O
Federal;O
,;O
mediante;O
edição;O
da;O
Emenda;B_Ref. Legislativa
Regimental;I_Ref. Legislativa
nº;I_Ref. Legislativa
30;I_Ref. Legislativa
,;I_Ref. Legislativa
de;I_Ref. Legislativa
29;I_Ref. Legislativa
de;I_Ref. Legislativa
maio;I_Ref. Legislativa
de;I_Ref. Legislativa
2009;I_Ref. Legislativa
,;I_Ref. Legislativa
delegou;O
expressa;O
competência;O
ao;O
Relator;O
da;O
causa;O
para;O
,;O
em;O
sede;O
de;O
julgamento;O
monocrático;O
,;O
denegar;O
ou;O
conceder;O
a;O
ordem;O
de;O
“habeas;O
corpus”;O
,;O
“ainda;O
que;O
de;O
ofício”;O
,;O
desde;O
que;O
a;O
matéria;O
versada;O
no;O
“writ”;O
em;O
questão;O
constitua;O
“objeto;O
de;O
jurisprudência;O
consolidada;O
do;O
Tribunal”;O
(;O
RISTF;B_Ref. Legislativa
,;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
192;I_Ref. Legislativa
,;I_Ref. Legislativa
“caput”;I_Ref. Legislativa
,;I_Ref. Legislativa
na;O
redação;O
dada;O
pela;O
ER;I_Ref. Legislativa
nº;I_Ref. Legislativa
30/2009;I_Ref. Legislativa
,;I_Ref. Legislativa
e;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
312;I_Ref. Legislativa
–;O
Recurso;O
em;O
“habeas;O
corpus”;O
);O
.;O
"
";O
"
";O
Ao;O
assim;O
proceder;O
,;O
fazendo;O
-;O
o;O
mediante;O
interna;O
delegação;O
de;O
atribuições;O
jurisdicionais;O
,;O
esta;O
Suprema;O
Corte;O
,;O
atenta;O
às;O
exigências;O
de;O
celeridade;O
e;O
de;O
racionalização;O
do;O
processo;O
decisório;O
,;O
limitou;O
-;O
se;O
a;O
reafirmar;O
princípio;O
consagrado;O
em;O
nosso;O
ordenamento;O
positivo;O
(;O
RISTF;B_Ref. Legislativa
,;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
21;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
"1º;";I_Ref. Legislativa
Lei;B_Ref. Legislativa
nº;I_Ref. Legislativa
8.038/90;I_Ref. Legislativa
,;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
