Token;Tag
0058311RS;O
-;O
OAB;O
0058311RS;O
);O
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
EMENTA;O
:;O
INQUÉRITO;O
.;O
IMPUTAÇÃO;O
DOS;O
CRIMES;O
PREVISTOS;O
NOS;O
ARTS;B_Ref. Legislativa
.;I_Ref. Legislativa
317;I_Ref. Legislativa
DO;I_Ref. Legislativa
CÓDIGO;I_Ref. Legislativa
PENAL;I_Ref. Legislativa
E;O
1°;B_Ref. Legislativa
,;I_Ref. Legislativa
V;I_Ref. Legislativa
,;I_Ref. Legislativa
VI;I_Ref. Legislativa
,;I_Ref. Legislativa
VII;I_Ref. Legislativa
,;I_Ref. Legislativa
DA;I_Ref. Legislativa
LEI;I_Ref. Legislativa
9.613/1998;I_Ref. Legislativa
.;I_Ref. Legislativa
FORO;O
POR;O
PRERROGATIVA;O
DE;O
FUNÇÃO;O
:;O
HIPÓTESE;O
EM;O
QUE;O
NÃO;O
É;O
RECOMENDÁVEL;O
CISÃO;O
DO;O
PROCESSO;O
.;O
PRESIDENTE;O
DA;O
CÂMARA;O
DOS;O
DEPUTADOS;O
:;O
NÃO;O
CABIMENTO;O
DE;O
APLICAÇÃO;O
ANALÓGICA;O
DO;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
86;I_Ref. Legislativa
,;I_Ref. Legislativa
§;I_Ref. Legislativa
4º;I_Ref. Legislativa
DA;I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
.;I_Ref. Legislativa
CERCEAMENTO;O
DE;O
DEFESA;O
E;O
ILICITUDE;O
DE;O
PROVA;O
:;O
INEXISTÊNCIA;O
.;O
PRELIMINARES;O
REJEITADAS;O
.;O
COLABORAÇÃO;O
PREMIADA;O
:;O
REGIME;O
DE;O
SIGILO;O
E;O
EFICÁCIA;O
PERANTE;O
TERCEIROS;O
.;O
REQUISITOS;O
DO;O
ART;I_Ref. Legislativa
.;I_Ref. Legislativa
41;I_Ref. Legislativa
DO;I_Ref. Legislativa
CPP;I_Ref. Legislativa
:;I_Ref. Legislativa
INDÍCIOS;O
DE;O
AUTORIA;O
E;O
MATERIALIDADE;O
DEMONSTRADOS;O
EM;O
RELAÇÃO;O
À;O
SEGUNDA;O
PARTE;O
DA;O
DENÚNCIA;O
.;O
DENÚNCIA;O
PARCIALMENTE;O
RECEBIDA;O
.;O
"
";O
"
";O
1;O
.;O
Segundo;O
entendimento;O
afirmado;O
por;O
seu;O
Plenário;O
,;O
cabe;O
ao;O
Supremo;O
Tribunal;O
Federal;O
,;O
ao;O
exercer;O
sua;O
prerrogativa;O
exclusiva;O
de;O
decidir;O
sobre;O
a;O
cisão;O
de;O
processos;O
envolvendo;O
agentes;O
com;O
prerrogativa;O
de;O
foro;O
,;O
promover;O
,;O
em;O
regra;O
,;O
o;O
seu;O
desmembramento;O
,;O
