Token;Tag
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ASSEMBLÉIA;O
LEGISLATIVA;O
DO;O
ESTADO;O
DE;O
MATO;O
"
";O
"
";O
GROSSO;O
DO;O
SUL;O
"
";O
"
";O
EMENTA;O
:;O
CONSTITUCIONAL;O
E;O
ADMINISTRATIVO;O
.;O
LEI;I_Ref. Legislativa
3.041/05;I_Ref. Legislativa
,;I_Ref. Legislativa
DO;O
ESTADO;O
DO;O
MATO;O
GROSSO;O
DO;O
SUL;O
.;O
LICITAÇÕES;O
E;O
CONTRATAÇÕES;O
COM;O
O;O
PODER;O
PÚBLICO;O
.;O
DOCUMENTOS;O
EXIGIDOS;O
PARA;O
HABILITAÇÃO;O
.;O
CERTIDÃO;O
NEGATIVA;O
DE;O
VIOLAÇÃO;O
A;O
DIREITOS;O
DO;O
CONSUMIDOR;O
.;O
DISPOSIÇÃO;O
COM;O
SENTIDO;O
AMPLO;O
,;O
NÃO;O
VINCULADA;O
A;O
QUALQUER;O
ESPECIFICIDADE;O
.;O
INCONSTITUCIONALIDADE;O
FORMAL;O
,;O
POR;O
INVASÃO;O
DA;O
COMPETÊNCIA;O
PRIVATIVA;O
DA;O
UNIÃO;O
PARA;O
LEGISLAR;O
SOBRE;O
A;O
MATÉRIA;O
(;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
22;I_Ref. Legislativa
,;I_Ref. Legislativa
INCISO;I_Ref. Legislativa
XXVII;I_Ref. Legislativa
,;I_Ref. Legislativa
DA;I_Ref. Legislativa
CF;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
"
";O
"
";O
1;O
.;O
A;O
igualdade;O
de;O
condições;O
dos;O
concorrentes;O
em;O
licitações;O
,;O
embora;O
seja;O
enaltecida;O
pela;O
Constituição;B_Ref. Legislativa
(;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
37;I_Ref. Legislativa
,;I_Ref. Legislativa
XXI;I_Ref. Legislativa
);I_Ref. Legislativa
,;I_Ref. Legislativa
pode;O
ser;O
relativizada;O
por;O
duas;O
vias;O
:;O
(;O
a;O
);O
pela;O
lei;O
,;O
mediante;O
o;O
estabelecimento;O
de;O
condições;O
de;O
diferenciação;O
exigíveis;O
em;O
"abstrato;";O
e;O
(;O
b;O
);O
pela;O
autoridade;O
responsável;O
pela;O
condução;O
do;O
processo;O
licitatório;O
,;O
que;O
poderá;O
estabelecer;O
elementos;O
de;O
distinção;O
circunstanciais;O
,;O
de;O
qualificação;O
técnica;O
e;O
econômica;O
,;O
sempre;O
vinculados;O
à;O
garantia;O
de;O
cumprimento;O
de;O
obrigações;O
específicas;O
.;O
"
";O
"
";O
2;O
.;O
Somente;O
a;O
lei;O
federal;O
poderá;O
,;O
em;O
âmbito;O
geral;O
,;O
estabelecer;O
desequiparações;O
entre;O
os;O
concorrentes;O
e;O
assim;O
restringir;O
o;O
direito;O
de;O
participar;O
de;O
licitações;O
em;O
condições;O
de;O
igualdade;O
.;O
Ao;O
direito;O
estadual;O
(;O
ou;O
municipal;O
);O
somente;O
será;O
legítimo;O
inovar;O
neste;O
particular;O
se;O
tiver;O
como;O
objetivo;O
estabelecer;O
condições;O
específicas;O
,;O
nomeadamente;O
quando;O
relacionadas;O
a;O
uma;O
classe;O
de;O
objetos;O
a;O
serem;O
contratados;O
ou;O
a;O
peculiares;O
circunstâncias;O
de;O
interesse;O
local;O
.;O
"
";O
"
";O
3;O
.;O
Ao;O
inserir;O
a;O
Certidão;O
de;O
Violação;O
aos;O
Direitos;O
do;O
Consumidor;O
no;O
rol;O
de;O
documentos;O
exigidos;O
para;O
a;O
habilitação;O
,;O
o;O
legislador;O
estadual;O
se;O
arvorou;O
na;O
condição;O
de;O
intérprete;O
primeiro;O
do;O
direito;O
constitucional;O
de;O
acesso;O
a;O
licitações;O
e;O
criou;O
uma;O
presunção;O
legal;O
,;O
de;O
sentido;O
e;O
alcance;O
amplíssimos;O
,;O
segundo;O
a;O
qual;O
a;O
existência;O
de;O
registros;O
desabonadores;O
nos;O
cadastros;O
públicos;O
de;O
proteção;O
do;O
consumidor;O
é;O
motivo;O
suficiente;O
para;O
justificar;O
o;O
impedimento;O
de;O
contratar;O
com;O
a;O
Administração;O
local;O
.;O
"
";O
"
";O
4;O
.;O
Ao;O
dispor;O
nesse;O
sentido;O
,;O
a;O
Lei;B_Ref. Legislativa
Estadual;I_Ref. Legislativa
3.041/05;I_Ref. Legislativa
se;O
dissociou;O
dos;O
termos;O
gerais;O
do;O
ordenamento;O
nacional;O
de;O
licitações;O
e;O
contratos;O
,;O
e;O
,;O
com;O
isso;O
,;O
usurpou;O
a;O
competência;O
privativa;O
da;O
União;O
de;O
dispor;O
sobre;O
normas;O
gerais;O
na;O
matéria;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
22;I_Ref. Legislativa
,;I_Ref. Legislativa
XXVII;I_Ref. Legislativa
,;I_Ref. Legislativa
da;I_Ref. Legislativa
CF;I_Ref. Legislativa
);I_Ref. Legislativa
.;O
"
";O
"
";O
5;O
.;O
Ação;O
direta;O
de;O
inconstitucionalidade;O
julgada;O
procedente;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
em;O
Sessão;O
Plenária;O
,;O
sob;O
a;O
Presidência;O
do;O
Ministro;B_Pessoa
RICARDO;I_Pessoa
LEWANDOWSKI;I_Pessoa
,;I_Pessoa
em;O
conformidade;O
com;O
a;O
ata;O
de;O
julgamento;O
e;O
as;O
notas;O
taquigráficas;O
,;O
por;O
maioria;O
e;O
nos;O
termos;O
do;O
voto;O
do;O
Relator;O
,;O
em;O
julgar;O
procedente;O
o;O
pedido;O
formulado;O
para;O
declarar;O
a;O
inconstitucionalidade;O
da;O
Lei;B_Ref. Legislativa
nº;I_Ref. Legislativa
3.041/2005;I_Ref. Legislativa
,;I_Ref. Legislativa
do;O
Estado;O
de;O
Mato;O
Grosso;O
do;O
Sul;O
,;O
inexistindo;O
efeito;O
repristinatório;O
em;O
relação;O
às;O
leis;O
anteriores;O
de;O
mesmo;O
conteúdo;O
,;O
vencidos;O
os;O
Ministros;O
Marco;B_Pessoa
Aurélio;I_Pessoa
e;O
Celso;B_Pessoa
de;I_Pessoa
Mello;I_Pessoa
.;I_Pessoa
Ausentes;O
,;O
neste;O
julgamento;O
,;O
os;O
Ministros;O
Gilmar;B_Pessoa
Mendes;I_Pessoa
e;O
Cármen;B_Pessoa
Lúcia;I_Pessoa
.;I_Pessoa
Falou;O
pelo;O
Estado;O
de;O
Mato;O
Grosso;O
do;O
Sul;O
o;O
Dr;O
.;O
Ulisses;B_Pessoa
Schwarz;I_Pessoa
Viana;I_Pessoa
,;I_Pessoa
Procurador;O
do;O
Estado;O
.;O
"
";O
"
";O
Brasília;O
,;O
8;O
de;O
setembro;O
de;O
2016;O
.;O
"
";O
"
";O
Ministro;O
TEORI;O
ZAVASCKI;O
"
";O
"
";O
Relator;O
"
";O
"
";O
AÇÃO;B_Precedente
DIRETA;I_Precedente
DE;I_Precedente
INCONSTITUCIONALIDADE;I_Precedente
3.735;I_Precedente
MATO;I_Precedente
GROSSO;I_Precedente
DO;I_Precedente
SUL;I_Precedente
"
";I_Precedente
"
";O
RELATOR;O
:;O
MIN;B_Pessoa
.;I_Pessoa
TEORI;I_Pessoa
ZAVASCKIREQTE;O
.;O
(;O
S;O
);O
:;O
PROCURADOR;O
-;O
GERAL;O
DA;O
REPÚBLICA;O
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
GOVERNADOR;O
DO;O
ESTADO;O
DE;O
MATO;O
GROSSO;O
DO;O
"
";O
"
";O
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ASSEMBLÉIA;O
LEGISLATIVA;O
DO;O
ESTADO;O
DE;O
MATO;O
"
";O
"
";O
GROSSO;O
DO;O
SUL;O
"
";O
"
";O
R;O
E;O
L;O
A;O
T;O
Ó;O
R;O
I;O
O;O
"
";O
"
";O
O;O
SENHOR;O
MINISTRO;B_Pessoa
TEORI;I_Pessoa
ZAVASCKI;I_Pessoa
(;O
RELATOR;O
);O
:;O
Trata;O
-;O
se;O
de;O
ação;O
direta;O
de;O
inconstitucionalidade;O
,;O
com;O
pedido;O
de;O
medida;O
cautelar;O
,;O
proposta;O
pelo;O
Procurador;O
-;O
Geral;O
da;O
República;O
para;O
impugnar;O
a;O
Lei;B_Ref. Legislativa
3.041;I_Ref. Legislativa
,;I_Ref. Legislativa
de;I_Ref. Legislativa
7;I_Ref. Legislativa
de;I_Ref. Legislativa
julho;I_Ref. Legislativa
de;I_Ref. Legislativa
2005;I_Ref. Legislativa
,;I_Ref. Legislativa
do;O
Estado;O
do;O
Mato;O
Grosso;O
do;O
Sul;O
,;O
editada;O
para;O
instituir;O
“no;O
âmbito;O
da;O
administração;O
pública;O
,;O
a;O
Certidão;O
de;O
Violação;O
aos;O
Direitos;O
do;O
Consumidor;O
-;O
CVDC”;O
.;O
"
";O
"
";O
Este;O
o;O
teor;O
da;O
norma;O
impugnada;O
:;O
"
";O
"
";O
“LEI;I_Ref. Legislativa
Nº;I_Ref. Legislativa
