Token;Tag
DECISÃO;O
:;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
mandado;O
 ;O
de;O
 ;O
segurança;O
,;O
 ;O
com;O
 ;O
pedido;O
 ;O
de;O
 ;O
medida;O
 ;O
liminar;O
,;O
 ;O
impetrado;O
 ;O
com;O
 ;O
o;O
 ;O
objetivo;O
 ;O
de;O
 ;O
questionar;O
 ;O
a;O
 ;O
validade;O
 ;O
jurídica;O
 ;O
de;O
 ;O
deliberação;O
 ;O
que;O
,;O
 ;O
emanada;O
 ;O
do;O
 ;O
E;O
.;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Contas;O
 ;O
da;O
 ;O
União;O
,;O
 ;O
considerou;O
 ;O
ilegais;O
 ;O
“;O
(;O
.;O
.;O
.;O
);O
 ;O
os;O
 ;O
pagamentos;O
 ;O
feitos;O
 ;O
à;O
 ;O
ora;O
 ;O
impetrante;O
,;O
 ;O
de;O
 ;O
forma;O
 ;O
cumulada;O
,;O
 ;O
a;O
 ;O
título;O
 ;O
de;O
 ;O
pensão;O
 ;O
civil;O
,;O
 ;O
decorrentes;O
 ;O
do;O
 ;O
falecimento;O
 ;O
de;O
 ;O
seu;O
 ;O
esposo”;O
,;O
 ;O
determinando;O
,;O
 ;O
em;O
 ;O
consequência;O
,;O
 ;O
ao;O
 ;O
E;O
.;O
 ;O
Tribunal;O
 ;O
Superior;O
 ;O
do;O
 ;O
Trabalho;O
 ;O
(;O
órgão;O
 ;O
pagador;O
);O
 ;O
a;O
 ;O
suspensão;O
 ;O
de;O
 ;O
tais;O
 ;O
pagamentos;O
,;O
 ;O
bem;O
 ;O
assim;O
 ;O
a;O
 ;O
convocação;O
 ;O
da;O
 ;O
pensionista;O
,;O
 ;O
ora;O
 ;O
impetrante;O
,;O
 ;O
para;O
 ;O
optar;O
 ;O
entre;O
 ;O
a;O
 ;O
pensão;O
 ;O
civil;O
 ;O
de;O
 ;O
Ministro;O
 ;O
do;O
 ;O
Tribunal;O
 ;O
Superior;O
 ;O
do;O
 ;O
Trabalho;O
 ;O
e;O
 ;O
a;O
 ;O
pensão;O
 ;O
civil;O
 ;O
de;O
 ;O
Procurador;O
 ;O
Federal;O
 ;O
do;O
 ;O
INSS;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
autora;O
 ;O
desta;O
 ;O
impetração;O
 ;O
mandamental;O
 ;O
sustenta;O
 ;O
violação;O
 ;O
ao;O
 ;O
direito;O
 ;O
