Token;Tag
DECISÃO;O
:;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
recursos;O
 ;O
de;O
 ;O
agravo;O
,;O
 ;O
ambos;O
 ;O
interpostos;O
 ;O
por;O
 ;B_Pessoa
Sueli;I_Pessoa
 ;I_Pessoa
Neiva;I_Pessoa
 ;I_Pessoa
Schneider;I_Pessoa
.;I_Pessoa
 ;O
O;O
 ;O
primeiro;O
 ;O
agravo;O
 ;O
foi;O
 ;O
deduzido;O
 ;O
contra;O
 ;O
decisão;O
 ;O
do;O
 ;O
E;O
.;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
do;O
 ;O
Estado;O
 ;O
do;O
 ;O
Rio;O
 ;O
Grande;O
 ;O
do;O
 ;O
Sul;O
,;O
 ;O
que;O
 ;O
proferiu;O
 ;O
juízo;O
 ;O
negativo;O
 ;O
de;O
 ;O
admissibilidade;O
 ;O
do;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
interposto;O
 ;O
contra;O
 ;O
decisão;O
 ;O
emanada;O
 ;O
desse;O
 ;O
Tribunal;O
 ;O
local;O
,;O
 ;O
e;O
 ;O
o;O
 ;O
segundo;O
 ;O
recurso;O
 ;O
de;O
 ;O
agravo;O
 ;O
foi;O
 ;O
interposto;O
 ;O
contra;O
 ;O
decisão;O
 ;O
da;O
 ;O
Vice;O
-;O
Presidência;O
 ;O
do;O
 ;O
E;O
.;O
 ;O
Superior;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
,;O
 ;O
que;O
 ;O
não;O
 ;O
admitiu;O
 ;O
apelo;O
 ;O
extremo;O
 ;O
manifestado;O
 ;O
contra;O
 ;O
acórdão;O
 ;O
dessa;O
 ;O
Alta;O
 ;O
Corte;O
,;O
 ;O
proferido;O
 ;O
em;O
 ;O
sede;O
 ;O
de;O
 ;O
recurso;O
 ;O
especial;O
.;O
 ;O
"
";O
"
";O
O;O
 ;O
exame;O
 ;O
da;O
 ;O
presente;O
 ;O
causa;O
,;O
 ;O
no;O
 ;O
entanto;O
,;O
 ;O
evidencia;O
 ;O
que;O
 ;O
as;O
 ;O
pretensões;O
 ;O
recursais;O
 ;O
não;O
 ;O
se;O
 ;O
mostram;O
 ;O
processualmente;O
 ;O
viáveis;O
.;O
 ;O
"
";O
"
";O
Com;O
 ;O
efeito;O
,;O
 ;O
quanto;O
 ;O
ao;O
 ;O
primeiro;O
 ;O
agravo;O
,;O
