Token;Tag
Ementa;O
e;O
Acórdão;O
06/06/2018;O
PLENÁRIO;O
"
";O
"
";O
AG;B_Precedente
.;I_Precedente
REG;I_Precedente
.;I_Precedente
NA;I_Precedente
AÇÃO;I_Precedente
DECLARATÓRIA;I_Precedente
DE;I_Precedente
CONSTITUCIONALIDADE;I_Precedente
40;I_Precedente
DISTRITO;I_Precedente
FEDERAL;I_Precedente
"
";I_Precedente
"
";O
RELATOR;O
:;O
MIN;B_Pessoa
.;I_Pessoa
DIAS;I_Pessoa
TOFFOLIAGTE;O
.;O
(;O
S;O
);O
:;O
CONFEDERAÇÃO;O
BRASILEIRA;O
DE;O
"
";O
"
";O
TRABALHADORES;O
POLICIAIS;O
CIVIS;O
-;O
COBRAPOL;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
KAUE;B_Pessoa
DE;I_Pessoa
BARROS;I_Pessoa
MACHADO;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
THAISI;B_Pessoa
ALEXANDRE;I_Pessoa
JORGE;I_Pessoa
SIQUEIRA;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
PRESIDENTE;O
DA;O
REPÚBLICA;O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ADVOGADO;O
-;O
GERAL;O
DA;O
UNIÃO;O
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
CONGRESSO;O
NACIONAL;O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
SEM;O
REPRESENTAÇÃO;O
NOS;O
AUTOS;O
"
";O
"
";O
EMENTA;O
"
";O
"
";O
Agravo;O
regimental;O
em;O
ação;O
declaratória;O
de;O
constitucionalidade;O
.;O
Artigo;B_Ref. Legislativa
2º;I_Ref. Legislativa
da;I_Ref. Legislativa
Lei;I_Ref. Legislativa
Federal;I_Ref. Legislativa
nº;I_Ref. Legislativa
13.064;I_Ref. Legislativa
,;I_Ref. Legislativa
de;I_Ref. Legislativa
30;I_Ref. Legislativa
de;I_Ref. Legislativa
dezembro;I_Ref. Legislativa
de;I_Ref. Legislativa
2014;I_Ref. Legislativa
.;I_Ref. Legislativa
Ausência;O
de;O
controvérsia;O
judicial;O
relevante;O
.;O
Agravo;O
a;O
que;O
se;O
nega;O
provimento;O
.;O
"
";O
"
";O
1;O
.;O
O;O
seguimento;O
da;O
