Token;Tag
Ementa;O
 ;O
e;O
 ;O
Acórdão;O
 ;O
"
";O
"
";O
10/05/2018;O
 ;O
PLENÁRIO;O
 ;O
"
";O
"
";O
AG;B_Precedente
.;I_Precedente
REG;I_Precedente
.;I_Precedente
 ;I_Precedente
NA;I_Precedente
 ;I_Precedente
PETIÇÃO;I_Precedente
 ;I_Precedente
3.240;I_Precedente
 ;I_Precedente
DISTRITO;I_Precedente
 ;I_Precedente
FEDERAL;I_Precedente
 ;I_Precedente
:;I_Precedente
 ;I_Precedente
MIN;I_Precedente
.;I_Precedente
 ;I_Precedente
ROBERTO;I_Precedente
 ;I_Precedente
BARROSO;I_Precedente
 ;I_Precedente
"
";O
"
";O
RELATOR;O
 ;O
:;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
TEORI;I_Pessoa
 ;I_Pessoa
ZAVASCKIREDATOR;O
 ;O
DO;O
 ;O
ACÓRDÃOAGTE;O
.;O
(;O
S;O
);O
 ;O
:;B_Pessoa
ELISEU;I_Pessoa
 ;I_Pessoa
LEMOS;I_Pessoa
 ;I_Pessoa
PADILHA;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
MARCELO;B_Pessoa
 ;I_Pessoa
HENRIQUES;I_Pessoa
 ;I_Pessoa
RIBEIRO;I_Pessoa
 ;I_Pessoa
DE;I_Pessoa
 ;I_Pessoa
OLIVEIRA;I_Pessoa
 ;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
MINISTÉRIO;O
 ;O
PÚBLICO;O
 ;O
FEDERAL;O
 ;O
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
 ;O
:;O
PROCURADOR;O
-;O
GERAL;O
 ;O
DA;O
 ;O
REPÚBLICA;O
 ;O
"
";O
"
";O
Ementa;O
:;O
 ;O
DIREITO;O
 ;O
CONSTITUCIONAL;O
.;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
EM;O
 ;O
PETIÇÃO;O
.;O
 ;O
SUJEIÇÃO;O
 ;O
DOS;O
 ;O
AGENTES;O
 ;O
POLÍTICOS;O
 ;O
A;O
 ;O
DUPLO;O
 ;O
REGIME;O
 ;O
SANCIONATÓRIO;O
 ;O
EM;O
 ;O
MATÉRIA;O
 ;O
DE;O
 ;O
IMPROBIDADE;O
.;O
 ;O
IMPOSSIBILIDADE;O
 ;O
DE;O
 ;O
EXTENSÃO;O
 ;O
DO;O
 ;O
FORO;O
 ;O
POR;O
 ;O
PRERROGATIVA;O
 ;O
DE;O
 ;O
FUNÇÃO;O
 ;O
À;O
 ;O
AÇÃO;O
 ;O
DE;O
 ;O
IMPROBIDADE;O
 ;O
ADMINISTRATIVA;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
Os;O
 ;O
agentes;O
 ;O
políticos;O
,;O
 ;O
com;O
 ;O
exceção;O
 ;O
do;O
 ;O
Presidente;O
 ;O
da;O
 ;O
República;O
,;O
 ;O
encontram;O
-;O
se;O
 ;O
sujeitos;O
 ;O
a;O
 ;O
um;O
 ;O
duplo;O
 ;O
regime;O
 ;O
sancionatório;O
,;O
 ;O
de;O
 ;O
modo;O
 ;O
que;O
 ;O
se;O
 ;O
submetem;O
 ;O
tanto;O
 ;O
à;O
 ;O
responsabilização;O
 ;O
civil;O
 ;O
pelos;O
 ;O
atos;O
 ;O
de;O
 ;O
improbidade;O
 ;O
administrativa;O
,;O
 ;O
quanto;O
 ;O
à;O
 ;O
responsabilização;O
 ;O
político;O
-;O
administrativa;O
 ;O
por;O
 ;O
crimes;O
 ;O
de;O
 ;O
responsabilidade;O
.;O
 ;O
Não;O
 ;O
há;O
 ;O
qualquer;O
 ;O
impedimento;O
 ;O
à;O
 ;O
concorrência;O
 ;O
de;O
 ;O
esferas;O
 ;O
de;O
 ;O
responsabilização;O
 ;O
distintas;O
,;O
 ;O
de;O
 ;O
modo;O
 ;O
que;O
 ;O
carece;O
 ;O
de;O
 ;O
fundamento;O
 ;O
constitucional;O
 ;O
a;O
 ;O
tentativa;O
 ;O
de;O
 ;O
imunizar;O
 ;O
os;O
 ;O
agentes;O
 ;O
políticos;O
 ;O
das;O
 ;O
sanções;O
 ;O
da;O
 ;O
ação;O
 ;O
de;O
 ;O
improbidade;O
 ;O
administrativa;O
,;O
 ;O
a;O
 ;O
pretexto;O
 ;O
de;O
 ;O
que;O
 ;O
estas;O
 ;O
seriam;O
 ;O
absorvidas;O
 ;O
pelo;O
 ;O
crime;O
 ;O
de;O
 ;O
responsabilidade;O
.;O
 ;O
A;O
