Token;Tag
SEGURO;O
DPVAT;O
S;O
/;O
A;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
RAFAEL;B_Pessoa
BARROSO;I_Pessoa
FONTELLES;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
EMENTA;O
:;O
1;O
);O
SEGURO;O
DPVAT;O
.;O
AÇÃO;O
DIRETA;O
DE;O
INCONSTITUCIONALIDADE;O
.;O
LEGITIMIDADE;O
DA;O
CNS;O
PARA;O
A;O
PROPOSITURA;O
DA;O
PRESENTE;O
AÇÃO;O
.;O
PERTINÊNCIA;O
TEMÁTICA;O
DA;O
ATUAÇÃO;O
DA;O
REQUERENTE;O
COM;O
OS;O
DESDOBRAMENTOS;O
DAS;O
ALTERAÇÕES;O
PROMOVIDAS;O
PELAS;O
LEIS;O
CONJURADAS;O
NA;O
REGULAMENTAÇÃO;O
DO;O
SEGURO;O
DPVAT;O
.;O
"
";O
"
";O
2;O
);O
A;O
PROCURAÇÃO;O
COM;O
PODERES;O
ESPECÍFICOS;O
PARA;O
A;O
PROPOSITURA;O
DE;O
ADI;O
ATRELADA;O
AOS;O
AUTOS;O
APÓS;O
A;O
DISTRIBUIÇÃO;O
DA;O
AÇÃO;O
SUPRE;O
A;O
INCAPACIDADE;O
POSTULATÓRIA;O
AB;O
ORIGINE;O
.;O
VÍCIO;O
SANADO;O
.;O
"
";O
"
";O
3;O
);O
RELEVÂNCIA;O
E;O
URGÊNCIA;O
PARA;O
O;O
TRATAMENTO;O
DA;O
MATÉRIA;O
SEGURO;O
DPVAT;O
EM;O
SEDE;O
DE;O
MEDIDA;O
PROVISÓRIA;O
.;O
REQUISITOS;O
PRESENTES;O
.;O
"
";O
"
";O
4;O
);O
A;O
COMPATIBILIDADE;O
DAS;O
NORMAS;O
LEGAIS;O
COM;O
O;O
TEXTO;O
DA;O
LC;O
nº;O
95/98;O
ENCERRA;O
CONTROVÉRSIA;O
DE;O
ÍNDOLE;O
INFRACONSTITUCIONAL;O
INSINDICÁVEL;O
EM;O
SEDE;O
DE;O
CONTROLE;O
CONCENTRADO;O
DE;O
CONSTITUCIONALIDADE;O
.;O
"
";O
"
";O
5;O
);O
O;O
PRINCÍPIO;O
DA;O
PROPORCIONALIDADE;O
E;O
OS;O
ARTIGOS;O
196;O
,;O
197;O
E;O
199;O
DA;O
CONSTITUIÇÃO;O
DA;O
REPÚBLICA;O
RESTAM;O
IMACULADOS;O
NA;O
ALTERAÇÃO;O
DA;O
SISTEMÁTICA;O
DO;O
"
";O
"
";O
PAGAMENTO;O
DO;O
DPVAT;O
QUE;O
ENGENDROU;O
COM;O
O;O
NOVEL;O
SISTEMA;O
SECURITÁRIO;O
,;O
POSTO;O
HARMÔNICO;O
COM;O
AS;O
NORMAS;O
CONSTITUCIONAIS;O
.;O
"
";O
"
";O
6;O
);O
OS;O
PRINCÍPIOS;O
DA;O
DIGNIDADE;O
DA;O
PESSOA;O
HUMANA;O
,;O
DA;O
PROPORCIONALIDADE;O
E;O
DA;O
VEDAÇÃO;O
AO;O
RETROCESSO;O
SOCIAL;O
,;O
MÁXIME;O
DIANTE;O
DOS;O
MECANISMOS;O
COMPENSATÓRIOS;O
ENCARTADOS;O
NA;O
ORDEM;O
NORMATIVA;O
SUB;O
JUDICE;O
,;O
RESTAM;O
PRESERVADOS;O
NA;O
TABELA;O
LEGAL;O
PARA;O
O;O
CÁLCULO;O
DA;O
INDENIZAÇÃO;O
DO;O
SEGURO;O
DPVAT;O
.;O
"
";O
"
";O
7;O
);O
O;O
DIRIGISMO;O
CONTRATUAL;O
É;O
CONSECTÁRIO;O
DA;O
NOVA;O
DOGMÁTICA;O
DO;O
DIREITO;O
CIVIL;O
GRAVITANTE;O
EM;O
TORNO;O
DO;O
TEXTO;O
CONSTITUCIONAL;O
E;O
LEGITIMADORA;O
DA;O
PROIBIÇÃO;O
LEGAL;O
DE;O
CESSÃO;O
DO;O
CRÉDITO;O
DO;O
DPVAT;O
.;O
"
";O
"
";O
8;O
);O
O;O
NOVEL;O
REGRAMENTO;O
DO;O
SEGURO;O
DPVAT;O
NÃO;O
IMPEDE;O
AS;O
VÍTIMAS;O
DE;O
ACIDENTES;O
DE;O
TRÂNSITO;O
DE;O
ELEGEREM;O
OS;O
HOSPITAIS;O
PARTICULARES;O
PARA;O
O;O
SEU;O
ATENDIMENTO;O
.;O
"
";O
"
";O
9;O
);O
DIREITO;O
À;O
INCLUSÃO;O
LEGAL;O
DO;O
ÍNDICE;O
DE;O
CORREÇÃO;O
MONETÁRIA;O
DO;O
VALOR;O
DA;O
INDENIZAÇÃO;O
DEVIDA;O
A;O
TÍTULO;O
DE;O
SEGURO;O
DPVAT;O
.;O
NECESSIDADE;O
DE;O
INICIATIVA;O
DO;O
PODER;O
COMPETENTE;O
.;O
"
";O
"
";O
10;O
);O
IMPROCEDÊNCIA;O
DAS;O
AÇÕES;B_Precedente
DIRETAS;I_Precedente
DE;I_Precedente
INCONSTITUCIONALIDADE;I_Precedente
N°;I_Precedente
4.350;I_Precedente
E;O
4.627;B_Precedente
.;I_Precedente
IMPROCEDÊNCIA;O
DO;O
PEDIDO;O
DE;O
DECLARAÇÃO;O
DE;O
INCONSTITUCIONALIDADE;O
DO;O
ART;O
.;O
8º;O
DA;O
LEI;O
Nº;O
11.482/07;O
E;O
DOS;O
ARTS;O
.;O
30;O
A;O
32;O
DA;O
LEI;O
Nº;O
11.945/09;O
.;O
"
";O
"
";O
A;O
C;O
Ó;O
R;O
D;O
Ã;O
O;O
"
";O
"
";O
Vistos;O
,;O
relatados;O
e;O
discutidos;O
estes;O
autos;O
,;O
acordam;O
os;O
Ministros;O
do;O
Supremo;O
Tribunal;O
Federal;O
,;O
em;O
Sessão;O
Plenária;O
,;O
sob;O
a;O
Presidência;I_Pessoa
do;I_Pessoa
Senhor;I_Pessoa
Ministro;I_Pessoa
Ricardo;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
na;O
conformidade;O
da;O
ata;O
de;O
julgamentos;O
e;O
das;O
notas;O
taquigráficas;O
,;O
por;O
maioria;O
de;O
votos;O
,;O
vencido;O
o;O
"
";O
"
";O
Senhor;B_Pessoa
Ministro;I_Pessoa
Marco;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
em;O
julgar;O
improcedente;O
a;O
ação;O
direta;O
,;O
nos;O
termos;O
do;O
voto;O
do;O
Relator;O
.;O
"
";O
"
";O
Brasília;O
,;O
23;O
de;O
outubro;O
de;O
2014;O
.;O
Ministro;B_Pessoa
LUIZ;I_Pessoa
FUX;I_Pessoa
–;O
Relator;O
Documento;O
assinado;O
digitalmente;O
"
";O
"
";O
AÇÃO;B_Precedente
DIRETA;I_Precedente
DE;I_Precedente
INCONSTITUCIONALIDADE;I_Precedente
4.350;I_Precedente
DISTRITO;I_Precedente
FEDERAL;I_Precedente
"
";O
"
";O
RELATOR;O
:;O
MIN;B_Pessoa
.;I_Pessoa
LUIZ;I_Pessoa
FUXREQTE;O
.;O
(;O
S;O
);O
:;O
CONFEDERAÇÃO;O
NACIONAL;O
DE;O
SAÚDE;O
,;O
HOSPITAIS;O
E;O
ESTABELECIMENTOS;O
E;O
SERVIÇOS;O
-;O
CNS;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ALEXANDRE;B_Pessoa
VENZON;I_Pessoa
ZANETTI;I_Pessoa
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
PRESIDENTE;O
DA;O
REPÚBLICA;O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
ADVOGADO;O
-;O
GERAL;O
DA;O
UNIÃO;O
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
CONGRESSO;O
NACIONAL;O
AM;O
.;O
CURIAE;O
.;O
:;O
SEGURADORA;O
LÍDER;O
DOS;O
CONSÓRCIOS;O
DO;O
"
";O
"
";O
SEGURO;O
DPVAT;O
S;O
/;O
A;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
:;O
RAFAEL;B_Pessoa
BARROSO;I_Pessoa
FONTELLES;I_Pessoa
E;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
"
";O
"
";O
R;O
E;O
L;O
A;O
T;O
Ó;O
R;O
I;O
O;O
"
";O
"
";O
O;O
SENHOR;O
MINISTRO;B_Pessoa
LUIZ;I_Pessoa
FUX;I_Pessoa
(;O
RELATOR;O
);O
:;O
Senhor;O
Presidente;O
,;O
Senhores;O
Ministros;O
,;O
Ilustre;O
Procurador;O
-;O
Geral;O
da;O
República;O
,;O
Senhores;O
advogados;O
presentes;O
,;O
apresento;O
para;O
julgamento;O
simultâneo;O
duas;O
ADIs;O
que;O
versam;O
a;O
respeito;O
de;O
um;O
mesmo;O
tema;O
,;O
qual;O
seja;O
,;O
impugnação;O
à;O
novel;O
legislação;O
do;O
seguro;O
DPVAT;O
.;O
Uma;O
delas;O
,;O
a;O
ADI;B_Precedente
nº;I_Precedente
4.350;I_Precedente
foi;O
ajuizada;O
pela;O
Confederação;O
Nacional;O
de;O
Saúde;O
,;O
Hospitais;O
e;O
Estabelecimentos;O
e;O
Serviços;O
–;O
CNS;O
,;O
a;O
outra;O
,;O
de;O
número;O
4.627;B_Precedente
,;I_Precedente
tem;O
como;O
requerente;O
o;O
Partido;O
Socialismo;O
e;O
Liberdade;O
–;O
PSOL;O
.;O
"
";O
"
";O
Passo;O
a;O
relatar;O
,;O
inicialmente;O
,;O
a;O
ADI;B_Precedente
nº;I_Precedente
4.350;I_Precedente
.;I_Precedente
"
";O
"
";O
Cuidam;O
os;O
autos;O
de;O
Ação;O
Direta;O
de;O
Inconstitucionalidade;O
movida;O
pela;O
Confederação;O
Nacional;O
de;O
Saúde;O
,;O
Hospitais;O
e;O
Estabelecimentos;O
e;O
Serviços;O
–;O
CNS;O
contra;O
o;O
artigo;O
20;O
da;O
Medida;O
Provisória;O
nº;O
451/2008;O
e;O
do;O
artigo;O
31;O
da;O
Lei;O
nº;O
11.945/2009;O
,;O
no;O
tocante;O
à;O
alteração;O
promovida;O
no;O
artigo;O
3º;O
da;O
Lei;O
nº;O
6.194;O
de;O
1974;O
.;O
"
";O
"
";O
Os;O
dispositivos;O
impugnados;O
possuem;O
a;O
seguinte;O
redação;O
:;O
"
";O
"
";O
Artigo;O
20;O
da;O
Medida;O
Provisória;O
nº;O
451/2008;O
:;O
"
";O
"
";O
Art;O
.;O
20;O
.;O
Os;O
arts;O
.;O
3º;O
e;O
5º;O
da;O
Lei;O
nº;O
6.194;O
,;O
de;O
19;O
de;O
dezembro;O
de;O
1974;O
,;O
passam;O
a;O
vigorar;O
com;O
as;O
seguintes;O
alterações;O
:;O
"
";O
"
";O
"""Art";O
.;O
3º;O
Os;O
danos;O
pessoais;O
cobertos;O
pelo;O
seguro;O
estabelecido;O
no;O
art;O
.;O
2º;O
desta;O
Lei;O
compreendem;O
as;O
indenizações;O
por;O
morte;O
,;O
por;O
invalidez;O
permanente;O
,;O
total;O
ou;O
parcial;O
,;O
e;O
por;O
despesas;O
de;O
assistência;O
médica;O
e;O
suplementares;O
,;O
nos;O
valores;O
e;O
conforme;O
as;O
regras;O
que;O
se;O
seguem;O
,;O
por;O
pessoa;O
vitimada;O
:;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
.;O
§;O
1º;O
No;O
caso;O
da;O
cobertura;O
de;O
que;O
trata;O
o;O
inciso;O
II;O
do;O
caput;O
,;O
deverão;O
ser;O
enquadradas;O
na;O
tabela;O
anexa;O
a;O
esta;O
Lei;O
as;O
lesões;O
diretamente;O
decorrentes;O
de;O
acidente;O
e;O
que;O
não;O
sejam;O
suscetíveis;O
de;O
amenização;O
proporcionada;O
por;O
qualquer;O
medida;O
terapêutica;O
,;O
classificando;O
-;O
se;O
a;O
invalidez;O
permanente;O
como;O
total;O
ou;O
parcial;O
,;O
subdividindo;O
-;O
se;O
a;O
invalidez;O
permanente;O
parcial;O
em;O
completa;O
e;O
incompleta;O
,;O
conforme;O
a;O
extensão;O
das;O
perdas;O
anatômicas;O
ou;O
funcionais;O
,;O
observado;O
o;O
disposto;O
abaixo;O
:;O
"
";O
"
";O
I;O
-;O
quando;O
se;O
tratar;O
de;O
invalidez;O
permanente;O
parcial;O
completa;O
,;O
a;O
perda;O
anatômica;O
ou;O
funcional;O
será;O
diretamente;O
enquadrada;O
em;O
um;O
dos;O
segmentos;O
orgânicos;O
ou;O
corporais;O
previstos;O
na;O
tabela;O
anexa;O
,;O
correspondendo;O
a;O
indenização;O
ao;O
valor;O
resultante;O
da;O
aplicação;O
do;O
percentual;O
ali;O
estabelecido;O
ao;O
valor;O
máximo;O
da;O
"cobertura;";O
e;O
"
";O
"
";O
II;O
-;O
quando;O
se;O
tratar;O
de;O
invalidez;O
permanente;O
parcial;O
incompleta;O
,;O
será;O
efetuado;O
o;O
enquadramento;O
da;O
perda;O
anatômica;O
"""";O
ou;O
funcional;O
na;O
forma;O
prevista;O
no;O
inciso;O
anterior;O
,;O
procedendo;O
-;O
se;O
,;O
em;O
seguida;O
,;O
à;O
redução;O
proporcional;O
da;O
indenização;O
que;O
corresponderá;O
a;O
setenta;O
e;O
cinco;O
por;O
cento;O
para;O
as;O
perdas;O
de;O
repercussão;O
intensa;O
,;O
cinqüenta;O
por;O
cento;O
para;O
as;O
de;O
média;O
repercussão;O
,;O
vinte;O
e;O
cinco;O
por;O
cento;O
para;O
as;O
de;O
leve;O
repercussão;O
,;O
adotando;O
-;O
se;O
ainda;O
o;O
percentual;O
de;O
dez;O
por;O
cento;O
,;O
nos;O
casos;O
de;O
seqüelas;O
residuais;O
.;O
"
";O
"
";O
§;O
2º;O
O;O
seguro;O
previsto;O
nesta;O
Lei;O
não;O
contempla;O
as;O
despesas;O
decorrentes;O
do;O
atendimento;O
médico;O
ou;O
