seq_decisao,id_elasticsearch,tipo,cod_origem,unanime
581157,20120802_Rcl_14003_76217662,1,4,
285531,20150302_RE_861115_305513530,1,14,
754766,20110831_ARE_652454_3761238,1,12,
174311,20160919_MI_6617_310312185,1,17,
2330941,20180809_RHC_157321_314957364,1,7,
2360300,20181018_HC_162764_15338864359,1,6,
112803,20160201_HC_132184_308418258,1,9,
323200,20151001_RHC_128515_307832857,0,20,0.0
2398139,20181219_Pet_7168_15339274256,0,14,0.0
806017,20120828_ARE_689457_2906011,0,10,1.0
543611,20150210_RHC_122806_298050978,0,2,1.0
308610,20170831_RE_434251_312597800,0,2,
533349,20140324_Rcl_15696_208795207,0,10,
514825,20141203_ADI_4350_285683668,0,20,
