Token;Tag
DECISÃO;O
:;O
 ;O
1;O
.;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
ação;O
 ;O
originária;O
 ;O
proposta;O
 ;O
contra;O
 ;O
ato;O
 ;O
do;O
 ;O
"
";O
"
";O
Conselho;O
 ;O
Nacional;O
 ;O
de;O
 ;O
Justiça;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
Há;O
 ;O
uma;O
 ;O
questão;O
 ;O
de;O
 ;O
ordem;O
 ;O
pública;O
 ;O
a;O
 ;O
ser;O
 ;O
examinada;O
.;O
 ;O
O;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
‘r’;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
 ;I_Ref. Legislativa
estabelece;O
 ;O
a;O
 ;O
competência;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
 ;O
para;O
 ;O
“processar;O
 ;O
e;O
 ;O
julgar;O
,;O
 ;O
originariamente;O
 ;O
(;O
…;O
);O
 ;O
as;O
 ;O
ações;O
 ;O
contra;O
 ;O
o;O
 ;O
Conselho;O
 ;O
Nacional;O
 ;O
de;O
 ;O
Justiça;O
 ;O
e;O
 ;O
contra;O
 ;O
o;O
 ;O
Conselho;O
 ;O
Nacional;O
 ;O
do;O
 ;O
Ministério;O
 ;O
Público”;O
.;O
 ;O
Em;O
 ;O
acórdão;O
 ;O
unânime;O
 ;O
do;O
 ;O
Plenário;O
,;O
 ;O
de;O
 ;O
18.12.2013;O
,;O
 ;O
a;O
 ;O
Corte;O
 ;O
definiu;O
 ;O
o;O
 ;O
sentido;O
 ;O
e;O
 ;O
o;O
 ;O
alcance;O
 ;O
dessa;O
 ;O
norma;O
 ;O
constitucional;O
 ;O
de;O
 ;O
competência;O
,;O
 ;O
firmando;O
 ;O
a;O
 ;O
seguinte;O
 ;O
orientação;O
:;O
 ;O
"
";O
"
";O
“CONSELHO;O
 ;O
NACIONAL;O
 ;O
DE;O
 ;O
JUSTIÇA;O
 ;O
(;O
CNJ;O
);O
 ;O
–;O
 ;O
CAUSAS;O
 ;O
DE;O
 ;O
