Token;Tag
AEROPORTUARIA;O
 ;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
KARLA;B_Pessoa
 ;I_Pessoa
DANIELLE;I_Pessoa
 ;I_Pessoa
SANTOS;I_Pessoa
 ;I_Pessoa
ALVES;I_Pessoa
 ;I_Pessoa
MAIA;I_Pessoa
 ;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
BRUNO;B_Pessoa
 ;I_Pessoa
AZEVEDO;I_Pessoa
 ;I_Pessoa
CABRAL;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
ANDRÉ;B_Pessoa
 ;I_Pessoa
CARLOS;I_Pessoa
 ;I_Pessoa
PINTO;I_Pessoa
 ;I_Pessoa
LINS;I_Pessoa
 ;I_Pessoa
INTDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
TRIBUNAL;O
 ;O
REGIONAL;O
 ;O
DO;O
 ;O
TRABALHO;O
 ;O
DA;O
 ;O
6ª;O
 ;O
"
";O
"
";O
REGIÃO;O
 ;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
SEM;O
 ;O
REPRESENTAÇÃO;O
 ;O
NOS;O
 ;O
AUTOS;O
 ;O
"
";O
"
";O
EMENTA;O
:;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
NA;O
 ;O
RECLAMAÇÃO;O
.;O
 ;O
AUSÊNCIA;O
 ;O
DE;O
 ;O
IMPUGNAÇÃO;O
 ;O
DOS;O
 ;O
FUNDAMENTOS;O
 ;O
DA;O
 ;O
DECISÃO;O
 ;O
AGRAVADA;O
.;O
 ;O
INVIABILIDADE;O
 ;O
DO;O
 ;O
REGIMENTAL;O
.;O
 ;O
PISO;O
 ;O
SALARIAL;O
 ;O
DE;O
 ;O
CATEGORIA;O
 ;O
PROFISSIONAL;O
.;O
 ;O
FIXAÇÃO;O
 ;O
EM;O
 ;O
MÚLTIPLOS;O
 ;O
DE;O
 ;O
SALÁRIOS;O
 ;O
MÍNIMOS;O
.;O
 ;O
