Token;Tag
DECISÃO;O
:;O
 ;O
1;O
.;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
agravo;O
 ;O
contra;O
 ;O
decisão;O
 ;O
que;O
 ;O
inadmitiu;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
interposto;O
 ;O
com;O
 ;O
base;O
 ;O
no;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
 ;I_Ref. Legislativa
Federal;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
em;O
 ;O
que;O
 ;O
a;O
 ;O
parte;O
 ;O
recorrente;O
 ;O
sustenta;O
 ;O
a;O
 ;O
existência;O
 ;O
de;O
 ;O
repercussão;O
 ;O
geral;O
 ;O
da;O
 ;O
matéria;O
 ;O
e;O
 ;O
aponta;O
 ;O
ofensa;O
,;O
 ;O
pelo;O
 ;O
juízo;O
 ;O
recorrido;O
,;O
 ;O
a;O
 ;O
dispositivos;O
 ;O
constitucionais;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
O;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
 ;O
firmou;O
 ;O
entendimento;O
 ;O
no;O
 ;O
sentido;O
 ;O
de;O
 ;O
que;O
 ;O
é;O
 ;O
ônus;O
 ;O
do;O
 ;O
recorrente;O
 ;O
a;O
 ;O
demonstração;O
 ;O
formal;O
 ;O
e;O
 ;O
fundamentada;O
 ;O
de;O
 ;O
repercussão;O
 ;O
geral;O
 ;O
da;O
 ;O
matéria;O
 ;O
constitucional;O
 ;O
discutida;O
 ;O
no;O
 ;O
recurso;O
 ;O
extraordinário;O
,;O
 ;O
com;O
 ;O
indicação;O
 ;O
específica;O
 ;O
das;O
 ;O
circunstâncias;O
 ;O
reais;O
 ;O
que;O
 ;O
evidenciem;O
,;O
 ;O
no;O
 ;O
caso;O
 ;O
concreto;O
,;O
 ;O
a;O
 ;O
relevância;O
 ;O
econômica;O
,;O
 ;O
política;O
,;O
 ;O
social;O
 ;O
ou;O
 ;O
jurídica;O
.;O
 ;O
Não;O
 ;O
bastam;O
,;O
 ;O
portanto;O
,;O
 ;O
para;O
 ;O
que;O
 ;O
