Token;Tag
EMPRESAS;O
 ;O
LTDA;O
 ;O
"
";O
"
";O
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
CONCEIÇÃO;O
 ;O
RIBEIRO;O
 ;O
MOURA;O
 ;O
"
";O
"
";O
DECISÃO;O
 ;O
"
";O
"
";O
RECURSO;O
 ;O
EXTRAORDINÁRIO;O
 ;O
–;O
 ;O
MATÉRIA;O
 ;O
FÁTICA;O
 ;O
–;O
 ;O
INTERPRETAÇÃO;O
 ;O
DE;O
 ;O
NORMAS;O
 ;O
LEGAIS;O
 ;O
–;O
 ;O
INVIABILIDADE;O
 ;O
–;O
 ;O
AGRAVO;O
 ;O
DESPROVIDO;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
A;O
 ;O
recorribilidade;O
 ;O
extraordinária;O
 ;O
é;O
 ;O
distinta;O
 ;O
daquela;O
 ;O
revelada;O
 ;O
por;O
 ;O
simples;O
 ;O
revisão;O
 ;O
do;O
 ;O
que;O
 ;O
decidido;O
,;O
 ;O
procedida;O
,;O
 ;O
na;O
 ;O
maioria;O
 ;O
das;O
 ;O
vezes;O
,;O
 ;O
mediante;O
 ;O
o;O
 ;O
recurso;O
 ;O
por;O
 ;O
excelência;O
 ;O
a;O
 ;O
apelação;O
.;O
 ;O
Atua;O
-;O
se;O
 ;O
em;O
 ;O
sede;O
 ;O
excepcional;O
 ;O
a;O
 ;O
partir;O
 ;O
da;O
 ;O
moldura;O
 ;O
fática;O
 ;O
delineada;O
 ;O
soberanamente;O
 ;O
pelo;O
 ;O
Colegiado;O
 ;O
de;O
 ;O
origem;O
.;O
 ;O
A;O
 ;O
jurisprudência;O
 ;O
é;O
 ;O
pacífica;O
 ;O
a;O
 ;O
respeito;O
,;O
 ;O
devendo;O
-;O
se;O
 ;O
ter;O
 ;O
presente;O
 ;O
o;O
 ;O
verbete;B_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
279;I_Precedente
 ;I_Precedente
da;I_Precedente
 ;I_Precedente
Súmula;I_Precedente
 ;I_Precedente
do;I_Precedente
 ;I_Precedente
Supremo;I_Precedente
:;I_Precedente
 ;O
"
";O
"
";O
Para;O
 ;O
simples;O
 ;O
reexame;O
 ;O
de;O
 ;O
prova;O
 ;O
não;O
 ;O
cabe;O
 ;O
recurso;O
 ;O
extraordinário;O
.;O
 ;O
"
";O
"
";O
Colho;O
 ;O
da;O
 ;O
decisão;O
 ;O
recorrida;O
 ;O
os;O
 ;O
seguintes;O
 ;O
fundamentos;O
:;O
 ;O
"
";O
"
";O
Ainda;O
,;O
 ;O
não;O
 ;O
se;O
 ;O
verifica;O
 ;O
a;O
 ;O
alegada;O
 ;O
ilegitimidade;O
 ;O
ad;O
 ;O
causam;O
 ;O
do;O
 ;O
Ministério;O
 ;O
Público;O
 ;O
do;O
 ;O
Estado;O
 ;O
de;O
 ;O
São;O
 ;O
Paulo;O
,;O
 ;O
já;O
 ;O
que;O
,;O
 ;O
muito;O
 ;O
embora;O
 ;O
a;O
 ;O
empresa;O
 ;O
Eletropaulo;O
 ;O
Metropolitana;O
 ;O
Eletricidade;O
 ;O
de;O
 ;O
São;O
 ;O
Paulo;O
 ;O
S;O
/;O
A;O
 ;O
tenha;O
 ;O
sido;O
 ;O
privatizada;O
,;O
 ;O
a;O
 ;O
alegada;O
 ;O
lesão;O
 ;O
foi;O
 ;O
direta;O
 ;O
ao;O
 ;O
patrimônio;O
 ;O
público;O
 ;O
já;O
 ;O
que;O
,;O
 ;O
à;O
 ;O
época;O
 ;O
dos;O
 ;O
fatos;O
,;O
 ;O
a;O
 ;O
mesma;O
 ;O
ainda;O
 ;O
era;O
 ;O
controlada;O
 ;O
pelo;O
 ;O
Estado;O
.;O
 ;O
"
";O
"
";O
Deste;O
 ;O
modo;O
,;O
 ;O
tem;O
-;O
se;O
 ;O
evidente;O
 ;O
a;O
 ;O
pertinência;O
 ;O
subjetiva;O
 ;O
da;O
 ;O
demanda;O
,;O
 ;O
já;O
 ;O
que;O
 ;O
(;O
.;O
.;O
.;O
);O
 ;O
O;O
 ;O
Ministério;O
 ;O
Público;O
 ;O
é;O
 ;O
parte;O
 ;O
legítima;O
 ;O
para;O
 ;O
promover;O
 ;O
Ação;O
 ;O
Civil;O
 ;O
Pública;O
 ;O
visando;O
 ;O
ao;O
 ;O
ressarcimento;O
 ;O
de;O
 ;O
dano;O
 ;O
ao;O
 ;O
erário;O
 ;O
público;O
.;O
"""";O
 ;O
(;O
STJ;B_Precedente
 ;I_Precedente
-;I_Precedente
 ;I_Precedente
Ia;I_Precedente
 ;I_Precedente
T;I_Precedente
.;I_Precedente
 ;I_Precedente
-;I_Precedente
 ;I_Precedente
REsp;I_Precedente
 ;I_Precedente
761.972;I_Precedente
/;I_Precedente
RS;I_Precedente
 ;I_Precedente
-;I_Precedente
 ;I_Precedente
Rei;I_Precedente
.;I_Precedente
 ;I_Precedente
Min;I_Precedente
.;I_Precedente
 ;I_Precedente
Luiz;I_Precedente
 ;I_Precedente
Fux;I_Precedente
 ;I_Precedente
-;I_Precedente
 ;I_Precedente
j;I_Precedente
.;I_Precedente
 ;I_Precedente
27.03.2007;I_Precedente
 ;I_Precedente
-;I_Precedente
 ;I_Precedente
DJU;I_Precedente
 ;I_Precedente
03.05.2007;I_Precedente
,;I_Precedente
 ;I_Precedente
p;I_Precedente
.;I_Precedente
 ;I_Precedente
219;I_Precedente
);I_Precedente
.;O
 ;O
Note;O
-;O
se;O
 ;O
que;O
 ;O
o;O
 ;O
raciocínio;O
 ;O
utilizado;O
 ;O
pelo;O
 ;O
pólo;O
 ;O
passivo;O
 ;O
é;O
 ;O
inconsistente;O
,;O
 ;O
pois;O
 ;O
desconsidera;O
 ;O
a;O
 ;O
diminuição;O
 ;O
causada;O
 ;O
em;O
 ;O
tese;O
 ;O
ao;O
 ;O
ativo;O
 ;O
da;O
 ;O
empresa;O
 ;O
pelo;O
 ;O
pagamento;O
 ;O
de;O
 ;O
despesas;O
 ;O
indevidas;O
,;O
 ;O
ato;O
 ;O
que;O
 ;O
trouxe;O
 ;O
reflexos;O
 ;O
no;O
 ;O
patrimônio;O
 ;O
desta;O
 ;O
e;O
,;O
 ;O
consequentemente;O
,;O
 ;O
nos;O
 ;O
cofres;O
 ;O
públicos;O
.;O
 ;O
[…]Ainda;O
,;O
 ;O
não;O
 ;O
há;O
 ;O
se;O
 ;O
falar;O
 ;O
em;O
 ;O
falta;O
 ;O
de;O
 ;O
interesse;O
 ;O
de;O
 ;O
agir;O
,;O
 ;O
condição;O
 ;O
tradicionalmente;O
 ;O
definida;O
 ;O
pela;O
 ;O
doutrina;O
 ;O
como;O
 ;O
um;O
 ;O
binômio;O
 ;O
-;O
 ;O
necessidade;O
 ;O
e;O
 ;O
adequação;O
 ;O
-;O
 ;O
que;O
 ;O
deve;O
 ;O
ser;O
 ;O
traduzido;O
 ;O
pela;O
 ;O
necessidade;O
 ;O
do;O
 ;O
provimento;O
 ;O
jurisdicional;O
 ;O
e;O
 ;O
pela;O
 ;O
adequação;O
 ;O
do;O
 ;O
procedimento;O
 ;O
adotado;O
 ;O
(;O
neste;O
 ;O
sentido;O
:;O
 ;O
CÂMARA;B_Doutrina
,;I_Doutrina
 ;I_Doutrina
Alexandre;I_Doutrina
 ;I_Doutrina
Freitas;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
Lições;I_Doutrina
 ;I_Doutrina
de;I_Doutrina
 ;I_Doutrina
Direito;I_Doutrina
 ;I_Doutrina
Processual;I_Doutrina
 ;I_Doutrina
Civil;I_Doutrina
,;I_Doutrina
 ;I_Doutrina
vol;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
/;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
10;I_Doutrina
 ;I_Doutrina
ed;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
Rio;I_Doutrina
 ;I_Doutrina
de;I_Doutrina
 ;I_Doutrina
Janeiro;I_Doutrina
,;I_Doutrina
 ;I_Doutrina
Ed;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
Lumen;I_Doutrina
 ;I_Doutrina
Juris;I_Doutrina
,;I_Doutrina
 ;I_Doutrina
2004;I_Doutrina
,;I_Doutrina
 ;I_Doutrina
pp;I_Doutrina
.;I_Doutrina
 ;I_Doutrina
125-127;I_Doutrina
);I_Doutrina
.;O
 ;O
[…]Consequentemente;O
,;O
 ;O
não;O
 ;O
há;O
 ;O
como;O
 ;O
reputar;O
 ;O
lícita;O
 ;O
a;O
 ;O
contratação;O
 ;O
efetivada;O
,;O
 ;O
mesmo;O
 ;O
porque;O
 ;O
uma;O
 ;O
das;O
 ;O
finalidades;O
 ;O
da;O
 ;O
licitação;O
 ;O
é;O
 ;O
proporcionar;O
 ;O
"""";O
(;O
.;O
.;O
.;O
);O
 ;O
a;O
 ;O
obtenção;O
 ;O
da;O
 ;O
proposta;O
 ;O
mais;O
 ;O
vantajosa;O
 ;O
(;O
a;O
 ;O
que;O
 ;O
melhor;O
 ;O
atende;O
 ;O
aos;O
 ;O
interesses;O
 ;O
da;O
 ;O
entidade;O
 ;O
licitante;O
);O
"""";O
 ;O
(;O
GASPARINI;B_Doutrina
