Token;Tag
EMENTA;O
:;O
 ;O
EXECUÇÃO;O
 ;O
PENAL;O
.;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
.;O
 ;O
INADIMPLEMENTO;O
 ;O
DELIBERADO;O
 ;O
DA;O
 ;O
PENA;O
 ;O
DE;O
 ;O
MULTA;O
.;O
 ;O
PROGRESSÃO;O
 ;O
DE;O
 ;O
REGIME;O
.;O
 ;O
IMPOSSIBILIDADE;O
.;O
 ;O
1;O
.;O
 ;O
O;O
 ;O
inadimplemento;O
 ;O
deliberado;O
 ;O
da;O
 ;O
pena;O
 ;O
de;O
 ;O
multa;O
 ;O
cumulativamente;O
 ;O
aplicada;O
 ;O
ao;O
 ;O
sentenciado;O
 ;O
impede;O
 ;O
a;O
 ;O
progressão;O
 ;O
no;O
 ;O
regime;O
 ;O
prisional;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
Tal;O
 ;O
regra;O
 ;O
somente;O
 ;O
é;O
 ;O
excepcionada;O
 ;O
pela;O
 ;O
comprovação;O
 ;O
da;O
 ;O
absoluta;O
 ;O
impossibilidade;O
 ;O
econômica;O
 ;O
do;O
 ;O
apenado;O
 ;O
em;O
 ;O
pagar;O
 ;O
a;O
 ;O
multa;O
,;O
 ;O
ainda;O
 ;O
que;O
 ;O
parceladamente;O
.;O
 ;O
"
";O
"
";O
3;O
.;O
 ;O
Agravo;O
 ;O
regimental;O
 ;O
desprovido;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
C;O
 ;O
Ó;O
 ;O
R;O
 ;O
D;O
 ;O
Ã;O
 ;O
O;O
 ;O
"
";O
"
";O
Vistos;O
,;O
 ;O
relatados;O
 ;O
e;O
 ;O
discutidos;O
 ;O
estes;O
 ;O
autos;O
,;O
 ;O
acordam;O
 ;O
os;O
 ;O
Ministros;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
,;O
 ;O
sob;O
 ;O
a;O
 ;O
Presidência;O
 ;O
do;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Ricardo;I_Pessoa
 ;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
 ;O
na;O
 ;O
conformidade;O
 ;O
da;O
 ;O
ata;O
 ;O
de;O
 ;O
julgamento;O
 ;O
e;O
 ;O
das;O
 ;O
notas;O
 ;O
taquigráficas;O
,;O
 ;O
por;O
 ;O
maioria;O
 ;O
de;O
 ;O
votos;O
 ;O
em;O
,;O
 ;O
preliminarmente;O
,;O
 ;O
não;O
 ;O
acolher;O
 ;O
o;O
 ;O
pedido;O
 ;O
de;O
 ;O
sustentação;O
 ;O
oral;O
 ;O
formulado;O
 ;O
pela;O
 ;O
defesa;O
,;O
 ;O
vencido;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Marco;I_Pessoa
 ;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
 ;O
que;O
 ;O
o;O
 ;O
acolhia;O
.;O
 ;O
E;O
,;O
 ;O
por;O
 ;O
maioria;O
 ;O
de;O
 ;O
votos;O
,;O
 ;O
acordam;O
 ;O
em;O
 ;O
negar;O
 ;O
provimento;O
 ;O
ao;O
 ;O
agravo;O
 ;O
regimental;O
,;O
 ;O
vencido;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Marco;I_Pessoa
 ;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
 ;O
que;O
 ;O
o;O
 ;O
provia;O
.;O
 ;O
Ausentes;O
,;O
 ;O
justificadamente;O
,;O
 ;O
os;O
 ;O
Ministros;B_Pessoa
 ;I_Pessoa
Celso;I_Pessoa
 ;I_Pessoa
de;I_Pessoa
 ;I_Pessoa
Mello;I_Pessoa
 ;I_Pessoa
e;O
 ;O
Gilmar;B_Pessoa
 ;I_Pessoa
Mendes;I_Pessoa
.;I_Pessoa
 ;O
"
";O
"
";O
Brasília;O
,;O
 ;O
08;O
 ;O
de;O
 ;O
abril;O
 ;O
de;O
 ;O
2015;O
.;O
 ;O
"
";O
"
";O
MINISTRO;B_Pessoa
 ;I_Pessoa
LUÍS;I_Pessoa
 ;I_Pessoa
ROBERTO;I_Pessoa
 ;I_Pessoa
BARROSO;I_Pessoa
 ;I_Pessoa
-;O
 ;O
RELATOR;O
 ;O
08/04/2015;O
 ;O
PLENÁRIO;O
 ;O
"
";O
"
";O
AG;O
.;O
REG;O
.;O
 ;O
NA;O
 ;O
PROGRESSÃO;O
 ;O
DE;O
 ;O
REGIME;O
 ;O
NA;O
 ;O
EXECUÇÃO;O
 ;O
PENAL;O
 ;O
12;O
 ;O
DISTRITO;O
