Token;Tag
Ementa;O
 ;O
e;O
 ;O
Acórdão;O
 ;O
"
";O
"
";O
29/06/2017;O
 ;O
PLENÁRIO;O
 ;O
"
";O
"
";O
QUESTÃO;O
 ;O
DE;O
 ;O
ORDEM;O
 ;O
NA;O
 ;O
PETIÇÃO;B_Precedente
 ;I_Precedente
7.074;I_Precedente
 ;I_Precedente
DISTRITO;I_Precedente
 ;I_Precedente
FEDERAL;I_Precedente
 ;I_Precedente
"
";O
"
";O
RELATOR;O
 ;O
:;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
EDSON;I_Pessoa
 ;I_Pessoa
FACHINREQTE;O
.;O
(;O
S;O
);O
 ;O
:;O
REINALDO;B_Pessoa
 ;I_Pessoa
AZAMBUJA;I_Pessoa
 ;I_Pessoa
SILVA;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
GUSTAVO;B_Pessoa
 ;I_Pessoa
PASSARELLI;I_Pessoa
 ;I_Pessoa
DA;I_Pessoa
 ;I_Pessoa
SILVA;I_Pessoa
 ;I_Pessoa
REQDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
MINISTÉRIO;O
 ;O
PÚBLICO;O
 ;O
FEDERAL;O
 ;O
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
 ;O
:;O
PROCURADOR;O
-;O
GERAL;O
 ;O
DA;O
 ;O
REPÚBLICA;O
 ;O
"
";O
"
";O
EMENTA;O
:;O
 ;O
QUESTÃO;O
 ;O
DE;O
 ;O
ORDEM;O
 ;O
EM;O
 ;O
PETIÇÃO;O
.;O
 ;O
COLABORAÇÃO;O
 ;O
PREMIADA;O
.;O
 ;O
I;O
.;O
 ;O
DECISÃO;O
 ;O
INICIAL;O
 ;O
DE;O
 ;O
HOMOLOGAÇÃO;O
 ;O
JUDICIAL;O
:;O
 ;O
LIMITES;O
 ;O
E;O
 ;O
ATRIBUIÇÃO;O
.;O
 ;O
REGULARIDADE;O
,;O
 ;O
LEGALIDADE;O
 ;O
E;O
 ;O
VOLUNTARIEDADE;O
 ;O
DO;O
 ;O
ACORDO;O
.;O
 ;O
MEIO;O
 ;O
DE;O
 ;O
OBTENÇÃO;O
 ;O
DE;O
 ;O
PROVA;O
.;O
 ;O
PODERES;O
 ;O
INSTRUTÓRIOS;O
 ;O
DO;O
 ;O
RELATOR;O
.;O
 ;O
RISTF;O
.;O
 ;O
PRECEDENTES;O
.;O
 ;O
II;O
.;O
 ;O
DECISÃO;O
 ;O
FINAL;O
 ;O
DE;O
 ;O
MÉRITO;O
.;O
 ;O
AFERIÇÃO;O
 ;O
DOS;O
 ;O
TERMOS;O
 ;O
E;O
 ;O
DA;O
 ;O
EFICÁCIA;O
 ;O
DA;O
 ;O
COLABORAÇÃO;O
.;O
 ;O
CONTROLE;O
 ;O
JURISDICIONAL;O
 ;O
DIFERIDO;O
.;O
 ;O
COMPETÊNCIA;O
 ;O
COLEGIADA;O
 ;O
NO;O
 ;O
SUPREMO;O
 ;O
TRIBUNAL;O
 ;O
FEDERAL;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
Nos;O
 ;O
moldes;O
 ;O
do;O
 ;O
decidido;O
 ;O
no;O
 ;O
HC;B_Precedente
 ;I_Precedente
127.483;I_Precedente
,;I_Precedente
 ;I_Precedente
Rel;I_Precedente
.;I_Precedente
 ;I_Precedente
Min;I_Precedente
.;I_Precedente
 ;I_Precedente
DIAS;I_Precedente
 ;I_Precedente
TOFFOLI;I_Precedente
,;I_Precedente
 ;I_Precedente
Tribunal;I_Precedente
 ;I_Precedente
Pleno;I_Precedente
,;I_Precedente
 ;I_Precedente
DJe;I_Precedente
 ;I_Precedente
de;I_Precedente
 ;I_Precedente
3.2.2016;I_Precedente
,;I_Precedente
 ;O
reafirma;O
-;O
se;O
 ;O
a;O
 ;O
atribuição;O
 ;O
ao;O
 ;O
Relator;O
,;O
 ;O
como;O
 ;O
corolário;O
 ;O
dos;O
 ;O
poderes;O
 ;O
instrutórios;O
 ;O
que;O
 ;O
lhe;O
 ;O
são;O
 ;O
conferidos;O
 ;O
pelo;O
 ;O
Regimento;O
 ;O
Interno;O
 ;O
do;O
 ;O
STF;O
,;O
 ;O
para;O
 ;O
ordenar;O
 ;O
a;O
 ;O
realização;O
 ;O
de;O
 ;O
meios;O
 ;O
de;O
 ;O
obtenção;O
 ;O
de;O
 ;O
prova;O
 ;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
21;I_Ref. Legislativa
,;I_Ref. Legislativa
