Token;Tag
DECISÃO;O
:;O
 ;O
Registro;O
,;O
 ;O
preliminarmente;O
,;O
 ;O
por;O
 ;O
necessário;O
,;O
 ;O
que;O
 ;O
o;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
,;O
 ;O
mediante;O
 ;O
edição;O
 ;O
da;O
 ;O
Emenda;B_Ref. Legislativa
 ;I_Ref. Legislativa
Regimental;I_Ref. Legislativa
 ;I_Ref. Legislativa
nº;I_Ref. Legislativa
 ;I_Ref. Legislativa
30;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
29;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
maio;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
2009;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
delegou;O
 ;O
expressa;O
 ;O
competência;O
 ;O
ao;O
 ;O
Relator;O
 ;O
da;O
 ;O
causa;O
 ;O
para;O
,;O
 ;O
em;O
 ;O
sede;O
 ;O
de;O
 ;O
julgamento;O
 ;O
monocrático;O
,;O
 ;O
denegar;O
 ;O
ou;O
 ;O
conceder;O
 ;O
a;O
 ;O
ordem;O
 ;O
de;O
 ;O
“habeas;O
 ;O
corpus”;O
,;O
 ;O
“ainda;O
 ;O
que;O
 ;O
de;O
 ;O
ofício”;O
,;O
 ;O
desde;O
 ;O
que;O
 ;O
a;O
 ;O
matéria;O
 ;O
versada;O
 ;O
no;O
 ;O
“writ”;O
 ;O
em;O
 ;O
questão;O
 ;O
constitua;O
 ;O
“objeto;O
 ;O
de;O
 ;O
jurisprudência;O
 ;O
consolidada;O
 ;O
do;O
 ;O
Tribunal”;O
 ;O
(;O
RISTF;B_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
192;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
“caput”;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
na;O
 ;O
redação;O
 ;O
dada;O
 ;O
pela;O
 ;B_Ref. Legislativa
ER;I_Ref. Legislativa
 ;I_Ref. Legislativa
nº;I_Ref. Legislativa
 ;I_Ref. Legislativa
30/2009;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
e;O
