Token;Tag
TRIBUNAL;O
 ;O
DE;O
 ;O
JUSTIÇA;O
 ;O
"
";O
"
";O
E;O
 ;O
M;O
 ;O
E;O
 ;O
N;O
 ;O
T;O
 ;O
A;O
:;O
 ;O
ARGUIÇÃO;O
 ;O
DE;O
 ;O
DESCUMPRIMENTO;O
 ;O
DE;O
 ;O
PRECEITO;O
 ;O
FUNDAMENTAL;O
 ;O
(;O
CF;B_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
ART;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
1º;I_Ref. Legislativa
);I_Ref. Legislativa
 ;O
–;O
 ;O
AÇÃO;O
 ;O
ESPECIAL;O
 ;O
DE;O
 ;O
ÍNDOLE;O
 ;O
CONSTITUCIONAL;O
 ;O
–;O
 ;O
PRINCÍPIO;O
 ;O
DA;O
 ;O
SUBSIDIARIEDADE;O
 ;O
(;O
LEI;B_Ref. Legislativa
 ;I_Ref. Legislativa
Nº;I_Ref. Legislativa
 ;I_Ref. Legislativa
9.882/99;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
ART;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
1º;I_Ref. Legislativa
);I_Ref. Legislativa
 ;O
–;O
 ;O
EXISTÊNCIA;O
 ;O
DE;O
 ;O
OUTRO;O
 ;O
MEIO;O
 ;O
APTO;O
 ;O
A;O
 ;O
NEUTRALIZAR;O
 ;O
A;O
 ;O
SITUAÇÃO;O
 ;O
DE;O
 ;O
LESIVIDADE;O
 ;O
QUE;O
 ;O
ALEGADAMENTE;O
 ;O
EMERGE;O
 ;O
DOS;O
 ;O
ATOS;O
 ;O
IMPUGNADOS;O
 ;O
–;O
 ;O
INVIABILIDADE;O
 ;O
DA;O
 ;O
PRESENTE;O
 ;O
ARGUIÇÃO;O
 ;O
DE;O
 ;O
DESCUMPRIMENTO;O
 ;O
–;O
 ;O
PRECEDENTES;O
 ;O
–;O
 ;O
RECURSO;O
 ;O
DE;O
 ;O
AGRAVO;O
 ;O
IMPROVIDO;O
.;O
 ;O
–;O
 ;O
O;O
 ;O
ajuizamento;O
 ;O
da;O
 ;O
ação;O
 ;O
constitucional;O
 ;O
de;O
 ;O
arguição;O
 ;O
de;O
 ;O
descumprimento;O
 ;O
de;O
 ;O
preceito;O
 ;O
fundamental;O
 ;O
rege;O
-;O
se;O
 ;O
pelo;O
 ;O
princípio;O
 ;O
da;O
 ;O
subsidiariedade;O
 ;O
(;O
Lei;B_Ref. Legislativa
 ;I_Ref. Legislativa
nº;I_Ref. Legislativa
 ;I_Ref. Legislativa
9.882/99;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
1º;I_Ref. Legislativa
);I_Ref. Legislativa
,;O
 ;O
a;O
 ;O
significar;O
 ;O
que;O
 ;O
não;O
 ;O
será;O
 ;O
ela;O
 ;O
admitida;O
,;O
 ;O
sempre;O
 ;O
que;O
 ;O
houver;O
 ;O
qualquer;O
 ;O
outro;O
 ;O
meio;O
 ;O
juridicamente;O
 ;O
idôneo;O
 ;O
apto;O
 ;O
a;O
 ;O
sanar;O
,;O
 ;O
com;O
 ;O
efetividade;O
 ;O
real;O
,;O
 ;O
o;O
 ;O
estado;O
 ;O
de;O
 ;O
lesividade;O
 ;O
emergente;O
 ;O
do;O
 ;O
ato;O
 ;O
impugnado;O
.;O
 ;O
Precedentes;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
mera;O
 ;O
possibilidade;O
 ;O
de;O
 ;O
utilização;O
 ;O
de;O
 ;O
outros;O
 ;O
meios;O
 ;O
processuais;O
,;O
 ;O
contudo;O
,;O
 ;O
não;O
 ;O
basta;O
,;O
 ;O
só;O
 ;O
por;O
 ;O
si;O
,;O
 ;O
para;O
 ;O
justificar;O
 ;O
a;O
 ;O
invocação;O
 ;O
do;O
 ;O
princípio;O
 ;O
da;O
 ;O
subsidiariedade;O
,;O
 ;O
pois;O
,;O
 ;O
para;O
 ;O
que;O
 ;O
esse;O
 ;O
postulado;O
 ;O
possa;O
 ;O
legitimamente;O
 ;O
incidir;O
 ;O
–;O
 ;O
impedindo;O
,;O
 ;O
desse;O
 ;O
modo;O
,;O
 ;O
o;O
 ;O
acesso;O
 ;O
imediato;O
 ;O
à;O
 ;O
arguição;O
 ;O
de;O
 ;O
descumprimento;O
 ;O
de;O
 ;O
preceito;O
 ;O
fundamental;O
 ;O
–;O
 ;O
revela;O
-;O
se;O
 ;O
essencial;O
 ;O
que;O
 ;O
os;O
 ;O
instrumentos;O
 ;O
disponíveis;O
 ;O
mostrem;O
-;O
se;O
 ;O
capazes;O
 ;O
de;O
 ;O
neutralizar;O
,;O
 ;O
de;O
 ;O
maneira;O
 ;O
eficaz;O
,;O
 ;O
a;O
 ;O
situação;O
 ;O
de;O
 ;O
lesividade;O
 ;O
que;O
 ;O
se;O
 ;O
busca;O
 ;O
obstar;O
 ;O
com;O
 ;O
o;O
 ;O
ajuizamento;O
 ;O
desse;O
 ;O
“writ”;O
 ;O
constitucional;O
.;O
 ;O
–;O
 ;O
A;O
 ;O
norma;O
 ;O
inscrita;O
 ;O
no;O
 ;B_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
1º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Lei;I_Ref. Legislativa
 ;I_Ref. Legislativa
nº;I_Ref. Legislativa
 ;I_Ref. Legislativa
9.882/99;I_Ref. Legislativa
 ;I_Ref. Legislativa
–;O
 ;O
que;O
 ;O
consagra;O
 ;O
o;O
 ;O
postulado;O
 ;O
da;O
 ;O
subsidiariedade;O
 ;O
–;O
 ;O
estabeleceu;O
,;O
 ;O
validamente;O
,;O
 ;O
sem;O
 ;O
qualquer;O
 ;O
ofensa;O
 ;O
ao;O
 ;O
texto;O
 ;O
da;O
 ;O
Constituição;O
,;O
 ;O
pressuposto;O
 ;O
negativo;O
 ;O
de;O
 ;O
admissibilidade;O
 ;O
da;O
 ;O
arguição;O
 ;O
de;O
 ;O
descumprimento;O
 ;O
de;O
 ;O
preceito;O
 ;O
fundamental;O
,;O
 ;O
pois;O
 ;O
condicionou;O
,;O
 ;O
legitimamente;O
,;O
 ;O
o;O
 ;O
ajuizamento;O
 ;O
dessa;O
 ;O
especial;O
 ;O
ação;O
 ;O
de;O
 ;O
índole;O
 ;O
constitucional;O
 ;O
à;O
 ;O
observância;O
 ;O
de;O
 ;O
um;O
 ;O
inafastável;O
 ;O
requisito;O
 ;O
de;O
 ;O
procedibilidade;O
,;O
 ;O
consistente;O
 ;O
na;O
 ;O
ausência;O
 ;O
de;O
 ;O
qualquer;O
 ;O
outro;O
 ;O
meio;O
 ;O
processual;O
 ;O
revestido;O
 ;O
de;O
 ;O
aptidão;O
 ;O
para;O
 ;O
fazer;O
 ;O
cessar;O
,;O
 ;O
prontamente;O
,;O
 ;O
a;O
 ;O
situação;O
 ;O
de;O
 ;O
lesividade;O
 ;O
(;O
ou;O
 ;O
de;O
 ;O
potencialidade;O
 ;O
danosa;O
);O
 ;O
decorrente;O
 ;O
do;O
 ;O
