Token;Tag
~mm~;O
-;O
 ;O
"Q'%;iJ#na";O
/;O
 ;O
"Q'li;~;nz";O
/;O
 ;O
"
";O
"
";O
Coordenadoria;O
 ;O
de;O
 ;O
Análise;O
 ;O
de;O
 ;O
Jurisprudência;O
 ;O
DJe;O
 ;O
n°;O
 ;O
157;O
 ;O
Divulgação;O
 ;O
20/08/2009;O
 ;O
Publicação;O
 ;O
21/08/2009;O
 ;O
Ementário;O
 ;O
n°;O
 ;O
2370;O
 ;O
-;O
 ;O
1;O
 ;O
"
";O
"
";O
ACO;B_Precedente
-;I_Precedente
AgR;I_Precedente
 ;I_Precedente
1191Ementa;O
 ;O
e;O
 ;O
Acórdão;O
 ;O
(;O
1;O
);O
 ;O
"
";O
"
";O
TRIBUNAL;O
 ;O
PLENO;O
 ;O
01/07/2009;O
 ;O
"
";O
"
";O
AG;B_Precedente
.;I_Precedente
REG;I_Precedente
.;I_Precedente
NA;I_Precedente
 ;I_Precedente
AÇÃO;I_Precedente
 ;I_Precedente
CÍVEL;I_Precedente
 ;I_Precedente
ORIGINÁRIA;I_Precedente
 ;I_Precedente
1.191-2;I_Precedente
 ;I_Precedente
RORAIMA;O
 ;O
"
";O
"
";O
COSTA;O
 ;O
"
";O
"
";O
RORAIMA;O
 ;O
"
";O
"
";O
RELATORA;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
CÁRMEN;I_Pessoa
 ;I_Pessoa
LÚCIA;I_Pessoa
 ;I_Pessoa
AGRAVANTE;O
 ;O
(;O
 ;O
S;O
);O
 ;O
ESTADO;O
 ;O
DE;O
 ;O
RORAIMA;O
 ;O
ADVOGADO;O
(;O
A;O
/;O
S;O
);O
 ;O
PGE;O
-;O
RR;O
 ;O
-;O
 ;O
EDIVAL;B_Pessoa
 ;I_Pessoa
BRAGA;I_Pessoa
 ;I_Pessoa
ADVOGADO;O
(;O
A;O
/;O
S;O
);O
 ;O
PCE;O
-;O
RR;O
 ;O
-;O
 ;O
LUCIANA;B_Pessoa
 ;I_Pessoa
LAURA;I_Pessoa
 ;I_Pessoa
CARVALHO;I_Pessoa
 ;I_Pessoa
AGRAVADO;O
(;O
A;O
/;O
S;O
);O
 ;O
MINISTÉRIO;O
 ;O
PÚBLICO;O
 ;O
FEDERAL;O
 ;O
AGRAVADO;O
 ;O
(;O
A;O
/;O
S;O
);O
 ;O
MINISTÉRIO;O
 ;O
PÚBLICO;O
 ;O
DO;O
 ;O
TRABALHO;O
 ;O
AGRAVADO;O
(;O
A;O
/;O
S;O
);O
 ;O
MINISTÉRIO;O
 ;O
PÚBLICO;O
 ;O
DO;O
 ;O
ESTADO;O
 ;O
DE;O
 ;O
"
";O
"
";O
EMENTA;O
:;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
NA;O
 ;O
AÇÃO;O
 ;O
CÍVEL;O
 ;O
ORIGINÁRIA;O
.;O
 ;O
CONCURSO;O
 ;O
PÚBLICO;O
 ;O
"
";O
"
";O
PARA;O
 ;O
PROVIMENTO;O
 ;O
DE;O
 ;O
CARGO;O
 ;O
DE;O
 ;O
PROFESSOR;O
 ;O
PARA;O
 ;O
MAGISTÉRIO;O
 ;O
INDÍGENA;O
.;O
 ;O
"
";O
"
";O
INCOMPETÊNCIA;O
 ;O
DO;O
 ;O
SUPREMO;O
 ;O
TRIBUNAL;O
 ;O
FEDERAL;O
.;O
 ;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
INC;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
ALÍNEA;I_Ref. Legislativa
 ;I_Ref. Legislativa
F;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
DA;I_Ref. Legislativa
 ;I_Ref. Legislativa
"
";I_Ref. Legislativa
"
";I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
 ;I_Ref. Legislativa
DA;I_Ref. Legislativa
 ;I_Ref. Legislativa
REPÚBLICA;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;O
RETORNO;O
 ;O
DOS;O
 ;O
AUTOS;O
 ;O
À;O
 ;O
ORIGEM;O
.;O
 ;O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
"
";O
"
";O
AO;O
 ;O
QUAL;O
 ;O
SE;O
 ;O
NEGA;O
 ;O
PROVIMENTO;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
O;O
 ;O
Agravante;O
 ;O
não;O
 ;O
infirma;O
 ;O
os;O
 ;O
fundamentos;O
 ;O
da;O
 ;O
decisão;O
 ;O
agravada;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
A;O
 ;O
circunstância;O
 ;O
de;O
 ;O
ser;O
 ;O
um;O
 ;O
dos;O
 ;O
autores;O
 ;O
da;O
 ;O
presente;O
 ;O
Ação;O
 ;O
Civil;O
 ;O
"
";O
"
";O
Pública;O
 ;O
o;O
 ;O
Ministério;O
 ;O
Público;O
 ;O
Federal;O
 ;O
não;O
 ;O
é;O
,;O
 ;O
por;O
 ;O
si;O
 ;O
só;O
,;O
 ;O
suficiente;O
 ;O
para;O
 ;O
patentear;O
 ;O
o;O
 ;O
potencial;O
 ;O
conflito;O
 ;O
federativo;O
 ;O
que;O
 ;O
atrai;O
 ;O
a;O
 ;O
competência;O
 ;O
do;O
 ;O
"
";O
"
";O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
 ;O
com;O
 ;O
fundamento;O
 ;O
no;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
inc;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
alínea;I_Ref. Legislativa
 ;I_Ref. Legislativa
f;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
