Token;Tag
d?1t1'e?J'W;O
 ;O
@JtiÁtMul;O
,;O
(;O
 ;O
$~;O
 ;O
"
";O
"
";O
Coordenadoria;O
 ;O
de;O
 ;O
Análise;O
 ;O
de;O
 ;O
Jurisprudência;O
 ;O
DJe;O
 ;O
nº;O
 ;O
30;O
 ;O
Divulgação;O
 ;O
14/02/2011;O
 ;O
Publicação;O
 ;O
15/02/2011;O
 ;O
Ementário;O
 ;O
nº;O
 ;O
2464;O
 ;O
-;O
 ;O
01;O
 ;O
"
";O
"
";O
ADI;B_Precedente
 ;I_Precedente
4125Ementa;O
 ;O
e;O
 ;O
Acórdão;O
 ;O
(;O
3;O
);O
 ;O
.;O
 ;O
TRIBUNAL;O
.;O
 ;O
PLENO;O
 ;O
"
";O
"
";O
10/06/2010;O
 ;O
"
";O
"
";O
AÇÃO;B_Precedente
 ;I_Precedente
DIRETA;I_Precedente
 ;I_Precedente
DE;I_Precedente
 ;I_Precedente
INCONSTITUCIONÀLIDADE;I_Precedente
 ;I_Precedente
4.125;I_Precedente
 ;I_Precedente
TOCANTINS;I_Precedente
 ;I_Precedente
"
";I_Precedente
"
";O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
CÁRMEN;I_Pessoa
 ;I_Pessoa
LÚCIA;I_Pessoa
 ;I_Pessoa
PARTIDO;O
 ;O
SOCIAL;O
 ;O
DA;O
 ;O
DEMOCRACIA;O
 ;O
BRASILEIRA;O
 ;O
-;O
PSDB;O
 ;O
JOÃO;B_Pessoa
 ;I_Pessoa
COSTA;I_Pessoa
 ;I_Pessoa
RIBEIRO;I_Pessoa
 ;I_Pessoa
FILHO';I_Pessoa
 ;O
E;O
 ;O
OUTRO;O
(;O
A;O
/;O
S;O
);O
 ;O
GOVERNADOR;O
 ;O
DO;O
 ;O
ESTADO;O
 ;O
DO;O
 ;O
TOCANTINS;O
.;O
 ;O
ASSEMBLÉIA;O
 ;O
·LEGISLATIVA;O
 ;O
DO;O
 ;O
ESTADO;O
 ;O
DO;O
 ;O
TOCANTINS;O
 ;O
"
";O
"
";O
RELATORA;O
 ;O
REQTE;O
.;O
 ;O
(;O
SI;O
 ;O
"
";O
"
";O
ADV;O
.;O
 ;O
(;O
A;O
/;O
SÍ;O
 ;O
REQDO;O
.;O
 ;O
(;O
A;O
/;O
S;O
);O
 ;O
REQDO;O
.;O
 ;O
(;O
A;O
/;O
S;O
);O
 ;O
"
";O
"
";O
EMENTA;O
:;O
 ;O
AÇÃO;O
 ;O
DIRETA;O
 ;O
DE;O
 ;O
INCONSTITUGIONALIDADE;O
.;O
 ;O
