Token;Tag
Decisão;O
:;O
 ;O
"
";O
"
";O
Vistos;O
.;O
 ;O
"
";O
"
";O
Cuida;O
-;O
se;O
 ;O
de;O
 ;O
mandado;O
 ;O
de;O
 ;O
injunção;O
 ;O
coletivo;O
 ;O
impetrado;O
 ;O
pelo;O
 ;O
Sindicato;O
 ;O
dos;O
 ;O
Odontologistas;O
 ;O
de;O
 ;O
Ribeirão;O
 ;O
Preto;O
 ;O
-;O
 ;O
SINDIORP;O
 ;O
em;O
 ;O
face;O
 ;O
da;O
 ;O
Excelentíssima;O
 ;O
Senhora;O
 ;O
Presidenta;O
 ;O
da;O
 ;O
República;O
,;O
 ;O
com;O
 ;O
o;O
 ;O
objetivo;O
 ;O
de;O
 ;O
sanar;O
 ;O
omissão;O
 ;O
legislativa;O
 ;O
na;O
 ;O
regulamentação;O
 ;O
do;O
 ;O
artigo;B_Ref. Legislativa
 ;I_Ref. Legislativa
40;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
4º;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
 ;I_Ref. Legislativa
Federal;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
a;O
 ;O
fim;O
 ;O
de;O
 ;O
ser;O
 ;O
reconhecido;O
 ;O
o;O
 ;O
direito;O
 ;O
à;O
 ;O
aposentadoria;O
 ;O
especial;O
 ;O
a;O
 ;O
seus;O
 ;O
substituídos;O
.;O
 ;O
"
";O
"
";O
Alega;O
 ;O
o;O
 ;O
impetrante;O
 ;O
na;O
 ;O
peça;O
 ;O
vestibular;O
:;O
 ;O
"
";O
"
";O
“Desde;O
 ;O
o;O
 ;O
decreto;B_Ref. Legislativa
 ;I_Ref. Legislativa
regulamentar;I_Ref. Legislativa
 ;I_Ref. Legislativa
53.831;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
25;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
março;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
1964;I_Ref. Legislativa
 ;I_Ref. Legislativa
a;O
 ;O
profissão;O
 ;O
de;O
 ;O
cirurgião;O
 ;O
dentista;O
 ;O
