Token;Tag
DECISÃO;O
:;O
 ;O
"
";O
"
";O
Vistos;O
.;O
Empresa;O
 ;O
Brasileira;O
 ;O
de;O
 ;O
Telecomunicações;O
 ;O
S;O
.;O
A;O
.;O
 ;O
–;O
 ;O
Embratel;O
 ;O
interpõe;O
 ;O
recurso;O
 ;O
extraordinário;O
,;O
 ;O
com;O
 ;O
fundamento;O
 ;O
na;O
 ;O
alínea;O
 ;O
“a”;O
 ;O
do;O
 ;O
permissivo;O
 ;O
constitucional;O
,;O
 ;O
contra;O
 ;O
acórdão;O
 ;O
da;O
 ;O
Primeira;O
 ;O
Câmara;O
 ;O
Cível;O
 ;O
do;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
do;O
 ;O
Estado;O
 ;O
de;O
 ;O
Sergipe;O
,;O
 ;O
assim;O
 ;O
ementado;O
:;O
 ;O
"
";O
"
";O
“APELAÇÃO;O
 ;O
CÍVEL;O
 ;O
–;O
 ;O
EMBARGOS;O
 ;O
À;O
 ;O
EXECUÇÃO;O
 ;O
FISCAL;O
 ;O
–;O
 ;O
ICMS;O
 ;O
SOBRE;O
 ;O
SERVIÇO;O
 ;O
DE;O
 ;O
COMUNICAÇÃO;O
 ;O
INTERNACIONAL;O
 ;O
-;O
 ;O
PRESTAÇÃO;O
 ;O
DE;O
 ;O
SERVIÇO;O
 ;O
INTERNACIONAL;O
 ;O
–;O
 ;O
SERVIÇO;O
 ;O
COBRADO;O
 ;O
DO;O
 ;O
TOMADOR;O
 ;O
(;O
QUEM;O
 ;O
ESTÁ;O
 ;O
UTILIZANDO;O
 ;O
A;O
 ;O
LINHA;O
 ;O
TELEFÔNICA;O
);O
 ;O
–;O
 ;O
LEGALIDADE;O
 ;O
DO;O
 ;O
TRIBUTO;O
 ;O
–;O
 ;O
APLICAÇÃO;O
 ;O
DO;O
 ;O
ART;O
.;O
 ;O
155;O
,;O
 ;O
II;O
 ;O
DA;O
 ;O
CONSTITUIÇÃO;O
 ;O
FEDERAL;O
 ;O
–;O
 ;O
RECURSO;O
 ;O
PROVIDO;O
 ;O
–;O
 ;O
DECISÃO;O
 ;O
UNÂNIME”;O
 ;O
(;O
fl;O
.;O
 ;O
286;O
);O
.;O
 ;O
"
";O
"
";O
Opostos;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
 ;O
(;O
fls;O
.;O
 ;O
295;O
 ;O
a;O
 ;O
302;O
);O
,;O
 ;O
foram;O
 ;O
