Token;Tag
EMENTA;O
:;O
 ;O
EMBARGOS;O
 ;O
DE;O
 ;O
DECLARAÇÃO;O
 ;O
CONTRA;O
 ;O
ACÓRDÃO;O
 ;O
CONDENATÓRIO;O
.;O
 ;O
ALEGAÇÕES;O
 ;O
DE;O
 ;O
OBSCURIDADE;O
,;O
 ;O
CONTRADIÇÃO;O
,;O
 ;O
OMISSÃO;O
 ;O
E;O
 ;O
ERRO;O
 ;O
MATERIAL;O
.;O
 ;O
INEXISTÊNCIA;O
.;O
 ;O
IMPOSSIBILIDADE;O
 ;O
DE;O
 ;O
REEXAME;O
 ;O
DA;O
 ;O
CAUSA;O
.;O
 ;O
EMBARGOS;O
 ;O
NÃO;O
 ;O
CONHECIDOS;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
Ausência;O
 ;O
de;O
 ;O
obscuridade;O
,;O
 ;O
contradição;O
,;O
 ;O
omissão;O
 ;O
e;O
 ;O
erro;O
 ;O
material;O
 ;O
a;O
 ;O
ser;O
 ;O
sanada;O
 ;O
pelos;O
 ;O
embargos;O
 ;O
declaratórios;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
São;O
 ;O
incabíveis;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
 ;O
quando;O
 ;O
a;O
 ;O
parte;O
,;O
 ;O
a;O
 ;O
pretexto;O
 ;O
de;O
 ;O
esclarecer;O
 ;O
inexistente;O
 ;O
obscuridade;O
,;O
 ;O
omissão;O
 ;O
ou;O
 ;O
contradição;O
,;O
 ;O
utiliza;O
-;O
os;O
 ;O
com;O
 ;O
o;O
 ;O
objetivo;O
 ;O
de;O
 ;O
infringir;O
 ;O
o;O
 ;O
julgado;O
 ;O
e;O
,;O
 ;O
assim;O
,;O
 ;O
viabilizar;O
 ;O
indevido;O
 ;O
reexame;O
 ;O
da;O
 ;O
causa;O
.;O
 ;O
Precedentes;O
.;O
 ;O
"
";O
"
";O
3;O
.;O
 ;O
A;O
 ;O
interrupção;O
 ;O
da;O
 ;O
prescrição;O
 ;O
da;O
 ;O
pretensão;O
 ;O
punitiva;O
 ;O
estatal;O
 ;O
nas;O
 ;O
instâncias;O
 ;O
colegiadas;O
 ;O
se;O
 ;O
dá;O
 ;O
na;O
 ;O
data;O
 ;O
da;O
 ;O
sessão;O
 ;O
de;O
 ;O
julgamento;O
,;O
 ;O
que;O
 ;O
torna;O
 ;O
público;O
 ;O
o;O
 ;O
acórdão;O
 ;O
condenatório;O
.;O
 ;O
"
";O
"
";O
4;O
.;O
 ;O
Fundação;O
 ;O
suficiente;O
 ;O
de;O
 ;O
todos;O
 ;O
os;O
 ;O
argumentos;O
 ;O
apresentados;O
 ;O
pela;O
 ;O
"
";O
"
";O
Defesa;O
.;O
 ;O
"
";O
"
";O
5;O
.;O
 ;O
Embargos;O
 ;O
de;O
 ;O
Declaração;O
 ;O
não;O
 ;O
conhecidos;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
C;O
 ;O
Ó;O
 ;O
R;O
 ;O
D;O
 ;O
Ã;O
 ;O
O;O
 ;O
"
";O
"
";O
Vistos;O
,;O
 ;O
relatados;O
 ;O
e;O
 ;O
discutidos;O
 ;O
estes;O
 ;O
autos;O
,;O
 ;O
acordam;O
 ;O
os;O
 ;O
Ministros;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
,;O
 ;O
em;O
 ;O
sessão;O
 ;O
plenária;O
,;O
 ;O
sob;O
 ;O
a;O
 ;O
Presidência;O
 ;O
do;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Ricardo;I_Pessoa
 ;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
 ;O
na;O
 ;O
conformidade;O
 ;O
da;O
 ;O
ata;O
 ;O
de;O
 ;O
julgamento;O
 ;O
e;O
 ;O
das;O
 ;O
notas;O
 ;O
taquigráficas;O
,;O
 ;O
por;O
 ;O
unanimidade;O
 ;O
e;O
 ;O
nos;O
 ;O
termos;O
 ;O
do;O
 ;O
voto;O
 ;O
da;O
 ;O
Relatora;O
,;O
 ;O
em;O
 ;O
não;O
 ;O
conhecer;O
 ;O
os;O
 ;O
embargos;O
 ;O
de;O
 ;O
declaração;O
.;O
 ;O
Ausentes;O
,;O
 ;O
justificadamente;O
,;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Celso;I_Pessoa
 ;I_Pessoa
de;I_Pessoa
 ;I_Pessoa
Mello;I_Pessoa
 ;I_Pessoa
e;O
,;O
 ;O
participando;O
 ;O
do;O
 ;O
“Yale;O
 ;O
"
";O
"
";O
Global;O
 ;O
