Token;Tag
EMENTA;O
:;O
 ;O
AÇÃO;O
 ;O
DIRETA;O
 ;O
DE;O
 ;O
INCONSTITUCIONALIDADE;O
 ;O
POR;O
 ;O
OMISSÃO;O
.;O
 ;O
REGULAMENTAÇÃO;O
 ;O
DE;O
 ;O
PROPAGANDA;O
 ;O
DE;O
 ;O
BEBIDAS;O
 ;O
DE;O
 ;O
TEOR;O
 ;O
ALCOÓLICO;O
 ;O
INFERIOR;O
 ;O
A;O
 ;O
TREZE;O
 ;O
GRAUS;O
 ;O
GAY;O
 ;O
LUSSAC;O
 ;O
(;O
13°;O
 ;O
GL;O
);O
.;O
 ;O
AUSÊNCIA;O
 ;O
DE;O
 ;O
OMISSÃO;O
.;O
 ;O
ATUAÇÃO;O
 ;O
DO;O
 ;O
PODER;O
 ;O
LEGISLATIVO;O
.;O
 ;O
ART;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
2º;I_Ref. Legislativa
 ;I_Ref. Legislativa
DA;I_Ref. Legislativa
 ;I_Ref. Legislativa
CONSTITUIÇÃO;I_Ref. Legislativa
 ;I_Ref. Legislativa
DA;I_Ref. Legislativa
 ;I_Ref. Legislativa
REPÚBLICA;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;O
IMPOSSIBILIDADE;O
 ;O
DE;O
 ;O
ATUAR;O
 ;O
O;O
 ;O
SUPREMO;O
 ;O
TRIBUNAL;O
 ;O
FEDERAL;O
 ;O
COMO;O
 ;O
LEGISLADOR;O
 ;O
POSITIVO;O
,;O
 ;O
SUBSTITUINDO;O
-;O
SE;O
 ;O
AO;O
 ;O
PODER;O
 ;O
LEGISLATIVO;O
 ;O
NA;O
 ;O
DEFINIÇÃO;O
 ;O
DE;O
 ;O
CRITÉRIOS;O
 ;O
ADOTADOS;O
 ;O
NA;O
 ;O
APROVAÇÃO;O
 ;O
DAS;O
 ;O
NORMAS;O
 ;O
DE;O
 ;O
PROPAGANDA;O
 ;O
DE;O
 ;O
BEBIDAS;O
 ;O
ALCOÓLICAS;O
:;O
 ;O
PRECEDENTES;O
.;O
 ;O
AÇÃO;O
 ;O
JULGADA;O
 ;O
IMPROCEDENTE;O
.;O
 ;O
DECISÃO;O
 ;O
COM;O
 ;O
EFEITOS;O
 ;O
VINCUANTES;O
.;O
 ;O
"
";O
"
";O
A;O
 ;O
C;O
 ;O
Ó;O
 ;O
R;O
 ;O
D;O
 ;O
Ã;O
 ;O
O;O
 ;O
"
";O
"
";O
Vistos;O
,;O
 ;O
relatados;O
 ;O
e;O
 ;O
discutidos;O
 ;O
estes;O
 ;O
autos;O
,;O
 ;O
acordam;O
 ;O
os;O
 ;O
Ministros;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
,;O
 ;O
em;O
 ;O
Sessão;O
 ;O
Plenária;O
,;O
 ;O
sob;O
 ;O
a;O
 ;O
Presidência;O
 ;O
do;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Ricardo;I_Pessoa
 ;I_Pessoa
Lewandowski;I_Pessoa
,;I_Pessoa
 ;O
por;O
 ;O
maioria;O
,;O
 ;O
em;O
 ;O
conhecer;O
 ;O
da;O
 ;O
ação;O
,;O
 ;O
vencido;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Marco;I_Pessoa
 ;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
 ;O
que;O
 ;O
declarava;O
 ;O
o;O
 ;O
autor;O
 ;O
parcialmente;O
 ;O
carecedor;O
 ;O
da;O
 ;O
ação;O
.;O
 ;O
Por;O
 ;O
unanimidade;O
,;O
 ;O
julgou;O
 ;O
improcedente;O
 ;O
a;O
 ;O
ação;O
,;O
 ;O
acentuando;O
-;O
se;O
 ;O
que;O
,;O
 ;O
transitada;O
 ;O
em;O
 ;O
julgado;O
,;O
 ;O
esta;O
 ;O
decisão;O
 ;O
tem;O
 ;O
efeito;O
 ;O
vinculante;O
,;O
 ;O
tudo;O
 ;O
nos;O
 ;O
termos;O
 ;O
do;O
 ;O
voto;O
 ;O
da;O
 ;O
Relatora;O
.;O
 ;O
Impedido;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Teori;I_Pessoa
 ;I_Pessoa
Zavascki;I_Pessoa
.;I_Pessoa
 ;O
Ausente;O
,;O
 ;O
justificadamente;O
,;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Roberto;I_Pessoa
 ;I_Pessoa
Barroso;I_Pessoa
,;I_Pessoa
 ;O
que;O
 ;O
representa;O
 ;O
o;O
 ;O
Tribunal;O
 ;O
na;O
