Token;Tag
DECISÃO;O
:;O
 ;O
Vistos;O
.;O
Cuida;O
-;O
se;O
 ;O
de;O
 ;O
recurso;O
 ;O
ordinário;O
 ;O
em;O
 ;O
mandado;O
 ;O
de;O
 ;O
segurança;O
 ;O
interposto;O
 ;O
por;O
 ;O
CILON;B_Pessoa
 ;I_Pessoa
TAROUCO;I_Pessoa
 ;I_Pessoa
DE;I_Pessoa
 ;I_Pessoa
OLIVEIRA;I_Pessoa
 ;I_Pessoa
contra;O
 ;O
acórdão;O
 ;O
da;O
 ;O
Corte;O
 ;O
Especial;O
 ;O
do;O
 ;O
Superior;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
 ;O
–;O
 ;O
STJ;O
 ;O
que;O
 ;O
negou;O
 ;O
provimento;O
 ;O
ao;O
 ;O
agravo;O
 ;O
regimental;O
 ;O
interposto;O
 ;O
da;O
 ;O
decisão;O
 ;O
de;O
 ;O
indeferimento;O
 ;O
liminar;O
 ;O
do;O
 ;O
Mandado;B_Precedente
 ;I_Precedente
de;I_Precedente
 ;I_Precedente
Segurança;I_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
15.445;I_Precedente
/;I_Precedente
DF;I_Precedente
,;I_Precedente
 ;O
impetrado;O
 ;O
com;O
 ;O
o;O
 ;O
objetivo;O
 ;O
de;O
 ;O
cassar;O
 ;O
a;O
 ;O
decisão;O
 ;O
proferida;O
 ;O
pela;O
 ;O
Sexta;O
 ;O
Turma;O
 ;O
do;O
 ;O
STJ;O
 ;O
nos;O
 ;O
autos;O
 ;O
do;O
 ;O
Agravo;O
 ;O
Regimental;O
 ;O
em;O
 ;O
Recurso;B_Precedente
 ;I_Precedente
Especial;I_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
886.523;I_Precedente
.;I_Precedente
 ;O
"
";O
"
";O
O;O
 ;O
acórdão;O
 ;O
recorrido;O
 ;O
está;O
 ;O
assim;O
 ;O
ementado;O
:;O
 ;O
"
";O
"
";O
“PROCESSUAL;O
 ;O
CIVIL;O
.;O
 ;O
MANDADO;O
 ;O
DE;O
 ;O
SEGURANÇA;O
 ;O
CONTRA;O
 ;O
ATO;O
 ;O
JUDICIAL;O
.;O
 ;O
ATO;O
 ;O
COATOR;O
.;O
 ;O
INEXISTÊNCIA;O
 ;O
DE;O
 ;O
DIREITO;O
 ;O
LÍQUIDO;O
 ;O
E;O
 ;O
CERTO;O
.;O
 ;O
