Token;Tag
TRIBUNAL;O
 ;O
DE;O
 ;O
JUSTIÇA;O
 ;O
"
";O
"
";O
DECISÃO;O
:;O
 ;O
Vistos;O
.;O
Habeas;O
 ;O
corpus;O
,;O
 ;O
com;O
 ;O
pedido;O
 ;O
de;O
 ;O
liminar;O
,;O
 ;O
impetrado;O
 ;O
em;O
 ;O
favor;O
 ;O
de;O
 ;O
Hélio;B_Pessoa
 ;I_Pessoa
Pereira;I_Pessoa
 ;I_Pessoa
de;I_Pessoa
 ;I_Pessoa
Freitas;I_Pessoa
,;I_Pessoa
 ;O
apontando;O
 ;O
como;O
 ;O
autoridade;O
 ;O
coatora;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Newton;I_Pessoa
 ;I_Pessoa
Trisotto;I_Pessoa
,;I_Pessoa
 ;O
do;O
 ;O
Superior;O
 ;O
Tribunal;O
 ;O
de;O
 ;O
Justiça;O
,;O
 ;O
que;O
 ;O
indeferiu;O
 ;O
a;O
 ;O
liminar;O
 ;O
no;O
 ;O
RHC;B_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
59.185;I_Precedente
/;I_Precedente
MS;I_Precedente
.;I_Precedente
 ;O
"
";O
"
";O
Os;O
 ;O
impetrantes;O
 ;O
sustentam;O
,;O
 ;O
inicialmente;O
,;O
 ;O
que;O
 ;O
o;O
 ;O
caso;O
 ;O
concreto;O
 ;O
autoriza;O
 ;O
a;O
 ;O
mitigação;O
 ;O
do;O
 ;O
enunciado;O
 ;O
da;O
 ;O
Súmula;B_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
691;I_Precedente
/;I_Precedente
STF;I_Precedente
.;I_Precedente
 ;O
"
";O
"
";O
Asseveram;O
,;O
 ;O
ademais;O
,;O
 ;O
a;O
 ;O
presença;O
 ;O
de;O
 ;O
constrangimento;O
 ;O
ilegal;O
,;O
 ;O
uma;O
 ;O
vez;O
 ;O
que;O
 ;O
o;O
 ;O
juízo;O
 ;O
processante;O
 ;O
ao;O
 ;O
determinar;O
 ;O
o;O
 ;O
prosseguimento;O
 ;O
da;O
 ;O
ação;O
 ;O
penal;O
 ;O
na;O
 ;O
fase;O
 ;O
do;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
397;I_Ref. Legislativa
 ;I_Ref. Legislativa
do;I_Ref. Legislativa
 ;I_Ref. Legislativa
Código;I_Ref. Legislativa
 ;I_Ref. Legislativa
de;I_Ref. Legislativa
 ;I_Ref. Legislativa
Processo;I_Ref. Legislativa
 ;I_Ref. Legislativa
Penal;I_Ref. Legislativa
 ;I_Ref. Legislativa
não;O
 ;O
se;O
 ;O
manifestou;O
 ;O
a;O
 ;O
respeito;O
 ;O
da;O
 ;O
teses;O
 ;O
suscitadas;O
 ;O
pela;O
 ;O
defesa;O
 ;O
do;O
 ;O
paciente;O
 ;O
na;O
 ;O
fase;O
 ;O
do;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
396;I_Ref. Legislativa
-;I_Ref. Legislativa
A;I_Ref. Legislativa
 ;I_Ref. Legislativa
do;I_Ref. Legislativa
 ;I_Ref. Legislativa
mesmo;I_Ref. Legislativa
 ;I_Ref. Legislativa
Codex;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;O
"
";O
"
";O
Nesse;O
 ;O
contexto;O
,;O
 ;O
afirmam;O
 ;O
que;O
 ;O
“era;O
 ;O
dever;O
 ;O
do;O
 ;O
d;O
.;O
 ;O
Magistrado;O
 ;O
de;O
 ;O
origem;O
,;O
 ;O
em;O
 ;O
obediência;O
 ;O
à;O
 ;O
regra;O
 ;O
constante;O
 ;O
no;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
93;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
IX;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
República;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
decidir;O
,;O
 ;O
fundamentadamente;O
,;O
 ;O
se;O
 ;O
as;O
 ;O
teses;O
 ;O
da;O
 ;O
defesa;O
 ;O
tinham;O
 ;O
ou;O
 ;O
não;O
 ;O
razão;O
 ;O
de;O
 ;O
ser”;O
 ;O
(;O
fl;O
.;O
 ;O
12;O
 ;O
da;O
 ;O
inicial;O
);O
.;O
 ;O
"
";O
"
";O
Argumentam;O
 ;O
que;O
 ;O
"
";O
"
";O
“a;O
 ;O
decisão;O
 ;O
que;O
 ;O
manteve;O
 ;O
o;O
 ;O
recebimento;O
 ;O
da;O
 ;O
denúncia;O
 ;O
sequer;O
 ;O
foi;O
 ;O
concisa;O
,;O
 ;O
pois;O
 ;O
foi;O
 ;O
proferida;O
 ;O
absolutamente;O
 ;O
sem;O
 ;O
qualquer;O
 ;O
análise;O
 ;O
da;O
 ;O
resposta;O
 ;O
à;O
 ;O
acusação;O
.;O
 ;O
Tanto;O
 ;O
que;O
 ;O
proferiu;O
 ;O
decisão;O
 ;O
relatando;O
 ;O
que;O
 ;O
não;O
 ;O
a;O
 ;O
defesa;O
 ;O
se;O
 ;O
limitou;O
 ;O
a;O
 ;O
discordar;O
 ;O
dos;O
 ;O
fatos;O
 ;O
narrados;O
 ;O
na;O
 ;O
denúncia;O
,;O
 ;O
quando;O
 ;O
em;O
 ;O
verdade;O
,;O
 ;O
havia;O
 ;O
uma;O
 ;O
preliminar;O
 ;O
de;O
 ;O
ausência;O
 ;O
de;O
 ;O
justa;O
 ;O
causa”;O
 ;O
(;O
fl;O
.;O
 ;O
19;O
 ;O
da;O
 ;O
inicial;O
);O
.;O
 ;O
"
";O
"
";O
Requerem;O
 ;O
o;O
 ;O
deferimento;O
 ;O
da;O
 ;O
liminar;O
 ;O
para;O
 ;O
suspender;O
 ;O
o;O
 ;O
curso;O
 ;O
da;O
 ;O
ação;O
 ;O
penal;O
 ;O
à;O
 ;O
qual;O
 ;O
responde;O
 ;O
o;O
 ;O
paciente;O
 ;O
e;O
,;O
 ;O
no;O
 ;O
mérito;O
,;O
 ;O
pedem;O
 ;O
a;O
 ;O
concessão;O
 ;O
da;O
 ;O
ordem;O
 ;O
para;O
 ;O
anular;O
 ;O
“a;O
 ;O
decisão;O
 ;O
que;O
 ;O
manteve;O
 ;O
o;O
 ;O
recebimento;O
 ;O
da;O
 ;O
denúncia;O
 ;O
em;O
 ;O
desfavor;O
 ;O
da;O
 ;O
ora;O
 ;O
Paciente;O
,;O
 ;O
para;O
 ;O
que;O
 ;O
outra;O
 ;O
seja;O
 ;O
proferida;O
,;O
 ;O
analisando;O
-;O
se;O
,;O
 ;O
fundamentadamente;O
,;O
 ;O
todas;O
 ;O
as;O
 ;O
teses;O
 ;O
arguidas;O
 ;O
pela;O
 ;O
defesa;O
 ;O
(;O
.;O
.;O
.;O
);O
”;O
 ;O
(;O
fl;O
.;O
 ;O
20;O
 ;O
da;O
 ;O
inicial;O
);O
.;O
 ;O
"
";O
"
";O
Em;O
 ;O
11/6/15;O
,;O
 ;O
indeferi;O
 ;O
o;O
 ;O
pedido;O
 ;O
de;O
 ;O
liminar;O
 ;O
e;O
 ;O
solicitei;O
 ;O
informações;O
 ;O
à;O
 ;O
autoridade;O
 ;O
coatora;O
 ;O
e;O
 ;O
ao;O
 ;O
Juízo;O
 ;O
da;O
 ;O
a;O
 ;O
2ª;O
 ;O
Vara;O
 ;O
Criminal;O
 ;O
da;O
 ;O
Comarca;O
 ;O
de;O
 ;O
Sirolândia;O
/;O
MS;O
,;O
 ;O
que;O
 ;O
foram;O
 ;O
devidamente;O
 ;O
prestadas;O
.;O
 ;O
"
";O
"
";O
O;O
 ;O
