Token;Tag
07/12/2018;O
 ;O
PRIMEIRA;O
 ;O
TURMA;O
 ;O
"
";O
"
";O
AG;B_Precedente
.;I_Precedente
REG;I_Precedente
.;I_Precedente
 ;I_Precedente
NA;I_Precedente
 ;I_Precedente
PETIÇÃO;I_Precedente
 ;I_Precedente
7.168;I_Precedente
 ;I_Precedente
DISTRITO;I_Precedente
 ;I_Precedente
FEDERAL;I_Precedente
 ;I_Precedente
"
";I_Precedente
"
";O
RELATORA;O
 ;O
:;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
ROSA;I_Pessoa
 ;I_Pessoa
WEBERAGTE;O
.;O
(;O
S;O
);O
 ;O
:;O
ELCIONE;B_Pessoa
 ;I_Pessoa
THEREZINHA;I_Pessoa
 ;I_Pessoa
ZAHLUTH;I_Pessoa
 ;I_Pessoa
BARBALHO;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
ANTONIO;B_Pessoa
 ;I_Pessoa
REIS;I_Pessoa
 ;I_Pessoa
GRAIM;I_Pessoa
 ;I_Pessoa
NETO;I_Pessoa
 ;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
WLADIMIR;B_Pessoa
 ;I_Pessoa
AFONSO;I_Pessoa
 ;I_Pessoa
DA;I_Pessoa
 ;I_Pessoa
COSTA;I_Pessoa
 ;I_Pessoa
RABELO;I_Pessoa
 ;I_Pessoa
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
 ;O
:;O
DEFENSOR;O
 ;O
PÚBLICO;O
-;O
GERAL;O
 ;O
FEDERAL;O
 ;O
"
";O
"
";O
EMENTA;O
 ;O
"
";O
"
";O
AGRAVO;O
 ;O
REGIMENTAL;O
 ;O
CONTRA;O
 ;O
DECISÃO;O
 ;O
MONOCRÁTICA;O
 ;O
QUE;O
 ;O
NEGOU;O
 ;O
SEGUIMENTO;O
 ;O
A;O
 ;O
QUEIXA;O
 ;O
CRIME;O
.;O
 ;O
CRIMES;O
 ;O
CONTRA;O
 ;O
A;O
 ;O
HONRA;O
.;O
 ;O
OFENSAS;O
 ;O
PROFERIDAS;O
 ;O
EM;O
 ;O
ENTREVISTA;O
 ;O
RADIOFÔNICA;O
 ;O
POR;O
 ;O
PARLAMENTAR;O
 ;O
FEDERAL;O
.;O
 ;O
CALÚNIA;O
.;O
 ;O
AUSÊNCIA;O
 ;O
DE;O
 ;O
NARRATIVA;O
 ;O
FATÍCA;O
 ;O
ESPECÍFICA;O
.;O
 ;O
DIFAMAÇÃO;O
.;O
 ;O
INJÚRIA;O
.;O
 ;O
OFENSAS;O
 ;O
GENÉRICAS;O
.;O
 ;O
ATIPICIDADE;O
.;O
 ;O
CRIMES;O
 ;O
NÃO;O
 ;O
CARACTERIZADOS;O
.;O
 ;O
REJEIÇÃO;O
 ;O
DE;O
 ;O
QUEIXA;O
 ;O
CRIME;O
 ;O
POR;O
 ;O
DECISÃO;O
 ;O
MONOCRÁTICA;O
.;O
 ;O
POSSIBILIDADE;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
O;O
 ;O
crime;O
 ;O
de;O
 ;O
calúnia;O
 ;O
exige;O
 ;O
narrativa;O
 ;O
de;O
 ;O
fato;O
 ;O
determinado;O
 ;O
direcionada;O
 ;O
a;O
 ;O
pessoa;O
 ;O
determinada;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
Opiniões;O
 ;O
ou;O
 ;O
conceitos;O
 ;O
genéricos;O
,;O
 ;O
ainda;O
 ;O
que;O
 ;O
ofensivos;O
,;O
 ;O
expressos;O
 ;O
por;O
 ;O
narrador;O
 ;O
não;O
 ;O
caracterizam;O
 ;O
difamação;O
 ;O
ou;O
 ;O
injúria;O
 ;O
puníveis;O
 ;O
criminalmente;O
 ;O
quando;O
 ;O
não;O
 ;O
revelado;O
 ;O
a;O
 ;O
quem;O
 ;O
dirigidos;O
.;O
 ;O
"
";O
"
";O
3;O
.;O
 ;O
Admite;O
-;O
se;O
 ;O
a;O
 ;O
rejeição;O
 ;O
de;O
 ;O
queixa;O
-;O
crime;O
 ;O
por;O
 ;O
decisão;O
 ;O
monocrática;O
 ;O
inclusive;O
 ;O
por;O
 ;O
atipicidade;O
 ;O
ou;O
 ;O
ausência;O
 ;O
de;O
 ;O
justa;O
 ;O
causa;O
.;O
 ;O
RI;B_Precedente
/;I_Precedente
STF;I_Precedente
,;I_Precedente
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
21;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
§;I_Ref. Legislativa
 ;I_Ref. Legislativa
1º;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;O
Precedentes;O
.;O
 ;O
"
";O
"
";O
4;O
.;O
 ;O
Agravo;O
 ;O
regimental;O
 ;O
conhecido;O
 ;O
e;O
 ;O
não;O
 ;O
provido;O
.;O
 ;O
"
";O
"
";O
ACÓRDÃO;O
 ;O
"
";O
"
";O
Vistos;O
,;O
 ;O
relatados;O
 ;O
e;O
 ;O
discutidos;O
 ;O
estes;O
 ;O
autos;O
,;O
 ;O
acordam;O
 ;O
os;O
 ;O
Ministros;O
 ;O
do;O
 ;O
Supremo;O
 ;O
Tribunal;O
 ;O
Federal;O
 ;O
em;O
 ;O
conhecer;O
 ;O
do;O
 ;O
agravo;O
 ;O
e;O
 ;O
negar;O
-;O
lhe;O
 ;O
provimento;O
,;O
 ;O
nos;O
 ;O
termos;O
 ;O
do;O
 ;O
voto;O
 ;O
da;O
 ;O
Relatora;O
 ;O
e;O
 ;O
por;O
 ;O
maioria;O
 ;O
de;O
 ;O
votos;O
,;O
 ;O
vencido;O
 ;O
o;O
 ;O
Ministro;B_Pessoa
 ;I_Pessoa
Marco;I_Pessoa
 ;I_Pessoa
Aurélio;I_Pessoa
,;I_Pessoa
 ;O
em;O
 ;O
sessão;O
 ;O
virtual;O
 ;O
da;O
 ;O
Primeira;O
 ;O
Turma;O
 ;O
de;O
 ;O
30;O
 ;O
de;O
 ;O
novembro;O
 ;O
a;O
 ;O
06;O
 ;O
de;O
 ;O
dezembro;O
 ;O
de;O
 ;O
2018;O
,;O
 ;O
na;O
 ;O
conformidade;O
 ;O
da;O
 ;O
ata;O
 ;O
do;O
 ;O
julgamento;O
.;O
 ;O
"
";O
"
";O
Brasília;O
,;O
 ;O
07;O
 ;O
de;O
 ;O
dezembro;O
 ;O
de;O
 ;O
2018;O
.;O
 ;O
"
";O
"
";O
Ministra;B_Pessoa
 ;I_Pessoa
Rosa;I_Pessoa
 ;I_Pessoa
Weber;I_Pessoa
 ;I_Pessoa
"
";O
"
";O
Relatora;O
 ;O
07/12/2018;O
 ;O
PRIMEIRA;O
 ;O
TURMA;O
 ;O
"
";O
"
";O
AG;B_Precedente
.;I_Precedente
REG;I_Precedente
.;I_Precedente
 ;I_Precedente
NA;I_Precedente
 ;I_Precedente
PETIÇÃO;I_Precedente
 ;I_Precedente
7.168;I_Precedente
 ;I_Precedente
DISTRITO;I_Precedente
 ;I_Precedente
FEDERAL;I_Precedente
 ;I_Precedente
"
";O
"
";O
RELATORA;O
 ;O
:;O
 ;O
MIN;B_Pessoa
.;I_Pessoa
 ;I_Pessoa
ROSA;I_Pessoa
 ;I_Pessoa
WEBERAGTE;O
.;O
(;O
S;O
);O
 ;O
:;O
ELCIONE;B_Pessoa
 ;I_Pessoa
THEREZINHA;I_Pessoa
 ;I_Pessoa
ZAHLUTH;I_Pessoa
 ;I_Pessoa
BARBALHO;I_Pessoa
 ;I_Pessoa
ADV;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
ANTONIO;B_Pessoa
 ;I_Pessoa
REIS;I_Pessoa
 ;I_Pessoa
GRAIM;I_Pessoa
 ;I_Pessoa
NETO;I_Pessoa
 ;I_Pessoa
AGDO;O
.;O
(;O
A;O
/;O
S;O
);O
 ;O
:;O
WLADIMIR;B_Pessoa
 ;I_Pessoa
AFONSO;I_Pessoa
 ;I_Pessoa
DA;I_Pessoa
 ;I_Pessoa
COSTA;I_Pessoa
 ;I_Pessoa
RABELO;I_Pessoa
 ;I_Pessoa
PROC;O
.;O
(;O
A;O
/;O
S;O
);O
(;O
ES;O
);O
 ;O
:;O
DEFENSOR;O
 ;O
PÚBLICO;O
-;O
GERAL;O
 ;O
FEDERAL;O
 ;O
"
";O
"
";O
RELATÓRIO;O
 ;O
"
";O
"
";O
A;O
 ;O
Senhora;B_Pessoa
 ;I_Pessoa
Ministra;I_Pessoa
 ;I_Pessoa
Rosa;I_Pessoa
 ;I_Pessoa
Weber;I_Pessoa
 ;I_Pessoa
-;O
 ;O
(;O
Relatora;O
);O
:;O
 ;O
1;O
.;O
 ;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
agravo;O
 ;O
regimental;O
 ;O
interposto;O
 ;O
por;O
 ;O
Elcione;B_Pessoa
 ;I_Pessoa
Therezinha;I_Pessoa
 ;I_Pessoa
Zahluth;I_Pessoa
 ;I_Pessoa
Barbalho;I_Pessoa
 ;I_Pessoa
contra;O
 ;O
decisão;O
 ;O
monocrática;O
 ;O
que;O
 ;O
rejeitou;O
 ;O
queixa;O
-;O
crime;O
 ;O
em;O
 ;O
desfavor;O
 ;O
de;O
 ;O
Wladimir;B_Pessoa
 ;I_Pessoa
Afonso;I_Pessoa
 ;I_Pessoa
da;I_Pessoa
 ;I_Pessoa
Costa;I_Pessoa
 ;I_Pessoa
Rebelo;I_Pessoa
,;I_Pessoa
 ;O
pelos;O
 ;O
crimes;O
 ;O
dos;O
 ;O
arts;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
138;I_Ref. Legislativa
 ;I_Ref. Legislativa
(;I_Ref. Legislativa
calúnia;I_Ref. Legislativa
);I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
139;I_Ref. Legislativa
 ;I_Ref. Legislativa
(;I_Ref. Legislativa
difamação;I_Ref. Legislativa
);I_Ref. Legislativa
 ;I_Ref. Legislativa
e;I_Ref. Legislativa
 ;I_Ref. Legislativa
140;I_Ref. Legislativa
 ;I_Ref. Legislativa
(;I_Ref. Legislativa
injúria;I_Ref. Legislativa
);I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
combinados;O
 ;O
com;O
 ;O
a;O
 ;O
causa;O
 ;O
de;O
 ;O
aumento;O
 ;O
do;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
141;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
do;I_Ref. Legislativa
 ;I_Ref. Legislativa
Código;I_Ref. Legislativa
 ;I_Ref. Legislativa
