Token;Tag
EMENTA;O
 ;O
"
";O
"
";O
CONSTITUCIONAL;O
 ;O
E;O
 ;O
ADMINISTRATIVO;O
 ;O
-;O
 ;O
MANDADO;O
 ;O
DE;O
 ;O
SEGURANÇA;O
 ;O
-;O
 ;O
ORDENAÇÃO;O
 ;O
NORMATIVA;O
 ;O
DOS;O
 ;O
TRIBUNAIS;O
 ;O
-;O
LOMAN;O
 ;O
-;O
 ;O
REGIMENTO;O
 ;O
INTERNO;O
 ;O
-;O
 ;O
ELEIÇÃO;O
 ;O
DE;O
 ;O
PRESIDENTE;O
 ;O
-;O
CONDIÇÕES;O
 ;O
DE;O
 ;O
ELEGIBILIDADE;O
 ;O
-;O
 ;O
CARGO;O
 ;O
DE;O
 ;O
VICE;O
-;O
CORREGEDOR;O
(;O
cid;O
:;O
173;O
);O
SEGURANÇA;O
 ;O
DENEGADA;O
 ;O
POR;O
 ;O
MAIORIA;O
.;O
 ;O
"
";O
"
";O
1;O
.;O
 ;O
A;O
 ;O
condição;O
 ;O
de;O
 ;O
candidato;O
 ;O
elegível;O
 ;O
para;O
 ;O
cargo;O
 ;O
de;O
 ;O
direção;O
 ;O
de;O
 ;O
tribunal;O
 ;O
.;O
 ;O
confe;O
.;O
rg;O
,;O
.;O
.;O
lhe;O
-;O
pretensão;O
 ;O
a;O
-;O
ser;O
-;O
deduzida;O
.;O
em;O
-;O
juízo;O
,;O
-;O
possuindo;O
.;O
legitimidade;O
.;O
 ;O
para;O
 ;O
propositura;O
 ;O
do;O
 ;O
mandamus;O
.;O
 ;O
"
";O
"
";O
2;O
.;O
 ;O
O;O
 ;O
objeto;O
 ;O
da;O
 ;O
impetração;O
 ;O
é;O
 ;O
apreciar;O
 ;O
os;O
 ;O
limites;O
 ;O
dos;O
 ;O
poderes;O
 ;O
normativos;O
 ;O
(;O
ou;O
 ;O
nomogenéticos;O
,;O
 ;O
para;O
 ;O
ser;O
 ;O
mais;O
 ;O
preciso;O
);O
 ;O
dos;O
 ;O
tribunais;O
 ;O
-;O
 ;O
o;O
 ;O
que;O
 ;O
se;O
 ;O
radica;O
 ;O
no;O
 ;O
papel;O
 ;O
dos;O
 ;O
regimentos;O
 ;O
internos;O
 ;O
-;O
,;O
 ;O
é;O
 ;O
interpretar;O
 ;O
o;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
102;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Lei;I_Ref. Legislativa
 ;I_Ref. Legislativa
Orgânica;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Magistratura;I_Ref. Legislativa
 ;I_Ref. Legislativa
Nacional;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;O
à;O
 ;O
luz;O
 ;O
do;O
 ;O
texto;O
 ;O
constitucional;O
.;O
 ;O
"
";O
"
";O
3;O
.;O
 ;O
O;O
 ;O
espaço;O
 ;O
normativo;O
 ;O
dos;O
 ;O
regimentos;O
 ;O
internos;O
 ;O
dos;O
 ;O
tribunais;O
 ;O
é;O
 ;O
expressão;O
 ;O
da;O
 ;O
garantia;O
 ;O
constitucional;O
 ;O
de;O
 ;O
sua;O
 ;O
autonomia;O
 ;O
orgânico;O
(;O
cid;O
:;O
173;O
);O
administrativa;O
 ;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
96;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
I;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
"""a""";I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
CF/88;I_Ref. Legislativa
);I_Ref. Legislativa
,;O
 ;O
compreensiva;O
 ;O
da;O
 ;O
"""independência";O
 ;O
na;O
 ;O
estruturação;O
 ;O
e;O
 ;O
funcionamento;O
 ;O
de;O
 ;O
seus;O
 ;O
"órgãos""";O
.;O
 ;O
"
";O
"
";O
4;O
.;O
 ;O
A;O
 ;O
prerrogativa;O
 ;O
de;O
 ;O
elaborar;O
 ;O
o;O
 ;O
Estatuto;O
 ;O
da;O
 ;O
Magistratura;O
,;O
 ;O
cometida;O
 ;O
ao;O
 ;O
STF;O
 ;O
pelo;O
 ;O
constituinte;O
 ;O
originário;O
 ;O
(;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
93;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
caput;I_Ref. Legislativa
,;I_Ref. Legislativa
