Token;Tag
DECISÃO;O
:;O
 ;O
Vistos;O
.;O
Cuida;O
-;O
se;O
 ;O
de;O
 ;O
ação;O
 ;O
rescisória;O
,;O
 ;O
com;O
 ;O
pedido;O
 ;O
de;O
 ;O
tutela;O
 ;O
antecipada;O
,;O
 ;O
proposta;O
 ;O
por;O
 ;O
Fundação;O
 ;O
Itaubanco;O
 ;O
em;O
 ;O
face;O
 ;O
da;O
 ;O
União;O
,;O
 ;O
com;O
 ;O
o;O
 ;O
objetivo;O
 ;O
de;O
 ;O
ver;O
 ;O
desconstituída;O
 ;O
parcialmente;O
 ;O
a;O
 ;O
decisão;O
 ;O
proferida;O
 ;O
nos;O
 ;O
autos;O
 ;O
do;O
 ;O
RE;B_Precedente
 ;I_Precedente
nº;I_Precedente
 ;I_Precedente
541.454;I_Precedente
/;I_Precedente
SP;I_Precedente
.;I_Precedente
 ;O
É;O
 ;O
o;O
 ;O
teor;O
 ;O
do;O
 ;O
julgado;O
 ;O
rescindendo;O
:;O
 ;O
"
";O
"
";O
“Trata;O
-;O
se;O
 ;O
de;O
 ;O
recurso;O
 ;O
extraordinário;O
 ;O
interposto;O
 ;O
contra;O
 ;O
acórdão;O
 ;O
que;O
 ;O
entendeu;O
 ;O
que;O
 ;O
a;O
 ;O
imunidade;O
 ;O
tributária;O
 ;O
prevista;O
 ;O
no;O
 ;B_Ref. Legislativa
art;I_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
150;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
III;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
c;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
da;I_Ref. Legislativa
 ;I_Ref. Legislativa
Constituição;I_Ref. Legislativa
 ;I_Ref. Legislativa
Federal;I_Ref. Legislativa
 ;I_Ref. Legislativa
também;O
 ;O
alcança;O
 ;O
as;O
 ;O
entidades;O
 ;O
fechadas;O
 ;O
de;O
 ;O
previdência;O
 ;O
privada;O
,;O
 ;O
por;O
 ;O
serem;O
 ;O
consideradas;O
 ;O
instituições;O
 ;O
de;O
 ;O
assistência;O
 ;O
social;O
,;O
 ;O
consoante;O
 ;O
interpretação;O
 ;O
do;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
39;I_Ref. Legislativa
,;I_Ref. Legislativa
 ;I_Ref. Legislativa
