Token;Tag
DECISÃO;O
:;O
 ;O
Vistos;O
.;O
Trata;O
-;O
se;O
 ;O
de;O
 ;O
inquérito;O
 ;O
instaurado;O
 ;O
para;O
 ;O
apurar;O
 ;O
notitia;O
 ;O
criminis;O
 ;O
de;O
 ;O
que;O
 ;O
que;O
 ;O
o;O
 ;O
Deputado;B_Pessoa
 ;I_Pessoa
Federal;I_Pessoa
 ;I_Pessoa
Paulo;I_Pessoa
 ;I_Pessoa
Roberto;I_Pessoa
 ;I_Pessoa
Bauer;I_Pessoa
 ;I_Pessoa
teria;O
 ;O
praticado;O
 ;O
suposto;O
 ;O
crime;O
 ;O
de;O
 ;O
peculato;O
.;O
 ;O
"
";O
"
";O
O;O
 ;O
Procurador;B_Pessoa
-;I_Pessoa
Geral;I_Pessoa
 ;I_Pessoa
da;I_Pessoa
 ;I_Pessoa
República;I_Pessoa
 ;I_Pessoa
Rodrigo;I_Pessoa
 ;I_Pessoa
Janot;I_Pessoa
 ;I_Pessoa
Monteiro;I_Pessoa
 ;I_Pessoa
de;I_Pessoa
 ;I_Pessoa
"
";I_Pessoa
"
";I_Pessoa
Barros;I_Pessoa
 ;I_Pessoa
assim;O
 ;O
requereu;O
 ;O
o;O
 ;O
arquivamento;O
 ;O
do;O
 ;O
inquérito;O
:;O
 ;O
"
";O
"
";O
“Trata;O
-;O
se;O
 ;O
de;O
 ;O
inquérito;O
 ;O
instaurado;O
 ;O
para;O
 ;O
apurar;O
 ;O
a;O
 ;O
suposta;O
 ;O
prática;O
 ;O
do;O
 ;O
delito;O
 ;O
previsto;O
 ;O
no;O
 ;O
art;B_Ref. Legislativa
.;I_Ref. Legislativa
 ;I_Ref. Legislativa
312;I_Ref. Legislativa
 ;I_Ref. Legislativa
do;I_Ref. Legislativa
 ;I_Ref. Legislativa
Código;I_Ref. Legislativa
 ;I_Ref. Legislativa
Penal;I_Ref. Legislativa
 ;I_Ref. Legislativa
pelo;O
 ;O
Senador;B_Pessoa
 ;I_Pessoa
Paulo;I_Pessoa
 ;I_Pessoa
Bauer;I_Pessoa
,;I_Pessoa
 ;O
consubstanciada;O
 ;O
no;O
 ;O
desvio;O
 ;O
de;O
 ;O
recursos;O
 ;O
de;O
 ;O
sua;O
 ;O
cota;O
 ;O
de;O
 ;O
passagens;O
 ;O
aéreas;O
,;O
 ;O
à;O
 ;O
época;O
 ;O
em;O
 ;O
que;O
 ;O
exerceu;O
 ;O
o;O
 ;O
mandato;O
 ;O
